rank	action	count
1	RX(q=4)	178
2	RX(q=5)	168
3	CNOT(4->5)	102
4	RY(q=5)	86
5	RY(q=4)	77
6	CNOT(5->4)	74
7	RX(q=2)	37
8	RX(q=3)	29
9	RY(q=2)	21
10	CNOT(4->2)	20
11	RX(q=0)	17
12	RY(q=0)	16
13	CNOT(4->3)	15
14	CNOT(2->0)	13
15	RY(q=3)	12
16	CNOT(5->2)	12
17	CNOT(3->0)	12
18	CNOT(2->1)	12
19	CNOT(3->5)	11
20	CNOT(3->1)	11
21	CNOT(5->3)	11
22	CNOT(1->2)	11
23	CNOT(0->1)	11
24	CNOT(5->1)	10
25	CNOT(2->3)	10
26	CNOT(3->4)	9
27	CNOT(5->0)	9
28	RX(q=1)	9
29	CNOT(4->0)	9
30	CNOT(1->5)	8
31	RZ(q=3)	8
32	RZ(q=4)	8
33	RZ(q=5)	8
34	CNOT(4->1)	8
35	CNOT(0->4)	8
36	RY(q=1)	7
37	CNOT(0->3)	7
38	CNOT(1->0)	7
39	CNOT(3->2)	6
40	CNOT(0->2)	6
41	CNOT(2->4)	6
42	CNOT(2->5)	6
43	RZ(q=2)	6
44	CNOT(1->4)	5
45	RZ(q=1)	5
46	CNOT(1->3)	4
47	CNOT(0->5)	4
48	RZ(q=0)	1
