episode_key	run_dir	episode	snapshot_index	event_step	event_error_mha	baseline_error_mha	retained_error_mha	delta_error_mha	allowed_error_mha	original_gate_count	fixed_gate_count	effective_max_prune_steps	retained_gate_count	removed_gate_count	redundancy_ratio_pct	resolved_optimizer	last_action	retained_gates	retained_signature
crlqas__L2_LiH_Equil_6q__L2_LiH_Equil_6q_cobyla_20k_curriculum__seed11111__ep17288__snap0	/home/ubuntu/NeurIPS2026/PSQASBench/results/crlqas/L2_LiH_Equil_6q/Formal_EXP/L2_LiH_Equil_6q_cobyla_20k_curriculum/seed11111	17288	0	4	1.056801	1.053897	1.053894	-0.000003	1.353897	4	1	3	2	2	50.00	cobyla	CNOT(4->5)	RY(q=4) | CNOT(4->5)	"[""RY(q=4)"", ""CNOT(4->5)""]"
crlqas__L2_LiH_Equil_6q__L2_LiH_Equil_6q_cobyla_20k_curriculum__seed11111__ep9145__snap0	/home/ubuntu/NeurIPS2026/PSQASBench/results/crlqas/L2_LiH_Equil_6q/Formal_EXP/L2_LiH_Equil_6q_cobyla_20k_curriculum/seed11111	9145	0	19	1.061569	1.053896	1.053894	-0.000002	1.353896	19	3	16	3	16	84.21	cobyla	CNOT(3->0)	RX(q=5) | CNOT(5->4) | CNOT(2->1)	"[""RX(q=5)"", ""CNOT(5->4)"", ""CNOT(2->1)""]"
crlqas__L2_LiH_Equil_6q__L2_LiH_Equil_6q_cobyla_20k_curriculum__seed11111__ep3648__snap0	/home/ubuntu/NeurIPS2026/PSQASBench/results/crlqas/L2_LiH_Equil_6q/Formal_EXP/L2_LiH_Equil_6q_cobyla_20k_curriculum/seed11111	3648	0	18	1.058708	1.053895	1.053894	-0.000001	1.353895	18	4	14	4	14	77.78	cobyla	CNOT(4->5)	CNOT(0->3) | RX(q=5) | RX(q=4) | CNOT(4->5)	"[""CNOT(0->3)"", ""RX(q=5)"", ""RX(q=4)"", ""CNOT(4->5)""]"
crlqas__L2_LiH_Equil_6q__L2_LiH_Equil_6q_cobyla_20k_curriculum__seed11111__ep14100__snap0	/home/ubuntu/NeurIPS2026/PSQASBench/results/crlqas/L2_LiH_Equil_6q/Formal_EXP/L2_LiH_Equil_6q_cobyla_20k_curriculum/seed11111	14100	0	23	1.058231	1.054053	1.053894	-0.000159	1.354053	23	2	21	2	21	91.30	cobyla	CNOT(0->4)	RX(q=4) | RY(q=5)	"[""RX(q=4)"", ""RY(q=5)""]"
crlqas__L2_LiH_Equil_6q__L2_LiH_Equil_6q_cobyla_20k_curriculum__seed11111__ep13467__snap0	/home/ubuntu/NeurIPS2026/PSQASBench/results/crlqas/L2_LiH_Equil_6q/Formal_EXP/L2_LiH_Equil_6q_cobyla_20k_curriculum/seed11111	13467	0	15	1.059185	1.053895	1.053894	-0.000001	1.353895	15	1	14	2	13	86.67	cobyla	CNOT(2->1)	RY(q=5) | RY(q=4)	"[""RY(q=5)"", ""RY(q=4)""]"
crlqas__L2_LiH_Equil_6q__L2_LiH_Equil_6q_cobyla_20k_curriculum__seed11111__ep1835__snap0	/home/ubuntu/NeurIPS2026/PSQASBench/results/crlqas/L2_LiH_Equil_6q/Formal_EXP/L2_LiH_Equil_6q_cobyla_20k_curriculum/seed11111	1835	0	15	1.058708	1.053911	1.053894	-0.000017	1.353911	15	0	15	2	13	86.67	cobyla	RX(q=1)	RY(q=4) | RY(q=5)	"[""RY(q=4)"", ""RY(q=5)""]"
crlqas__L2_LiH_Equil_6q__L2_LiH_Equil_6q_cobyla_20k_curriculum__seed11111__ep5201__snap0	/home/ubuntu/NeurIPS2026/PSQASBench/results/crlqas/L2_LiH_Equil_6q/Formal_EXP/L2_LiH_Equil_6q_cobyla_20k_curriculum/seed11111	5201	0	30	1.061092	1.053900	1.053894	-0.000006	1.353900	30	5	25	8	22	73.33	cobyla	RY(q=2)	RX(q=5) | CNOT(5->2) | CNOT(2->5) | RY(q=5) | CNOT(2->4) | CNOT(5->3) | CNOT(2->3) | RY(q=2)	"[""RX(q=5)"", ""CNOT(5->2)"", ""CNOT(2->5)"", ""RY(q=5)"", ""CNOT(2->4)"", ""CNOT(5->3)"", ""CNOT(2->3)"", ""RY(q=2)""]"
crlqas__L2_LiH_Equil_6q__L2_LiH_Equil_6q_cobyla_20k_curriculum__seed11111__ep14464__snap0	/home/ubuntu/NeurIPS2026/PSQASBench/results/crlqas/L2_LiH_Equil_6q/Formal_EXP/L2_LiH_Equil_6q_cobyla_20k_curriculum/seed11111	14464	0	9	1.060138	1.053895	1.053894	-0.000000	1.353895	9	1	8	2	7	77.78	cobyla	CNOT(4->5)	RY(q=4) | CNOT(4->5)	"[""RY(q=4)"", ""CNOT(4->5)""]"
crlqas__L2_LiH_Equil_6q__L2_LiH_Equil_6q_cobyla_20k_curriculum__seed11111__ep5015__snap0	/home/ubuntu/NeurIPS2026/PSQASBench/results/crlqas/L2_LiH_Equil_6q/Formal_EXP/L2_LiH_Equil_6q_cobyla_20k_curriculum/seed11111	5015	0	10	1.060138	1.053895	1.053894	-0.000001	1.353895	10	1	9	2	8	80.00	cobyla	RY(q=5)	RX(q=4) | RY(q=5)	"[""RX(q=4)"", ""RY(q=5)""]"
crlqas__L2_LiH_Equil_6q__L2_LiH_Equil_6q_cobyla_20k_curriculum__seed11111__ep6660__snap0	/home/ubuntu/NeurIPS2026/PSQASBench/results/crlqas/L2_LiH_Equil_6q/Formal_EXP/L2_LiH_Equil_6q_cobyla_20k_curriculum/seed11111	6660	0	15	1.060138	1.053896	1.053894	-0.000002	1.353896	15	2	13	2	13	86.67	cobyla	RX(q=3)	RX(q=5) | RX(q=4)	"[""RX(q=5)"", ""RX(q=4)""]"
