bucket	count	seed_count	mean_hit_step	mean_episode
0.40	3	1	1.0	141.66666666666666
0.45	5	1	1.0	446.2
0.46	4	1	1.0	59.0
0.47	53	1	1.0	169.0188679245283
0.48	10	1	1.0	375.3
0.49	14	1	1.0	470.2142857142857
0.50	14	1	1.0	425.0
0.51	14	1	1.0	458.7142857142857
0.52	24	1	1.0	516.1666666666666
0.53	17	1	1.0	706.4117647058823
0.54	28	1	1.0	504.0357142857143
0.55	167	1	1.0	429.2455089820359
0.56	311	1	1.0	733.0257234726688
0.57	60	1	1.0	577.5833333333334
0.58	24	1	1.0	253.20833333333334
0.59	36	1	1.0	241.25
0.60	31	1	1.0	256.0967741935484
0.61	84	1	1.0	50.04761904761905
0.62	1	1	1.0	267.0
0.63	2	1	1.0	657.5
0.68	2	1	1.0	636.0
0.73	5	1	1.0	652.6
0.74	1	1	1.0	675.0
0.75	3	1	1.0	656.3333333333334
0.76	1	1	1.0	698.0
0.80	9	1	1.0	653.2222222222222
0.81	13	1	1.0	650.0769230769231
0.83	1	1	1.0	684.0
0.85	4	1	1.0	644.5
0.89	11	1	1.0	649.3636363636364
0.90	15	1	1.0	651.6
0.92	2	1	1.0	670.5
0.95	1	1	1.0	631.0
0.99	1	1	1.0	618.0
1.00	21	1	1.0	647.5714285714286
1.03	1	1	1.0	669.0
1.11	7	1	1.0	627.2857142857143
