display_value	count	seed_count	min_first_hit_error_mha	max_first_hit_error_mha
0.4	3	1	0.3978311185	0.3978432873
0.45	5	1	0.4471133196	0.4547988926
0.46	4	1	0.4619637597	0.4619637597
0.47	53	1	0.4670604139	0.4743598803
0.48	10	1	0.4757254417	0.4826140272
0.49	14	1	0.4859707454	0.4943708560
0.5	14	1	0.4950488547	0.5046085359
0.51	14	1	0.5050060897	0.5134075655
0.52	24	1	0.5174553386	0.5247104946
0.53	17	1	0.5272499747	0.5333180160
0.54	28	1	0.5351417067	0.5446053007
0.55	167	1	0.5479386629	0.5549863239
0.56	311	1	0.5550244551	0.5638007325
0.57	60	1	0.5657813905	0.5742260947
0.58	24	1	0.5755771338	0.5825082962
0.59	36	1	0.5910566474	0.5923287693
0.6	31	1	0.6027746068	0.6036197209
0.61	84	1	0.6106266905	0.6106266905
0.62	1	1	0.6154320215	0.6154320215
0.63	2	1	0.6283231860	0.6283383559
0.68	2	1	0.6840822521	0.6842624267
0.73	5	1	0.7267672690	0.7298973765
0.74	1	1	0.7382743843	0.7382743843
0.75	3	1	0.7487297227	0.7529288054
0.76	1	1	0.7575818619	0.7575818619
0.8	9	1	0.7990343649	0.8028088278
0.81	13	1	0.8055312639	0.8144695308
0.83	1	1	0.8255686806	0.8255686806
0.85	4	1	0.8468800802	0.8497885378
0.89	11	1	0.8859753752	0.8925514328
0.9	15	1	0.8952801909	0.8995280625
0.92	2	1	0.9188904464	0.9189553774
0.95	1	1	0.9504320277	0.9504320277
0.99	1	1	0.9894546839	0.9894546839
1	22	1	0.9958949771	1.0261322492
1.1	7	1	1.1132910364	1.1132910364
