bucket	count	seed_count	mean_hit_step	mean_episode
0.27	4	1	9.0	2487.75
0.55	8997	1	3.1486050905857508	5403.666777814828
0.56	98	1	7.163265306122449	2588.6938775510203
0.57	7	1	7.571428571428571	2074.8571428571427
0.58	5	1	8.4	830.0
0.59	7	1	7.142857142857143	2320.0
0.60	5	1	7.4	1461.2
0.61	1	1	10.0	513.0
0.62	2	1	9.0	2107.5
0.63	5	1	7.8	1126.6
0.64	4	1	7.0	2401.25
0.65	1	1	5.0	3527.0
0.66	1	1	8.0	614.0
0.70	1	1	8.0	451.0
0.71	3	1	8.333333333333334	1792.0
0.72	3	1	8.333333333333334	2562.6666666666665
0.79	1	1	8.0	684.0
0.83	1	1	8.0	1185.0
0.87	1	1	5.0	9913.0
0.92	1	1	6.0	3906.0
0.93	2	1	9.5	1002.0
0.97	1	1	5.0	3010.0
1.07	1	1	7.0	2812.0
1.29	1	1	10.0	1129.0
1.31	1	1	6.0	3285.0
