display_value	count	seed_count	min_first_hit_error_mha	max_first_hit_error_mha
0.27	4	1	0.2682263699	0.2682311518
0.55	8997	1	0.5544438453	0.5549880912
0.56	98	1	0.5550139719	0.5649992293
0.57	7	1	0.5650124916	0.5715055532
0.58	5	1	0.5762118087	0.5797107316
0.59	7	1	0.5865395170	0.5938972180
0.6	5	1	0.5956878195	0.6021693259
0.61	1	1	0.6095523496	0.6095523496
0.62	2	1	0.6240854055	0.6243120046
0.63	5	1	0.6255252815	0.6299540859
0.64	4	1	0.6352746350	0.6445211789
0.65	1	1	0.6518687268	0.6518687268
0.66	1	1	0.6579807621	0.6579807621
0.7	1	1	0.6961959221	0.6961959221
0.71	3	1	0.7063938340	0.7112943130
0.72	3	1	0.7179124118	0.7246426592
0.79	1	1	0.7876688431	0.7876688431
0.83	1	1	0.8262396471	0.8262396471
0.87	1	1	0.8722362378	0.8722362378
0.92	1	1	0.9202540511	0.9202540511
0.93	2	1	0.9253242139	0.9287916299
0.97	1	1	0.9720839673	0.9720839673
1.1	1	1	1.0744531052	1.0744531052
1.3	2	1	1.2858434847	1.3143174317
