episode_key	run_dir	episode	snapshot_index	event_step	event_error_mha	baseline_error_mha	retained_error_mha	delta_error_mha	allowed_error_mha	original_gate_count	fixed_gate_count	effective_max_prune_steps	retained_gate_count	removed_gate_count	redundancy_ratio_pct	resolved_optimizer	last_action	retained_gates	retained_gates_with_angles	retained_signature
crlqas__L1_BeH2_STO3G_6q__L1_BeH2_STO3G_6q_cobyla_20k_depth10__seed11111__ep7215__snap0	/home/ubuntu/NeurIPS2026/PSQASBench/results/crlqas/L1_BeH2_STO3G_6q/Formal_EXP/L1_BeH2_STO3G_6q_cobyla_20k_depth10/seed11111	7215	0	2	0.554445	0.554443	0.554443	0.000000	0.854443	2	1	1	2	0	0.00	cobyla	RX(q=4)	RY(q=5) | RX(q=4)	RY(q=5,θ=+3.142) | RX(q=4,θ=+3.142)	"[""RY(q=5)"", ""RX(q=4)""]"
crlqas__L1_BeH2_STO3G_6q__L1_BeH2_STO3G_6q_cobyla_20k_depth10__seed11111__ep9320__snap0	/home/ubuntu/NeurIPS2026/PSQASBench/results/crlqas/L1_BeH2_STO3G_6q/Formal_EXP/L1_BeH2_STO3G_6q_cobyla_20k_depth10/seed11111	9320	0	3	0.554445	0.554443	0.554443	-0.000000	0.854443	3	1	2	2	1	33.33	cobyla	RX(q=5)	RY(q=4) | RX(q=5)	RY(q=4,θ=+3.142) | RX(q=5,θ=-3.142)	"[""RY(q=4)"", ""RX(q=5)""]"
crlqas__L1_BeH2_STO3G_6q__L1_BeH2_STO3G_6q_cobyla_20k_depth10__seed11111__ep6417__snap0	/home/ubuntu/NeurIPS2026/PSQASBench/results/crlqas/L1_BeH2_STO3G_6q/Formal_EXP/L1_BeH2_STO3G_6q_cobyla_20k_depth10/seed11111	6417	0	2	0.554448	0.554446	0.554446	0.000000	0.854446	2	1	1	2	0	0.00	cobyla	CNOT(5->4)	RX(q=5) | CNOT(5->4)	RX(q=5,θ=+3.142) | CNOT(5->4)	"[""RX(q=5)"", ""CNOT(5->4)""]"
crlqas__L1_BeH2_STO3G_6q__L1_BeH2_STO3G_6q_cobyla_20k_depth10__seed11111__ep8032__snap0	/home/ubuntu/NeurIPS2026/PSQASBench/results/crlqas/L1_BeH2_STO3G_6q/Formal_EXP/L1_BeH2_STO3G_6q_cobyla_20k_depth10/seed11111	8032	0	2	0.554445	0.554444	0.554444	0.000000	0.854444	2	1	1	2	0	0.00	cobyla	RY(q=5)	RY(q=4) | RY(q=5)	RY(q=4,θ=+3.142) | RY(q=5,θ=-3.142)	"[""RY(q=4)"", ""RY(q=5)""]"
crlqas__L1_BeH2_STO3G_6q__L1_BeH2_STO3G_6q_cobyla_20k_depth10__seed11111__ep3985__snap0	/home/ubuntu/NeurIPS2026/PSQASBench/results/crlqas/L1_BeH2_STO3G_6q/Formal_EXP/L1_BeH2_STO3G_6q_cobyla_20k_depth10/seed11111	3985	0	4	0.554445	0.554444	0.554443	-0.000000	0.854444	4	1	3	2	2	50.00	cobyla	RY(q=5)	RX(q=4) | RY(q=5)	RX(q=4,θ=+3.142) | RY(q=5,θ=+3.142)	"[""RX(q=4)"", ""RY(q=5)""]"
crlqas__L1_BeH2_STO3G_6q__L1_BeH2_STO3G_6q_cobyla_20k_depth10__seed11111__ep1147__snap0	/home/ubuntu/NeurIPS2026/PSQASBench/results/crlqas/L1_BeH2_STO3G_6q/Formal_EXP/L1_BeH2_STO3G_6q_cobyla_20k_depth10/seed11111	1147	0	3	0.554445	0.554443	0.554444	0.000000	0.854443	3	1	2	2	1	33.33	cobyla	RX(q=5)	RX(q=4) | RX(q=5)	RX(q=4,θ=-3.142) | RX(q=5,θ=-3.142)	"[""RX(q=4)"", ""RX(q=5)""]"
crlqas__L1_BeH2_STO3G_6q__L1_BeH2_STO3G_6q_cobyla_20k_depth10__seed11111__ep6514__snap0	/home/ubuntu/NeurIPS2026/PSQASBench/results/crlqas/L1_BeH2_STO3G_6q/Formal_EXP/L1_BeH2_STO3G_6q_cobyla_20k_depth10/seed11111	6514	0	3	0.554448	0.554444	0.554444	-0.000000	0.854444	3	1	2	2	1	33.33	cobyla	CNOT(5->4)	RX(q=5) | CNOT(5->4)	RX(q=5,θ=-3.142) | CNOT(5->4)	"[""RX(q=5)"", ""CNOT(5->4)""]"
crlqas__L1_BeH2_STO3G_6q__L1_BeH2_STO3G_6q_cobyla_20k_depth10__seed11111__ep3697__snap0	/home/ubuntu/NeurIPS2026/PSQASBench/results/crlqas/L1_BeH2_STO3G_6q/Formal_EXP/L1_BeH2_STO3G_6q_cobyla_20k_depth10/seed11111	3697	0	2	0.554448	0.554446	0.554446	0.000000	0.854446	2	1	1	2	0	0.00	cobyla	CNOT(4->5)	RX(q=4) | CNOT(4->5)	RX(q=4,θ=+3.142) | CNOT(4->5)	"[""RX(q=4)"", ""CNOT(4->5)""]"
crlqas__L1_BeH2_STO3G_6q__L1_BeH2_STO3G_6q_cobyla_20k_depth10__seed11111__ep6335__snap0	/home/ubuntu/NeurIPS2026/PSQASBench/results/crlqas/L1_BeH2_STO3G_6q/Formal_EXP/L1_BeH2_STO3G_6q_cobyla_20k_depth10/seed11111	6335	0	3	0.554445	0.554444	0.554443	-0.000000	0.854444	3	1	2	2	1	33.33	cobyla	RX(q=5)	RX(q=4) | RX(q=5)	RX(q=4,θ=+3.142) | RX(q=5,θ=+3.142)	"[""RX(q=4)"", ""RX(q=5)""]"
crlqas__L1_BeH2_STO3G_6q__L1_BeH2_STO3G_6q_cobyla_20k_depth10__seed11111__ep1473__snap0	/home/ubuntu/NeurIPS2026/PSQASBench/results/crlqas/L1_BeH2_STO3G_6q/Formal_EXP/L1_BeH2_STO3G_6q_cobyla_20k_depth10/seed11111	1473	0	6	0.554445	0.554443	0.554443	-0.000000	0.854443	6	1	5	2	4	66.67	cobyla	RZ(q=0)	RX(q=4) | RX(q=5)	RX(q=4,θ=+3.142) | RX(q=5,θ=-3.142)	"[""RX(q=4)"", ""RX(q=5)""]"
