rank	action	count
1	RX(q=5)	1956
2	RY(q=5)	1767
3	CNOT(5->4)	1551
4	CNOT(4->5)	1498
5	RX(q=4)	1239
6	RY(q=4)	1135
7	CNOT(4->2)	28
8	RY(q=1)	21
9	CNOT(5->3)	20
10	CNOT(4->0)	19
11	CNOT(4->3)	17
12	CNOT(5->0)	17
13	CNOT(5->1)	16
14	RX(q=0)	14
15	RY(q=0)	13
16	CNOT(4->1)	12
17	RY(q=2)	11
18	CNOT(5->2)	10
19	RX(q=3)	9
20	RX(q=2)	7
21	RY(q=3)	7
22	RX(q=1)	7
23	CNOT(2->0)	6
24	CNOT(3->0)	6
25	CNOT(2->4)	5
26	CNOT(1->3)	4
27	CNOT(1->4)	3
28	CNOT(1->5)	3
29	CNOT(3->2)	3
30	RZ(q=4)	3
31	CNOT(0->3)	3
32	CNOT(0->5)	3
33	CNOT(0->4)	3
34	CNOT(2->3)	3
35	CNOT(2->1)	3
36	CNOT(2->5)	2
37	CNOT(1->2)	2
38	CNOT(3->5)	2
39	CNOT(0->1)	2
40	RZ(q=2)	1
41	CNOT(3->1)	1
42	CNOT(0->2)	1
43	RZ(q=5)	1
