episode_key	run_dir	method	molecule	config	seed	episode	snapshot_index	event_step	event_error_mha	last_action	prefix_len
crlqas__L1_BeH2_STO3G_6q__L1_BeH2_STO3G_6q_cobyla_20k_depth50__seed11111__ep6695__snap0	/home/ubuntu/NeurIPS2026/PSQASBench/results/crlqas/L1_BeH2_STO3G_6q/Formal_EXP/L1_BeH2_STO3G_6q_cobyla_20k_depth50/seed11111	crlqas	L1_BeH2_STO3G_6q	L1_BeH2_STO3G_6q_cobyla_20k_depth50	seed11111	6695	0	2	0.5544	RX(q=5)	2
crlqas__L1_BeH2_STO3G_6q__L1_BeH2_STO3G_6q_cobyla_20k_depth50__seed11111__ep3770__snap0	/home/ubuntu/NeurIPS2026/PSQASBench/results/crlqas/L1_BeH2_STO3G_6q/Formal_EXP/L1_BeH2_STO3G_6q_cobyla_20k_depth50/seed11111	crlqas	L1_BeH2_STO3G_6q	L1_BeH2_STO3G_6q_cobyla_20k_depth50	seed11111	3770	0	5	0.5544	RY(q=4)	5
crlqas__L1_BeH2_STO3G_6q__L1_BeH2_STO3G_6q_cobyla_20k_depth50__seed11111__ep4080__snap0	/home/ubuntu/NeurIPS2026/PSQASBench/results/crlqas/L1_BeH2_STO3G_6q/Formal_EXP/L1_BeH2_STO3G_6q_cobyla_20k_depth50/seed11111	crlqas	L1_BeH2_STO3G_6q	L1_BeH2_STO3G_6q_cobyla_20k_depth50	seed11111	4080	0	2	0.5544	CNOT(5->4)	2
crlqas__L1_BeH2_STO3G_6q__L1_BeH2_STO3G_6q_cobyla_20k_depth50__seed11111__ep593__snap0	/home/ubuntu/NeurIPS2026/PSQASBench/results/crlqas/L1_BeH2_STO3G_6q/Formal_EXP/L1_BeH2_STO3G_6q_cobyla_20k_depth50/seed11111	crlqas	L1_BeH2_STO3G_6q	L1_BeH2_STO3G_6q_cobyla_20k_depth50	seed11111	593	0	5	0.5548	RX(q=5)	5
crlqas__L1_BeH2_STO3G_6q__L1_BeH2_STO3G_6q_cobyla_20k_depth50__seed11111__ep5833__snap0	/home/ubuntu/NeurIPS2026/PSQASBench/results/crlqas/L1_BeH2_STO3G_6q/Formal_EXP/L1_BeH2_STO3G_6q_cobyla_20k_depth50/seed11111	crlqas	L1_BeH2_STO3G_6q	L1_BeH2_STO3G_6q_cobyla_20k_depth50	seed11111	5833	0	2	0.5544	RX(q=5)	2
crlqas__L1_BeH2_STO3G_6q__L1_BeH2_STO3G_6q_cobyla_20k_depth50__seed11111__ep8498__snap0	/home/ubuntu/NeurIPS2026/PSQASBench/results/crlqas/L1_BeH2_STO3G_6q/Formal_EXP/L1_BeH2_STO3G_6q_cobyla_20k_depth50/seed11111	crlqas	L1_BeH2_STO3G_6q	L1_BeH2_STO3G_6q_cobyla_20k_depth50	seed11111	8498	0	2	0.5544	RY(q=5)	2
crlqas__L1_BeH2_STO3G_6q__L1_BeH2_STO3G_6q_cobyla_20k_depth50__seed11111__ep3501__snap0	/home/ubuntu/NeurIPS2026/PSQASBench/results/crlqas/L1_BeH2_STO3G_6q/Formal_EXP/L1_BeH2_STO3G_6q_cobyla_20k_depth50/seed11111	crlqas	L1_BeH2_STO3G_6q	L1_BeH2_STO3G_6q_cobyla_20k_depth50	seed11111	3501	0	3	0.5544	RX(q=5)	3
crlqas__L1_BeH2_STO3G_6q__L1_BeH2_STO3G_6q_cobyla_20k_depth50__seed11111__ep2632__snap0	/home/ubuntu/NeurIPS2026/PSQASBench/results/crlqas/L1_BeH2_STO3G_6q/Formal_EXP/L1_BeH2_STO3G_6q_cobyla_20k_depth50/seed11111	crlqas	L1_BeH2_STO3G_6q	L1_BeH2_STO3G_6q_cobyla_20k_depth50	seed11111	2632	0	5	0.5544	RX(q=4)	5
crlqas__L1_BeH2_STO3G_6q__L1_BeH2_STO3G_6q_cobyla_20k_depth50__seed11111__ep1722__snap0	/home/ubuntu/NeurIPS2026/PSQASBench/results/crlqas/L1_BeH2_STO3G_6q/Formal_EXP/L1_BeH2_STO3G_6q_cobyla_20k_depth50/seed11111	crlqas	L1_BeH2_STO3G_6q	L1_BeH2_STO3G_6q_cobyla_20k_depth50	seed11111	1722	0	2	0.5544	RY(q=4)	2
crlqas__L1_BeH2_STO3G_6q__L1_BeH2_STO3G_6q_cobyla_20k_depth50__seed11111__ep5262__snap0	/home/ubuntu/NeurIPS2026/PSQASBench/results/crlqas/L1_BeH2_STO3G_6q/Formal_EXP/L1_BeH2_STO3G_6q_cobyla_20k_depth50/seed11111	crlqas	L1_BeH2_STO3G_6q	L1_BeH2_STO3G_6q_cobyla_20k_depth50	seed11111	5262	0	2	0.5544	RY(q=5)	2
