rank	count	retained_gates	retained_gates_with_angles_variants
1	1	RX(q=0) | CNOT(0->1) | CNOT(1->3) | CNOT(0->2) | RY(q=3) | CNOT(3->0) | RY(q=0) | CNOT(1->2) | CNOT(3->4) | CNOT(3->1) | CNOT(3->0) | RX(q=4) | CNOT(1->5) | RZ(q=4) | CNOT(3->5) | CNOT(4->1) | CNOT(0->3)	count=1: RX(q=0,θ=+15.638) | CNOT(0->1) | CNOT(1->3) | CNOT(0->2) | RY(q=3,θ=+9.425) | CNOT(3->0) | RY(q=0,θ=+3.141) | CNOT(1->2) | CNOT(3->4) | CNOT(3->1) | CNOT(3->0) | RX(q=4,θ=+3.142) | CNOT(1->5) | RZ(q=4,θ=+1.703) | CNOT(3->5) | CNOT(4->1) | CNOT(0->3)
2	1	RX(q=0) | CNOT(0->5) | CNOT(0->4) | RX(q=3) | CNOT(3->0) | CNOT(3->4) | CNOT(3->2) | CNOT(0->5) | CNOT(0->3) | CNOT(4->5) | RZ(q=4) | RY(q=0) | RY(q=5) | RX(q=1) | CNOT(4->1) | RX(q=2) | CNOT(1->3)	count=1: RX(q=0,θ=+0.070) | CNOT(0->5) | CNOT(0->4) | RX(q=3,θ=+9.425) | CNOT(3->0) | CNOT(3->4) | CNOT(3->2) | CNOT(0->5) | CNOT(0->3) | CNOT(4->5) | RZ(q=4,θ=+1.554) | RY(q=0,θ=+3.142) | RY(q=5,θ=+3.142) | RX(q=1,θ=+3.142) | CNOT(4->1) | RX(q=2,θ=+3.141) | CNOT(1->3)
3	1	RY(q=0) | CNOT(0->4) | CNOT(0->5) | CNOT(5->2) | CNOT(2->0) | CNOT(5->2) | RX(q=4) | RX(q=1) | CNOT(1->5) | CNOT(1->0) | RX(q=1) | CNOT(1->3) | CNOT(5->3) | CNOT(5->4) | RY(q=1) | RZ(q=4)	count=1: RY(q=0,θ=+9.416) | CNOT(0->4) | CNOT(0->5) | CNOT(5->2) | CNOT(2->0) | CNOT(5->2) | RX(q=4,θ=+9.425) | RX(q=1,θ=-0.071) | CNOT(1->5) | CNOT(1->0) | RX(q=1,θ=+3.142) | CNOT(1->3) | CNOT(5->3) | CNOT(5->4) | RY(q=1,θ=+3.142) | RZ(q=4,θ=+1.597)
4	1	RX(q=1) | CNOT(1->5) | CNOT(5->2) | CNOT(2->3) | RX(q=2) | RY(q=5) | CNOT(1->0) | CNOT(3->2) | RX(q=2) | CNOT(1->5) | RZ(q=1) | CNOT(1->2) | CNOT(5->1) | CNOT(3->4) | CNOT(0->5) | RX(q=3) | CNOT(0->3) | RX(q=4) | CNOT(0->1) | CNOT(5->2) | CNOT(0->3) | CNOT(3->1) | CNOT(4->3) | CNOT(3->2)	count=1: RX(q=1,θ=+0.068) | CNOT(1->5) | CNOT(5->2) | CNOT(2->3) | RX(q=2,θ=-0.107) | RY(q=5,θ=+3.142) | CNOT(1->0) | CNOT(3->2) | RX(q=2,θ=+3.247) | CNOT(1->5) | RZ(q=1,θ=+1.276) | CNOT(1->2) | CNOT(5->1) | CNOT(3->4) | CNOT(0->5) | RX(q=3,θ=+3.142) | CNOT(0->3) | RX(q=4,θ=-3.142) | CNOT(0->1) | CNOT(5->2) | CNOT(0->3) | CNOT(3->1) | CNOT(4->3) | CNOT(3->2)
5	1	RY(q=1) | CNOT(1->0) | RX(q=4) | RY(q=4) | CNOT(4->2) | CNOT(4->1) | CNOT(4->2) | CNOT(0->4) | CNOT(0->4) | RX(q=0) | CNOT(1->5) | RY(q=5) | CNOT(1->0)	count=1: RY(q=1,θ=+3.142) | CNOT(1->0) | RX(q=4,θ=+3.142) | RY(q=4,θ=+0.070) | CNOT(4->2) | CNOT(4->1) | CNOT(4->2) | CNOT(0->4) | CNOT(0->4) | RX(q=0,θ=+3.142) | CNOT(1->5) | RY(q=5,θ=+3.142) | CNOT(1->0)
6	1	RX(q=0) | CNOT(0->2) | RX(q=3) | RY(q=0) | CNOT(3->0) | CNOT(0->5) | RY(q=1) | CNOT(1->5) | CNOT(0->4) | CNOT(1->2) | CNOT(3->0) | CNOT(5->3) | CNOT(5->1) | CNOT(1->0) | RZ(q=5) | RX(q=3) | RX(q=4)	count=1: RX(q=0,θ=+3.142) | CNOT(0->2) | RX(q=3,θ=+0.064) | RY(q=0,θ=+3.142) | CNOT(3->0) | CNOT(0->5) | RY(q=1,θ=+3.141) | CNOT(1->5) | CNOT(0->4) | CNOT(1->2) | CNOT(3->0) | CNOT(5->3) | CNOT(5->1) | CNOT(1->0) | RZ(q=5,θ=+1.967) | RX(q=3,θ=+3.142) | RX(q=4,θ=+3.141)
7	1	RX(q=0) | RX(q=1) | CNOT(0->5) | RX(q=3) | CNOT(3->1) | RZ(q=3) | RY(q=0) | CNOT(1->0) | RY(q=4) | CNOT(5->3) | CNOT(5->4) | CNOT(3->5) | CNOT(5->4) | CNOT(1->2) | CNOT(1->3) | CNOT(1->2)	count=1: RX(q=0,θ=+3.142) | RX(q=1,θ=+15.708) | CNOT(0->5) | RX(q=3,θ=+3.071) | CNOT(3->1) | RZ(q=3,θ=+4.712) | RY(q=0,θ=+3.142) | CNOT(1->0) | RY(q=4,θ=+3.142) | CNOT(5->3) | CNOT(5->4) | CNOT(3->5) | CNOT(5->4) | CNOT(1->2) | CNOT(1->3) | CNOT(1->2)
8	1	RX(q=2) | RY(q=5) | CNOT(2->5) | RX(q=1) | RX(q=4) | CNOT(5->1) | CNOT(1->3) | RY(q=4) | CNOT(2->4) | RZ(q=5) | RY(q=3) | RX(q=3) | CNOT(5->0) | RX(q=2) | CNOT(0->5) | CNOT(2->3) | CNOT(4->5) | CNOT(1->2)	count=1: RX(q=2,θ=+3.072) | RY(q=5,θ=+9.425) | CNOT(2->5) | RX(q=1,θ=+6.283) | RX(q=4,θ=+3.141) | CNOT(5->1) | CNOT(1->3) | RY(q=4,θ=+3.141) | CNOT(2->4) | RZ(q=5,θ=+4.583) | RY(q=3,θ=+3.139) | RX(q=3,θ=+3.141) | CNOT(5->0) | RX(q=2,θ=+3.142) | CNOT(0->5) | CNOT(2->3) | CNOT(4->5) | CNOT(1->2)
9	1	RX(q=4) | CNOT(4->0) | CNOT(4->5) | CNOT(5->1) | RZ(q=0) | RX(q=5) | CNOT(4->5) | RX(q=2) | CNOT(0->5) | RX(q=4)	count=1: RX(q=4,θ=+0.070) | CNOT(4->0) | CNOT(4->5) | CNOT(5->1) | RZ(q=0,θ=-1.573) | RX(q=5,θ=+3.142) | CNOT(4->5) | RX(q=2,θ=-0.000) | CNOT(0->5) | RX(q=4,θ=+3.142)
10	1	RX(q=2) | RX(q=3) | CNOT(2->3) | CNOT(3->1) | RX(q=5) | RY(q=3) | RX(q=0) | CNOT(0->3) | CNOT(0->1) | CNOT(0->1) | CNOT(3->4) | CNOT(5->2) | CNOT(0->4) | CNOT(0->3) | RX(q=2) | CNOT(2->3) | CNOT(1->5) | CNOT(5->0) | RZ(q=4) | CNOT(4->2)	count=1: RX(q=2,θ=+0.070) | RX(q=3,θ=+0.000) | CNOT(2->3) | CNOT(3->1) | RX(q=5,θ=+3.142) | RY(q=3,θ=-3.142) | RX(q=0,θ=+3.142) | CNOT(0->3) | CNOT(0->1) | CNOT(0->1) | CNOT(3->4) | CNOT(5->2) | CNOT(0->4) | CNOT(0->3) | RX(q=2,θ=+0.000) | CNOT(2->3) | CNOT(1->5) | CNOT(5->0) | RZ(q=4,θ=-1.559) | CNOT(4->2)
