	ep568_s0	ep790_s0	ep10240_s0	ep226_s0	ep2171_s0	ep173_s0	ep339_s0	ep9776_s0	ep19396_s0	ep1333_s0
ep568_s0	1.000000	0.998006	0.999981	0.999686	0.999980	0.982380	0.999884	0.948723	0.999964	0.999963
ep790_s0	0.998006	1.000000	0.998018	0.998488	0.997859	0.980642	0.998250	0.947110	0.998121	0.997999
ep10240_s0	0.999981	0.998018	1.000000	0.999636	0.999949	0.982384	0.999889	0.948668	0.999933	0.999947
ep226_s0	0.999686	0.998488	0.999636	1.000000	0.999767	0.981886	0.999381	0.948791	0.999851	0.999632
ep2171_s0	0.999980	0.997859	0.999949	0.999767	1.000000	0.982288	0.999779	0.948791	0.999987	0.999935
ep173_s0	0.982380	0.980642	0.982384	0.981886	0.982288	1.000000	0.982415	0.970436	0.982269	0.982358
ep339_s0	0.999884	0.998250	0.999889	0.999381	0.999779	0.982415	1.000000	0.948731	0.999757	0.999866
ep9776_s0	0.948723	0.947110	0.948668	0.948791	0.948791	0.970436	0.948731	1.000000	0.948777	0.948690
ep19396_s0	0.999964	0.998121	0.999933	0.999851	0.999987	0.982269	0.999757	0.948777	1.000000	0.999919
ep1333_s0	0.999963	0.997999	0.999947	0.999632	0.999935	0.982358	0.999866	0.948690	0.999919	1.000000
