display_value	count	seed_count	min_first_hit_error_mha	max_first_hit_error_mha
0.23	1	1	0.2337796741	0.2337796741
0.27	2	1	0.2666814380	0.2738339954
0.28	1	1	0.2805097156	0.2805097156
0.29	1	1	0.2867085986	0.2867085986
0.31	1	1	0.3110272937	0.3110272937
0.35	1	1	0.3486974292	0.3486974292
0.36	1	1	0.3606183582	0.3606183582
0.37	1	1	0.3749234729	0.3749234729
0.38	2	1	0.3758771472	0.3830297046
0.41	2	1	0.4102094226	0.4121167712
0.47	1	1	0.4717214160	0.4717214160
0.49	1	1	0.4927022510	0.4927022510
0.5	2	1	0.5003316455	0.5017621570
0.54	2	1	0.5370481067	0.5384786182
0.57	1	1	0.5651814990	0.5651814990
0.61	1	1	0.6085736804	0.6085736804
0.67	1	1	0.6677014880	0.6677014880
0.73	1	1	0.7306439929	0.7306439929
0.77	1	1	0.7730825000	0.7730825000
0.82	1	1	0.8207662158	0.8207662158
0.83	5	1	0.8274419360	0.8336408191
0.86	4	1	0.8574826770	0.8636815601
0.89	1	1	0.8908612781	0.8908612781
0.91	2	1	0.9089810901	0.9113652759
0.93	1	1	0.9342534595	0.9342534595
0.94	2	1	0.9409291797	0.9418828540
0.96	2	1	0.9557111316	0.9633405261
0.98	3	1	0.9766919666	0.9814603381
1	2	1	1.0486943774	1.0496480518
1.1	18411	1	1.0525090747	1.1497838550
1.2	438	1	1.1502606921	1.2499196582
1.3	232	1	1.2503964954	1.3495786243
1.4	178	1	1.3500554614	1.4497144275
1.5	133	1	1.4516217761	1.5498502307
1.6	56	1	1.5512807422	1.5994412952
