rank	action	count
1	RX(q=5)	3022
2	RX(q=4)	2718
3	RY(q=4)	2195
4	RY(q=5)	1995
5	CNOT(4->5)	1869
6	CNOT(5->4)	1194
7	RX(q=2)	167
8	RX(q=0)	157
9	CNOT(5->3)	146
10	RX(q=3)	129
11	CNOT(4->2)	125
12	CNOT(5->2)	122
13	CNOT(4->3)	119
14	CNOT(4->1)	105
15	RY(q=2)	102
16	RY(q=0)	97
17	CNOT(5->0)	90
18	CNOT(4->0)	88
19	CNOT(5->1)	86
20	RY(q=3)	78
21	RX(q=1)	69
22	CNOT(1->5)	63
23	RY(q=1)	58
24	CNOT(1->2)	57
25	CNOT(2->5)	57
26	CNOT(1->0)	57
27	CNOT(2->0)	55
28	CNOT(2->3)	53
29	CNOT(2->4)	49
30	CNOT(3->2)	49
31	CNOT(0->3)	47
32	CNOT(2->1)	47
33	CNOT(0->4)	47
34	CNOT(0->2)	41
35	RZ(q=5)	40
36	RZ(q=1)	40
37	CNOT(1->4)	40
38	CNOT(3->4)	39
39	RZ(q=0)	39
40	CNOT(0->5)	39
41	CNOT(1->3)	37
42	CNOT(3->5)	37
43	CNOT(3->0)	36
44	CNOT(0->1)	35
45	RZ(q=4)	34
46	RZ(q=3)	33
47	CNOT(3->1)	33
48	RZ(q=2)	27
