episode_key	run_dir	episode	snapshot_index	event_step	event_error_mha	baseline_error_mha	retained_error_mha	delta_error_mha	allowed_error_mha	original_gate_count	fixed_gate_count	effective_max_prune_steps	retained_gate_count	removed_gate_count	redundancy_ratio_pct	resolved_optimizer	last_action	retained_gates	retained_gates_with_angles	retained_signature
crlqas__L2_LiH_Equil_6q__L2_LiH_Equil_6q_cobyla_20k_curriculum__seed11111__ep3966__snap0	/home/ubuntu/NeurIPS2026/PSQASBench/results/crlqas/L2_LiH_Equil_6q/Formal_EXP/L2_LiH_Equil_6q_cobyla_20k_curriculum/seed11111	3966	0	4	1.053940	1.053896	1.053895	-0.000001	1.153896	4	1	3	2	2	50.00	cobyla	CNOT(4->5)	RX(q=4) | CNOT(4->5)	RX(q=4,θ=+3.142) | CNOT(4->5)	"[""RX(q=4)"", ""CNOT(4->5)""]"
crlqas__L2_LiH_Equil_6q__L2_LiH_Equil_6q_cobyla_20k_curriculum__seed11111__ep2788__snap0	/home/ubuntu/NeurIPS2026/PSQASBench/results/crlqas/L2_LiH_Equil_6q/Formal_EXP/L2_LiH_Equil_6q_cobyla_20k_curriculum/seed11111	2788	0	8	1.053940	1.053898	1.053895	-0.000003	1.153898	8	1	7	2	6	75.00	cobyla	CNOT(4->5)	RX(q=4) | CNOT(4->5)	RX(q=4,θ=+3.142) | CNOT(4->5)	"[""RX(q=4)"", ""CNOT(4->5)""]"
crlqas__L2_LiH_Equil_6q__L2_LiH_Equil_6q_cobyla_20k_curriculum__seed11111__ep16546__snap0	/home/ubuntu/NeurIPS2026/PSQASBench/results/crlqas/L2_LiH_Equil_6q/Formal_EXP/L2_LiH_Equil_6q_cobyla_20k_curriculum/seed11111	16546	0	7	1.053940	1.053894	1.053894	-0.000000	1.153894	7	2	5	2	5	71.43	cobyla	RX(q=4)	RX(q=5) | RX(q=4)	RX(q=5,θ=-3.142) | RX(q=4,θ=-3.142)	"[""RX(q=5)"", ""RX(q=4)""]"
crlqas__L2_LiH_Equil_6q__L2_LiH_Equil_6q_cobyla_20k_curriculum__seed11111__ep2149__snap0	/home/ubuntu/NeurIPS2026/PSQASBench/results/crlqas/L2_LiH_Equil_6q/Formal_EXP/L2_LiH_Equil_6q_cobyla_20k_curriculum/seed11111	2149	0	17	1.054893	1.053895	1.053894	-0.000001	1.153895	17	2	15	2	15	88.24	cobyla	RY(q=1)	RY(q=5) | RX(q=4)	RY(q=5,θ=-3.142) | RX(q=4,θ=-3.142)	"[""RY(q=5)"", ""RX(q=4)""]"
crlqas__L2_LiH_Equil_6q__L2_LiH_Equil_6q_cobyla_20k_curriculum__seed11111__ep17548__snap0	/home/ubuntu/NeurIPS2026/PSQASBench/results/crlqas/L2_LiH_Equil_6q/Formal_EXP/L2_LiH_Equil_6q_cobyla_20k_curriculum/seed11111	17548	0	5	1.053940	1.053894	1.053894	-0.000000	1.153894	5	2	3	2	3	60.00	cobyla	RX(q=5)	RY(q=4) | RX(q=5)	RY(q=4,θ=+3.142) | RX(q=5,θ=-3.142)	"[""RY(q=4)"", ""RX(q=5)""]"
crlqas__L2_LiH_Equil_6q__L2_LiH_Equil_6q_cobyla_20k_curriculum__seed11111__ep1575__snap0	/home/ubuntu/NeurIPS2026/PSQASBench/results/crlqas/L2_LiH_Equil_6q/Formal_EXP/L2_LiH_Equil_6q_cobyla_20k_curriculum/seed11111	1575	0	31	1.053940	1.053894	1.053894	-0.000000	1.153894	31	3	28	3	28	90.32	cobyla	RX(q=0)	RY(q=4) | RY(q=5) | RX(q=0)	RY(q=4,θ=+3.142) | RY(q=5,θ=-3.142) | RX(q=0,θ=-6.283)	"[""RY(q=4)"", ""RY(q=5)"", ""RX(q=0)""]"
crlqas__L2_LiH_Equil_6q__L2_LiH_Equil_6q_cobyla_20k_curriculum__seed11111__ep5837__snap0	/home/ubuntu/NeurIPS2026/PSQASBench/results/crlqas/L2_LiH_Equil_6q/Formal_EXP/L2_LiH_Equil_6q_cobyla_20k_curriculum/seed11111	5837	0	4	1.053940	1.053894	1.053894	0.000000	1.153894	4	1	3	2	2	50.00	cobyla	RY(q=5)	RX(q=4) | RY(q=5)	RX(q=4,θ=+3.142) | RY(q=5,θ=+3.142)	"[""RX(q=4)"", ""RY(q=5)""]"
crlqas__L2_LiH_Equil_6q__L2_LiH_Equil_6q_cobyla_20k_curriculum__seed11111__ep11524__snap0	/home/ubuntu/NeurIPS2026/PSQASBench/results/crlqas/L2_LiH_Equil_6q/Formal_EXP/L2_LiH_Equil_6q_cobyla_20k_curriculum/seed11111	11524	0	3	1.053940	1.053894	1.053894	-0.000000	1.153894	3	2	1	2	1	33.33	cobyla	RY(q=4)	RX(q=5) | RY(q=4)	RX(q=5,θ=+3.142) | RY(q=4,θ=+3.142)	"[""RX(q=5)"", ""RY(q=4)""]"
crlqas__L2_LiH_Equil_6q__L2_LiH_Equil_6q_cobyla_20k_curriculum__seed11111__ep15421__snap0	/home/ubuntu/NeurIPS2026/PSQASBench/results/crlqas/L2_LiH_Equil_6q/Formal_EXP/L2_LiH_Equil_6q_cobyla_20k_curriculum/seed11111	15421	0	4	1.053940	1.053896	1.053897	0.000001	1.153896	4	1	3	2	2	50.00	cobyla	CNOT(5->4)	RX(q=5) | CNOT(5->4)	RX(q=5,θ=+3.142) | CNOT(5->4)	"[""RX(q=5)"", ""CNOT(5->4)""]"
crlqas__L2_LiH_Equil_6q__L2_LiH_Equil_6q_cobyla_20k_curriculum__seed11111__ep3640__snap0	/home/ubuntu/NeurIPS2026/PSQASBench/results/crlqas/L2_LiH_Equil_6q/Formal_EXP/L2_LiH_Equil_6q_cobyla_20k_curriculum/seed11111	3640	0	10	1.053940	1.053894	1.053894	-0.000001	1.153894	10	1	9	2	8	80.00	cobyla	RY(q=0)	RY(q=4) | RY(q=5)	RY(q=4,θ=+3.142) | RY(q=5,θ=-3.142)	"[""RY(q=4)"", ""RY(q=5)""]"
