bucket	count	seed_count	mean_hit_step	mean_episode
0.26	1	1	17.0	1462.0
0.27	1	1	29.0	0.0
0.44	2	1	31.0	5.0
0.48	1	1	23.0	2930.0
0.78	1	1	41.0	272.0
0.79	1	1	41.0	459.0
0.81	1	1	27.0	286.0
0.82	1	1	35.0	2.0
0.83	1	1	22.0	2172.0
0.84	1	1	45.0	430.0
0.85	1	1	15.0	221.0
0.86	1	1	20.0	368.0
0.87	1	1	28.0	703.0
0.90	1	1	35.0	506.0
0.94	1	1	38.0	357.0
0.95	1	1	35.0	994.0
0.97	2	1	33.0	319.0
0.98	1	1	16.0	606.0
0.99	1	1	25.0	1119.0
1.05	19074	1	2.7326727482436826	10337.054996330084
1.06	222	1	12.405405405405405	3211.675675675676
1.07	87	1	12.080459770114942	3637.793103448276
1.08	53	1	12.79245283018868	2956.132075471698
1.09	33	1	14.696969696969697	1850.4242424242425
1.10	74	1	6.4324324324324325	6696.175675675676
1.11	29	1	17.551724137931036	2324.2758620689656
1.12	25	1	17.12	2408.88
1.13	19	1	19.526315789473685	2547.7368421052633
1.14	16	1	18.875	3676.875
1.15	14	1	24.0	1346.642857142857
1.16	10	1	18.1	1964.0
1.17	8	1	16.125	1418.0
1.18	13	1	17.615384615384617	2990.4615384615386
1.19	13	1	19.153846153846153	2526.076923076923
1.20	9	1	15.777777777777779	3490.4444444444443
1.21	27	1	11.481481481481481	5045.148148148148
1.22	3	1	15.666666666666666	2384.3333333333335
1.23	7	1	26.714285714285715	2096.8571428571427
1.24	8	1	24.75	3833.75
1.25	6	1	29.5	816.6666666666666
1.26	6	1	26.333333333333332	824.6666666666666
1.27	6	1	24.166666666666668	1437.0
1.28	10	1	22.8	3821.7
1.29	3	1	18.666666666666668	857.3333333333334
1.30	9	1	18.0	4563.111111111111
1.31	10	1	26.9	664.8
1.32	4	1	33.0	802.0
1.33	2	1	14.5	3436.5
1.34	4	1	36.75	213.25
1.35	6	1	31.0	1824.5
1.36	6	1	19.833333333333332	2249.5
1.37	8	1	29.0	2697.625
1.38	5	1	25.2	1223.4
1.39	3	1	28.666666666666668	2796.6666666666665
1.40	2	1	37.5	211.0
1.41	5	1	29.8	1360.8
1.42	2	1	37.5	458.0
1.43	7	1	33.857142857142854	1138.5714285714287
1.44	4	1	26.25	2064.25
1.45	5	1	22.0	1540.6
1.46	6	1	27.333333333333332	2152.8333333333335
1.47	5	1	15.6	2680.4
1.48	3	1	23.333333333333332	778.3333333333334
1.49	2	1	14.5	804.0
1.50	2	1	33.0	665.5
1.51	4	1	25.25	2752.25
1.52	4	1	17.5	5915.25
1.53	2	1	33.5	1443.5
1.54	6	1	23.5	3375.1666666666665
1.55	5	1	28.6	2366.2
1.56	3	1	20.0	1335.6666666666667
1.57	4	1	19.25	2506.5
1.58	2	1	39.5	1792.0
1.59	2	1	24.0	1619.0
1.60	2	1	21.0	1110.0
