display_value	count	seed_count	min_first_hit_error_mha	max_first_hit_error_mha
0.26	1	1	0.2568032034	0.2568032034
0.27	1	1	0.2658518842	0.2658518842
0.44	2	1	0.4352567095	0.4443547963
0.48	1	1	0.4845929111	0.4845929111
0.78	1	1	0.7784173772	0.7784173772
0.79	1	1	0.7932753256	0.7932753256
0.81	1	1	0.8102082942	0.8102082942
0.82	1	1	0.8216324472	0.8216324472
0.83	1	1	0.8302028514	0.8302028514
0.84	1	1	0.8391196325	0.8391196325
0.85	1	1	0.8532313343	0.8532313343
0.86	1	1	0.8603686930	0.8603686930
0.87	1	1	0.8732203835	0.8732203835
0.9	1	1	0.9004525038	0.9004525038
0.94	1	1	0.9365226647	0.9365226647
0.95	1	1	0.9489011150	0.9489011150
0.97	2	1	0.9650322711	0.9679428532
0.98	1	1	0.9760849978	0.9760849978
0.99	1	1	0.9939437514	0.9939437514
1.1	19639	1	1.0538920178	1.1497563939
1.2	110	1	1.1500015551	1.2477827307
1.3	57	1	1.2508077631	1.3489381550
1.4	48	1	1.3529538179	1.4493999039
1.5	41	1	1.4522073721	1.5490726363
1.6	14	1	1.5501152828	1.5965550206
