display_value	count	seed_count	min_first_hit_error_mha	max_first_hit_error_mha
0.25	1	1	0.2538068347	0.2538068347
0.26	1	1	0.2638204150	0.2638204150
0.27	1	1	0.2695424609	0.2695424609
0.31	1	1	0.3095967822	0.3095967822
0.33	1	1	0.3296239429	0.3296239429
0.34	1	1	0.3424985461	0.3424985461
0.35	1	1	0.3472669177	0.3472669177
0.4	2	1	0.3954274707	0.4001958423
0.43	1	1	0.4278523975	0.4278523975
0.44	1	1	0.4388196521	0.4388196521
0.45	1	1	0.4540784412	0.4540784412
0.57	1	1	0.5670888477	0.5670888477
0.68	1	1	0.6767613940	0.6767613940
0.78	1	1	0.7773740344	0.7773740344
0.81	1	1	0.8064611011	0.8064611011
0.83	1	1	0.8274419360	0.8274419360
0.84	1	1	0.8379323535	0.8379323535
0.88	1	1	0.8832318835	0.8832318835
0.89	1	1	0.8903844409	0.8903844409
0.9	2	1	0.8984906726	0.9023053699
0.91	1	1	0.9080274158	0.9080274158
0.92	2	1	0.9170873218	0.9218556934
0.95	1	1	0.9452207141	0.9452207141
0.96	2	1	0.9585721545	0.9600026660
0.97	1	1	0.9695394092	0.9695394092
1	7	1	1.0138852649	1.0486943774
1.1	18487	1	1.0534627490	1.1497838550
1.2	393	1	1.1502606921	1.2499196582
1.3	233	1	1.2503964954	1.3495786243
1.4	178	1	1.3500554614	1.4492375903
1.5	146	1	1.4501912646	1.5488965564
1.6	61	1	1.5503270679	1.5999181323
