episode_key	run_dir	method	molecule	config	seed	episode	snapshot_index	event_step	event_error_mha	last_action	prefix_len
crlqas__L2_LiH_Equil_6q__L2_LiH_Equil_6q_cobyla_20k_curriculum_impwt__seed11111__ep6146__snap0	/home/ubuntu/NeurIPS2026/PSQASBench/results/crlqas/L2_LiH_Equil_6q/HubBias_EXP/L2_LiH_Equil_6q_cobyla_20k_curriculum_impwt/seed11111	crlqas	L2_LiH_Equil_6q	L2_LiH_Equil_6q_cobyla_20k_curriculum_impwt	seed11111	6146	0	26	0.3096	RZ(q=5)	26
crlqas__L2_LiH_Equil_6q__L2_LiH_Equil_6q_cobyla_20k_curriculum_impwt__seed11111__ep1927__snap0	/home/ubuntu/NeurIPS2026/PSQASBench/results/crlqas/L2_LiH_Equil_6q/HubBias_EXP/L2_LiH_Equil_6q_cobyla_20k_curriculum_impwt/seed11111	crlqas	L2_LiH_Equil_6q	L2_LiH_Equil_6q_cobyla_20k_curriculum_impwt	seed11111	1927	0	29	0.4002	CNOT(2->0)	29
crlqas__L2_LiH_Equil_6q__L2_LiH_Equil_6q_cobyla_20k_curriculum_impwt__seed11111__ep13413__snap0	/home/ubuntu/NeurIPS2026/PSQASBench/results/crlqas/L2_LiH_Equil_6q/HubBias_EXP/L2_LiH_Equil_6q_cobyla_20k_curriculum_impwt/seed11111	crlqas	L2_LiH_Equil_6q	L2_LiH_Equil_6q_cobyla_20k_curriculum_impwt	seed11111	13413	0	21	0.3954	RY(q=2)	21
crlqas__L2_LiH_Equil_6q__L2_LiH_Equil_6q_cobyla_20k_curriculum_impwt__seed11111__ep267__snap0	/home/ubuntu/NeurIPS2026/PSQASBench/results/crlqas/L2_LiH_Equil_6q/HubBias_EXP/L2_LiH_Equil_6q_cobyla_20k_curriculum_impwt/seed11111	crlqas	L2_LiH_Equil_6q	L2_LiH_Equil_6q_cobyla_20k_curriculum_impwt	seed11111	267	0	38	0.2538	RX(q=4)	38
crlqas__L2_LiH_Equil_6q__L2_LiH_Equil_6q_cobyla_20k_curriculum_impwt__seed11111__ep13340__snap0	/home/ubuntu/NeurIPS2026/PSQASBench/results/crlqas/L2_LiH_Equil_6q/HubBias_EXP/L2_LiH_Equil_6q_cobyla_20k_curriculum_impwt/seed11111	crlqas	L2_LiH_Equil_6q	L2_LiH_Equil_6q_cobyla_20k_curriculum_impwt	seed11111	13340	0	13	0.3473	CNOT(0->5)	13
crlqas__L2_LiH_Equil_6q__L2_LiH_Equil_6q_cobyla_20k_curriculum_impwt__seed11111__ep7303__snap0	/home/ubuntu/NeurIPS2026/PSQASBench/results/crlqas/L2_LiH_Equil_6q/HubBias_EXP/L2_LiH_Equil_6q_cobyla_20k_curriculum_impwt/seed11111	crlqas	L2_LiH_Equil_6q	L2_LiH_Equil_6q_cobyla_20k_curriculum_impwt	seed11111	7303	0	19	0.2638	CNOT(5->0)	19
crlqas__L2_LiH_Equil_6q__L2_LiH_Equil_6q_cobyla_20k_curriculum_impwt__seed11111__ep3964__snap0	/home/ubuntu/NeurIPS2026/PSQASBench/results/crlqas/L2_LiH_Equil_6q/HubBias_EXP/L2_LiH_Equil_6q_cobyla_20k_curriculum_impwt/seed11111	crlqas	L2_LiH_Equil_6q	L2_LiH_Equil_6q_cobyla_20k_curriculum_impwt	seed11111	3964	0	15	0.3425	RX(q=1)	15
crlqas__L2_LiH_Equil_6q__L2_LiH_Equil_6q_cobyla_20k_curriculum_impwt__seed11111__ep9128__snap0	/home/ubuntu/NeurIPS2026/PSQASBench/results/crlqas/L2_LiH_Equil_6q/HubBias_EXP/L2_LiH_Equil_6q_cobyla_20k_curriculum_impwt/seed11111	crlqas	L2_LiH_Equil_6q	L2_LiH_Equil_6q_cobyla_20k_curriculum_impwt	seed11111	9128	0	40	0.2695	CNOT(3->5)	40
crlqas__L2_LiH_Equil_6q__L2_LiH_Equil_6q_cobyla_20k_curriculum_impwt__seed11111__ep1259__snap0	/home/ubuntu/NeurIPS2026/PSQASBench/results/crlqas/L2_LiH_Equil_6q/HubBias_EXP/L2_LiH_Equil_6q_cobyla_20k_curriculum_impwt/seed11111	crlqas	L2_LiH_Equil_6q	L2_LiH_Equil_6q_cobyla_20k_curriculum_impwt	seed11111	1259	0	17	0.4388	CNOT(5->4)	17
crlqas__L2_LiH_Equil_6q__L2_LiH_Equil_6q_cobyla_20k_curriculum_impwt__seed11111__ep4079__snap0	/home/ubuntu/NeurIPS2026/PSQASBench/results/crlqas/L2_LiH_Equil_6q/HubBias_EXP/L2_LiH_Equil_6q_cobyla_20k_curriculum_impwt/seed11111	crlqas	L2_LiH_Equil_6q	L2_LiH_Equil_6q_cobyla_20k_curriculum_impwt	seed11111	4079	0	30	0.4541	CNOT(5->0)	30
