episode_key	run_dir	episode	snapshot_index	event_step	event_error_mha	baseline_error_mha	retained_error_mha	delta_error_mha	allowed_error_mha	original_gate_count	fixed_gate_count	effective_max_prune_steps	retained_gate_count	removed_gate_count	redundancy_ratio_pct	resolved_optimizer	last_action	retained_gates	retained_gates_with_angles	retained_signature
crlqas__L2_LiH_Equil_6q__L2_LiH_Equil_6q_cobyla_20k_curriculum_impwt__seed11111__ep6146__snap0	/home/ubuntu/NeurIPS2026/PSQASBench/results/crlqas/L2_LiH_Equil_6q/HubBias_EXP/L2_LiH_Equil_6q_cobyla_20k_curriculum_impwt/seed11111	6146	0	26	0.309597	0.231757	0.229935	-0.001822	0.550000	26	5	21	14	12	46.15	cobyla	RZ(q=5)	RX(q=3) | RY(q=1) | RX(q=4) | RY(q=5) | RX(q=4) | CNOT(3->0) | CNOT(3->2) | CNOT(2->5) | CNOT(2->4) | CNOT(2->3) | RX(q=4) | CNOT(0->2) | CNOT(4->1) | RZ(q=5)	RX(q=3,θ=+0.070) | RY(q=1,θ=-3.142) | RX(q=4,θ=-0.835) | RY(q=5,θ=+3.142) | RX(q=4,θ=-1.820) | CNOT(3->0) | CNOT(3->2) | CNOT(2->5) | CNOT(2->4) | CNOT(2->3) | RX(q=4,θ=-0.487) | CNOT(0->2) | CNOT(4->1) | RZ(q=5,θ=+1.524)	"[""RX(q=3)"", ""RY(q=1)"", ""RX(q=4)"", ""RY(q=5)"", ""RX(q=4)"", ""CNOT(3->0)"", ""CNOT(3->2)"", ""CNOT(2->5)"", ""CNOT(2->4)"", ""CNOT(2->3)"", ""RX(q=4)"", ""CNOT(0->2)"", ""CNOT(4->1)"", ""RZ(q=5)""]"
crlqas__L2_LiH_Equil_6q__L2_LiH_Equil_6q_cobyla_20k_curriculum_impwt__seed11111__ep1927__snap0	/home/ubuntu/NeurIPS2026/PSQASBench/results/crlqas/L2_LiH_Equil_6q/HubBias_EXP/L2_LiH_Equil_6q_cobyla_20k_curriculum_impwt/seed11111	1927	0	29	0.400196	0.268136	0.232367	-0.035769	0.568136	29	2	27	14	15	51.72	cobyla	CNOT(2->0)	RX(q=4) | CNOT(4->5) | RX(q=1) | RX(q=5) | CNOT(1->2) | CNOT(2->5) | RZ(q=2) | CNOT(1->4) | RY(q=2) | CNOT(5->1) | CNOT(4->2) | RX(q=0) | CNOT(5->1) | CNOT(5->0)	RX(q=4,θ=+9.425) | CNOT(4->5) | RX(q=1,θ=+0.070) | RX(q=5,θ=+6.283) | CNOT(1->2) | CNOT(2->5) | RZ(q=2,θ=+7.787) | CNOT(1->4) | RY(q=2,θ=+3.137) | CNOT(5->1) | CNOT(4->2) | RX(q=0,θ=+3.141) | CNOT(5->1) | CNOT(5->0)	"[""RX(q=4)"", ""CNOT(4->5)"", ""RX(q=1)"", ""RX(q=5)"", ""CNOT(1->2)"", ""CNOT(2->5)"", ""RZ(q=2)"", ""CNOT(1->4)"", ""RY(q=2)"", ""CNOT(5->1)"", ""CNOT(4->2)"", ""RX(q=0)"", ""CNOT(5->1)"", ""CNOT(5->0)""]"
crlqas__L2_LiH_Equil_6q__L2_LiH_Equil_6q_cobyla_20k_curriculum_impwt__seed11111__ep13413__snap0	/home/ubuntu/NeurIPS2026/PSQASBench/results/crlqas/L2_LiH_Equil_6q/HubBias_EXP/L2_LiH_Equil_6q_cobyla_20k_curriculum_impwt/seed11111	13413	0	21	0.395427	0.378584	0.228544	-0.150040	0.678584	21	2	19	16	5	23.81	cobyla	RY(q=2)	RY(q=3) | RY(q=4) | CNOT(4->1) | CNOT(4->3) | RY(q=0) | CNOT(4->5) | RX(q=5) | CNOT(5->4) | RY(q=1) | CNOT(5->2) | CNOT(0->2) | CNOT(2->0) | CNOT(5->3) | CNOT(5->4) | RX(q=5) | RY(q=2)	RY(q=3,θ=+3.142) | RY(q=4,θ=+3.212) | CNOT(4->1) | CNOT(4->3) | RY(q=0,θ=-1.591) | CNOT(4->5) | RX(q=5,θ=-3.142) | CNOT(5->4) | RY(q=1,θ=+3.142) | CNOT(5->2) | CNOT(0->2) | CNOT(2->0) | CNOT(5->3) | CNOT(5->4) | RX(q=5,θ=+3.142) | RY(q=2,θ=+1.591)	"[""RY(q=3)"", ""RY(q=4)"", ""CNOT(4->1)"", ""CNOT(4->3)"", ""RY(q=0)"", ""CNOT(4->5)"", ""RX(q=5)"", ""CNOT(5->4)"", ""RY(q=1)"", ""CNOT(5->2)"", ""CNOT(0->2)"", ""CNOT(2->0)"", ""CNOT(5->3)"", ""CNOT(5->4)"", ""RX(q=5)"", ""RY(q=2)""]"
crlqas__L2_LiH_Equil_6q__L2_LiH_Equil_6q_cobyla_20k_curriculum_impwt__seed11111__ep267__snap0	/home/ubuntu/NeurIPS2026/PSQASBench/results/crlqas/L2_LiH_Equil_6q/HubBias_EXP/L2_LiH_Equil_6q_cobyla_20k_curriculum_impwt/seed11111	267	0	38	0.253807	0.249475	0.228115	-0.021360	0.550000	38	3	35	21	17	44.74	cobyla	RX(q=4)	RX(q=3) | CNOT(3->1) | RY(q=3) | CNOT(3->4) | RY(q=2) | RY(q=0) | CNOT(1->4) | CNOT(3->5) | CNOT(5->4) | CNOT(3->0) | CNOT(5->2) | CNOT(1->5) | CNOT(2->5) | RZ(q=5) | RZ(q=4) | CNOT(3->4) | RY(q=4) | CNOT(3->4) | CNOT(0->3) | CNOT(0->2) | RX(q=3)	RX(q=3,θ=+12.496) | CNOT(3->1) | RY(q=3,θ=+3.142) | CNOT(3->4) | RY(q=2,θ=+3.142) | RY(q=0,θ=+3.142) | CNOT(1->4) | CNOT(3->5) | CNOT(5->4) | CNOT(3->0) | CNOT(5->2) | CNOT(1->5) | CNOT(2->5) | RZ(q=5,θ=+3.849) | RZ(q=4,θ=+2.278) | CNOT(3->4) | RY(q=4,θ=+3.142) | CNOT(3->4) | CNOT(0->3) | CNOT(0->2) | RX(q=3,θ=+3.142)	"[""RX(q=3)"", ""CNOT(3->1)"", ""RY(q=3)"", ""CNOT(3->4)"", ""RY(q=2)"", ""RY(q=0)"", ""CNOT(1->4)"", ""CNOT(3->5)"", ""CNOT(5->4)"", ""CNOT(3->0)"", ""CNOT(5->2)"", ""CNOT(1->5)"", ""CNOT(2->5)"", ""RZ(q=5)"", ""RZ(q=4)"", ""CNOT(3->4)"", ""RY(q=4)"", ""CNOT(3->4)"", ""CNOT(0->3)"", ""CNOT(0->2)"", ""RX(q=3)""]"
crlqas__L2_LiH_Equil_6q__L2_LiH_Equil_6q_cobyla_20k_curriculum_impwt__seed11111__ep13340__snap0	/home/ubuntu/NeurIPS2026/PSQASBench/results/crlqas/L2_LiH_Equil_6q/HubBias_EXP/L2_LiH_Equil_6q_cobyla_20k_curriculum_impwt/seed11111	13340	0	13	0.347267	0.266429	0.228135	-0.038294	0.566429	13	1	12	7	6	46.15	cobyla	CNOT(0->5)	RX(q=0) | CNOT(0->4) | CNOT(4->1) | RX(q=5) | RZ(q=1) | RX(q=4) | CNOT(0->5)	RX(q=0,θ=+0.070) | CNOT(0->4) | CNOT(4->1) | RX(q=5,θ=+3.142) | RZ(q=1,θ=-1.575) | RX(q=4,θ=+3.142) | CNOT(0->5)	"[""RX(q=0)"", ""CNOT(0->4)"", ""CNOT(4->1)"", ""RX(q=5)"", ""RZ(q=1)"", ""RX(q=4)"", ""CNOT(0->5)""]"
crlqas__L2_LiH_Equil_6q__L2_LiH_Equil_6q_cobyla_20k_curriculum_impwt__seed11111__ep7303__snap0	/home/ubuntu/NeurIPS2026/PSQASBench/results/crlqas/L2_LiH_Equil_6q/HubBias_EXP/L2_LiH_Equil_6q_cobyla_20k_curriculum_impwt/seed11111	7303	0	19	0.263820	0.230980	0.228275	-0.002705	0.550000	19	3	16	9	10	52.63	cobyla	CNOT(5->0)	RY(q=4) | CNOT(4->0) | CNOT(4->1) | RX(q=5) | RY(q=4) | CNOT(5->1) | RZ(q=1) | CNOT(5->4) | CNOT(5->0)	RY(q=4,θ=+9.425) | CNOT(4->0) | CNOT(4->1) | RX(q=5,θ=+3.071) | RY(q=4,θ=+3.141) | CNOT(5->1) | RZ(q=1,θ=+1.585) | CNOT(5->4) | CNOT(5->0)	"[""RY(q=4)"", ""CNOT(4->0)"", ""CNOT(4->1)"", ""RX(q=5)"", ""RY(q=4)"", ""CNOT(5->1)"", ""RZ(q=1)"", ""CNOT(5->4)"", ""CNOT(5->0)""]"
crlqas__L2_LiH_Equil_6q__L2_LiH_Equil_6q_cobyla_20k_curriculum_impwt__seed11111__ep3964__snap0	/home/ubuntu/NeurIPS2026/PSQASBench/results/crlqas/L2_LiH_Equil_6q/HubBias_EXP/L2_LiH_Equil_6q_cobyla_20k_curriculum_impwt/seed11111	3964	0	15	0.342499	0.263525	0.228272	-0.035253	0.563525	15	1	14	7	8	53.33	cobyla	RX(q=1)	RX(q=5) | CNOT(5->0) | RZ(q=5) | RY(q=5) | CNOT(5->1) | CNOT(1->4) | RX(q=1)	RX(q=5,θ=+6.354) | CNOT(5->0) | RZ(q=5,θ=+1.585) | RY(q=5,θ=+3.142) | CNOT(5->1) | CNOT(1->4) | RX(q=1,θ=+3.142)	"[""RX(q=5)"", ""CNOT(5->0)"", ""RZ(q=5)"", ""RY(q=5)"", ""CNOT(5->1)"", ""CNOT(1->4)"", ""RX(q=1)""]"
crlqas__L2_LiH_Equil_6q__L2_LiH_Equil_6q_cobyla_20k_curriculum_impwt__seed11111__ep9128__snap0	/home/ubuntu/NeurIPS2026/PSQASBench/results/crlqas/L2_LiH_Equil_6q/HubBias_EXP/L2_LiH_Equil_6q_cobyla_20k_curriculum_impwt/seed11111	9128	0	40	0.269542	0.228789	0.232020	0.003231	0.550000	40	4	36	27	13	32.50	cobyla	CNOT(3->5)	RX(q=5) | CNOT(5->0) | RY(q=4) | CNOT(5->4) | CNOT(4->3) | CNOT(5->1) | CNOT(5->2) | CNOT(0->5) | RZ(q=1) | CNOT(0->4) | CNOT(3->1) | CNOT(1->5) | CNOT(5->3) | CNOT(4->2) | CNOT(3->4) | CNOT(4->1) | CNOT(1->4) | CNOT(1->2) | CNOT(0->4) | CNOT(1->4) | CNOT(2->4) | CNOT(3->5) | CNOT(3->2) | CNOT(1->3) | CNOT(1->2) | RX(q=2) | CNOT(5->4)	RX(q=5,θ=+0.070) | CNOT(5->0) | RY(q=4,θ=-3.141) | CNOT(5->4) | CNOT(4->3) | CNOT(5->1) | CNOT(5->2) | CNOT(0->5) | RZ(q=1,θ=-1.640) | CNOT(0->4) | CNOT(3->1) | CNOT(1->5) | CNOT(5->3) | CNOT(4->2) | CNOT(3->4) | CNOT(4->1) | CNOT(1->4) | CNOT(1->2) | CNOT(0->4) | CNOT(1->4) | CNOT(2->4) | CNOT(3->5) | CNOT(3->2) | CNOT(1->3) | CNOT(1->2) | RX(q=2,θ=-3.142) | CNOT(5->4)	"[""RX(q=5)"", ""CNOT(5->0)"", ""RY(q=4)"", ""CNOT(5->4)"", ""CNOT(4->3)"", ""CNOT(5->1)"", ""CNOT(5->2)"", ""CNOT(0->5)"", ""RZ(q=1)"", ""CNOT(0->4)"", ""CNOT(3->1)"", ""CNOT(1->5)"", ""CNOT(5->3)"", ""CNOT(4->2)"", ""CNOT(3->4)"", ""CNOT(4->1)"", ""CNOT(1->4)"", ""CNOT(1->2)"", ""CNOT(0->4)"", ""CNOT(1->4)"", ""CNOT(2->4)"", ""CNOT(3->5)"", ""CNOT(3->2)"", ""CNOT(1->3)"", ""CNOT(1->2)"", ""RX(q=2)"", ""CNOT(5->4)""]"
crlqas__L2_LiH_Equil_6q__L2_LiH_Equil_6q_cobyla_20k_curriculum_impwt__seed11111__ep1259__snap0	/home/ubuntu/NeurIPS2026/PSQASBench/results/crlqas/L2_LiH_Equil_6q/HubBias_EXP/L2_LiH_Equil_6q_cobyla_20k_curriculum_impwt/seed11111	1259	0	17	0.438820	0.374413	0.228116	-0.146297	0.674413	17	3	14	10	7	41.18	cobyla	CNOT(5->4)	RY(q=2) | RX(q=5) | CNOT(5->0) | CNOT(0->1) | RY(q=5) | RX(q=4) | CNOT(1->2) | RZ(q=5) | CNOT(5->2) | CNOT(5->4)	RY(q=2,θ=+15.708) | RX(q=5,θ=+6.213) | CNOT(5->0) | CNOT(0->1) | RY(q=5,θ=+3.142) | RX(q=4,θ=-0.000) | CNOT(1->2) | RZ(q=5,θ=+1.571) | CNOT(5->2) | CNOT(5->4)	"[""RY(q=2)"", ""RX(q=5)"", ""CNOT(5->0)"", ""CNOT(0->1)"", ""RY(q=5)"", ""RX(q=4)"", ""CNOT(1->2)"", ""RZ(q=5)"", ""CNOT(5->2)"", ""CNOT(5->4)""]"
crlqas__L2_LiH_Equil_6q__L2_LiH_Equil_6q_cobyla_20k_curriculum_impwt__seed11111__ep4079__snap0	/home/ubuntu/NeurIPS2026/PSQASBench/results/crlqas/L2_LiH_Equil_6q/HubBias_EXP/L2_LiH_Equil_6q_cobyla_20k_curriculum_impwt/seed11111	4079	0	30	0.454078	0.364065	0.228128	-0.135936	0.664065	30	2	28	7	23	76.67	cobyla	CNOT(5->0)	RX(q=1) | CNOT(1->5) | RZ(q=1) | RY(q=0) | CNOT(5->4) | RY(q=1) | CNOT(5->0)	RX(q=1,θ=+3.071) | CNOT(1->5) | RZ(q=1,θ=+1.567) | RY(q=0,θ=+3.142) | CNOT(5->4) | RY(q=1,θ=+3.142) | CNOT(5->0)	"[""RX(q=1)"", ""CNOT(1->5)"", ""RZ(q=1)"", ""RY(q=0)"", ""CNOT(5->4)"", ""RY(q=1)"", ""CNOT(5->0)""]"
