rank	action	count
1	CNOT(1->5)	9157
2	CNOT(0->4)	1328
3	RX(q=7)	200
4	RY(q=7)	98
5	RY(q=5)	56
6	RX(q=6)	30
7	CNOT(7->5)	21
8	CNOT(5->7)	19
9	RY(q=6)	16
10	CNOT(6->0)	15
11	CNOT(1->7)	14
12	CNOT(4->0)	13
13	CNOT(6->4)	13
14	RY(q=4)	11
15	RX(q=4)	10
16	RX(q=5)	10
17	CNOT(7->1)	10
18	CNOT(4->6)	9
19	CNOT(7->4)	9
20	CNOT(5->1)	8
21	CNOT(1->0)	7
22	RY(q=2)	7
23	CNOT(3->6)	6
24	CNOT(1->2)	6
25	CNOT(0->5)	6
26	CNOT(0->7)	6
27	CNOT(7->6)	6
28	RY(q=1)	6
29	CNOT(4->2)	6
30	CNOT(1->3)	5
31	CNOT(6->2)	5
32	RZ(q=4)	5
33	CNOT(6->5)	5
34	CNOT(4->7)	5
35	CNOT(7->3)	4
36	CNOT(7->0)	4
37	RX(q=2)	4
38	CNOT(3->7)	4
39	CNOT(5->0)	4
40	CNOT(3->0)	4
41	CNOT(6->7)	4
42	CNOT(4->5)	4
43	CNOT(1->4)	4
44	RZ(q=6)	4
45	CNOT(1->6)	3
46	CNOT(6->1)	3
47	CNOT(5->4)	3
48	RZ(q=5)	3
49	CNOT(7->2)	3
50	RZ(q=3)	3
51	CNOT(3->4)	3
52	CNOT(2->6)	3
53	CNOT(0->6)	3
54	CNOT(2->3)	3
55	CNOT(4->1)	3
56	RZ(q=2)	2
57	RY(q=0)	2
58	CNOT(0->2)	2
59	CNOT(2->5)	2
60	RZ(q=0)	2
61	RX(q=3)	2
62	CNOT(3->2)	2
63	RX(q=0)	2
64	CNOT(3->5)	2
65	CNOT(2->0)	2
66	CNOT(0->3)	1
67	CNOT(2->1)	1
68	CNOT(6->3)	1
69	CNOT(5->2)	1
70	RX(q=1)	1
71	RY(q=3)	1
72	CNOT(0->1)	1
73	RZ(q=7)	1
