bucket	count	seed_count	mean_hit_step	mean_episode
0.00	11229	1	7.414818772820376	13612.887256211596
0.01	3	1	50.333333333333336	2736.0
0.05	1	1	64.0	9854.0
0.06	2	1	35.0	9645.0
0.12	3	1	44.333333333333336	8024.666666666667
0.13	1	1	30.0	6519.0
0.16	1	1	60.0	3629.0
0.18	1	1	49.0	7409.0
0.23	2	1	31.0	11824.5
0.25	6	1	45.5	2175.6666666666665
0.32	1	1	56.0	10139.0
0.56	1	1	34.0	2273.0
0.63	1	1	53.0	2657.0
0.65	1	1	33.0	17719.0
0.67	1	1	38.0	8867.0
1.11	1	1	23.0	18984.0
1.13	1	1	57.0	1449.0
1.18	1	1	48.0	175.0
1.19	1	1	51.0	4365.0
1.29	2	1	21.0	12777.5
1.30	1	1	38.0	4214.0
1.55	1	1	63.0	6015.0
1.57	1	1	63.0	5624.0
