bin_start	bin_end	episode_min	episode_max	total	count_cluster0	count_cluster1	frac_cluster0	frac_cluster1
0	999	238	238	1	0	1	0.0	1.0
2000	2999	2199	2199	1	1	0	1.0	0.0
3000	3999	3356	3356	1	1	0	1.0	0.0
6000	6999	6318	6318	1	1	0	1.0	0.0
7000	7999	7028	7970	5	2	3	0.4	0.6
8000	8999	8081	8752	9	0	9	0.0	1.0
9000	9999	9195	9997	6	0	6	0.0	1.0
10000	10999	10157	10882	6	3	3	0.5	0.5
11000	11999	11022	11867	9	1	8	0.1111111111111111	0.8888888888888888
12000	12999	12140	12876	6	1	5	0.16666666666666666	0.8333333333333334
13000	13999	13334	13909	5	0	5	0.0	1.0
14000	14999	14078	14687	8	3	5	0.375	0.625
15000	15999	15100	15997	10	2	8	0.2	0.8
16000	16999	16051	16998	8	2	6	0.25	0.75
17000	17999	17062	17891	7	0	7	0.0	1.0
18000	18999	18010	18776	9	0	9	0.0	1.0
19000	19999	19064	19889	8	0	8	0.0	1.0
