rank	count	retained_gates	retained_gates_with_angles_variants
1	33	RY(q=1) | RY(q=5) | RX(q=7) | CNOT(1->5)	count=33: RY(q=1,θ=+0.180) | RY(q=5,θ=-3.142) | RX(q=7,θ=+3.142) | CNOT(1->5)
2	6	RY(q=7) | RY(q=1) | RY(q=5) | CNOT(1->5)	count=6: RY(q=7,θ=+3.142) | RY(q=1,θ=+0.180) | RY(q=5,θ=-3.142) | CNOT(1->5)
3	6	RY(q=1) | RY(q=7) | RY(q=5) | CNOT(1->5)	count=6: RY(q=1,θ=+0.180) | RY(q=7,θ=+3.142) | RY(q=5,θ=-3.142) | CNOT(1->5)
4	5	RY(q=1) | RY(q=5) | RY(q=7) | CNOT(1->5)	count=5: RY(q=1,θ=+0.180) | RY(q=5,θ=-3.142) | RY(q=7,θ=+3.142) | CNOT(1->5)
5	4	RY(q=5) | RY(q=1) | RX(q=7) | CNOT(1->5)	count=4: RY(q=5,θ=-3.142) | RY(q=1,θ=+0.180) | RX(q=7,θ=+3.142) | CNOT(1->5)
6	4	RX(q=6) | RY(q=0) | RY(q=4) | CNOT(0->4)	count=4: RX(q=6,θ=+3.142) | RY(q=0,θ=+0.180) | RY(q=4,θ=-3.142) | CNOT(0->4)
7	4	RY(q=1) | RY(q=5) | CNOT(5->7) | CNOT(1->5)	count=4: RY(q=1,θ=+0.180) | RY(q=5,θ=-3.142) | CNOT(5->7) | CNOT(1->5)
8	3	RX(q=5) | RY(q=7) | RY(q=1) | CNOT(1->5)	count=3: RX(q=5,θ=-3.142) | RY(q=7,θ=+3.142) | RY(q=1,θ=+0.180) | CNOT(1->5)
9	3	RY(q=5) | RY(q=1) | CNOT(5->7) | CNOT(1->5)	count=3: RY(q=5,θ=-3.142) | RY(q=1,θ=+0.180) | CNOT(5->7) | CNOT(1->5)
10	3	RY(q=1) | RX(q=7) | RY(q=5) | CNOT(1->5)	count=3: RY(q=1,θ=+0.180) | RX(q=7,θ=+3.142) | RY(q=5,θ=-3.142) | CNOT(1->5)
11	3	RX(q=4) | RX(q=6) | RY(q=0) | CNOT(0->4)	count=3: RX(q=4,θ=-3.142) | RX(q=6,θ=+3.142) | RY(q=0,θ=+0.180) | CNOT(0->4)
12	3	RX(q=7) | RY(q=1) | RY(q=5) | CNOT(1->5)	count=2: RX(q=7,θ=-3.142) | RY(q=1,θ=+0.180) | RY(q=5,θ=-3.142) | CNOT(1->5) || count=1: RX(q=7,θ=+3.142) | RY(q=1,θ=+0.180) | RY(q=5,θ=-3.142) | CNOT(1->5)
13	3	RY(q=5) | RY(q=1) | RY(q=7) | CNOT(1->5)	count=3: RY(q=5,θ=-3.142) | RY(q=1,θ=+0.180) | RY(q=7,θ=+3.142) | CNOT(1->5)
14	3	RY(q=4) | RY(q=0) | RX(q=6) | CNOT(0->4)	count=3: RY(q=4,θ=-3.142) | RY(q=0,θ=+0.180) | RX(q=6,θ=+3.142) | CNOT(0->4)
15	2	RY(q=5) | RY(q=1) | CNOT(5->1) | RY(q=7)	count=2: RY(q=5,θ=+2.961) | RY(q=1,θ=+3.142) | CNOT(5->1) | RY(q=7,θ=+3.142)
16	2	RY(q=4) | RY(q=0) | RY(q=6) | CNOT(0->4)	count=2: RY(q=4,θ=-3.142) | RY(q=0,θ=+0.180) | RY(q=6,θ=+3.142) | CNOT(0->4)
17	1	RY(q=1) | RY(q=5) | CNOT(5->1) | RY(q=7)	count=1: RY(q=1,θ=+3.142) | RY(q=5,θ=+2.961) | CNOT(5->1) | RY(q=7,θ=+3.142)
18	1	RY(q=7) | RY(q=5) | RY(q=1) | CNOT(1->5)	count=1: RY(q=7,θ=+3.142) | RY(q=5,θ=-3.142) | RY(q=1,θ=+0.180) | CNOT(1->5)
19	1	RY(q=5) | RY(q=1) | RY(q=7) | CNOT(5->1)	count=1: RY(q=5,θ=+2.961) | RY(q=1,θ=+3.142) | RY(q=7,θ=+3.142) | CNOT(5->1)
20	1	RY(q=5) | RY(q=1) | CNOT(1->5) | RX(q=7)	count=1: RY(q=5,θ=-3.142) | RY(q=1,θ=+0.180) | CNOT(1->5) | RX(q=7,θ=+3.142)
