episode_key	run_dir	method	molecule	config	seed	episode	snapshot_index	event_step	event_error_mha	last_action	prefix_len
crlqas__L3_CH2_Singlet_8q__L3_CH2_Singlet_8q_rotosolve_s2_20k__seed11111__ep14467__snap0	/home/ubuntu/NeurIPS2026/PSQASBench/results/crlqas/L3_CH2_Singlet_8q/Formal_EXP/L3_CH2_Singlet_8q_rotosolve_s2_20k/seed11111	crlqas	L3_CH2_Singlet_8q	L3_CH2_Singlet_8q_rotosolve_s2_20k	seed11111	14467	0	10	0.0006	CNOT(1->5)	10
crlqas__L3_CH2_Singlet_8q__L3_CH2_Singlet_8q_rotosolve_s2_20k__seed11111__ep8081__snap0	/home/ubuntu/NeurIPS2026/PSQASBench/results/crlqas/L3_CH2_Singlet_8q/Formal_EXP/L3_CH2_Singlet_8q_rotosolve_s2_20k/seed11111	crlqas	L3_CH2_Singlet_8q	L3_CH2_Singlet_8q_rotosolve_s2_20k	seed11111	8081	0	7	0.0006	CNOT(1->5)	7
crlqas__L3_CH2_Singlet_8q__L3_CH2_Singlet_8q_rotosolve_s2_20k__seed11111__ep8752__snap0	/home/ubuntu/NeurIPS2026/PSQASBench/results/crlqas/L3_CH2_Singlet_8q/Formal_EXP/L3_CH2_Singlet_8q_rotosolve_s2_20k/seed11111	crlqas	L3_CH2_Singlet_8q	L3_CH2_Singlet_8q_rotosolve_s2_20k	seed11111	8752	0	7	0.0006	RY(q=7)	7
crlqas__L3_CH2_Singlet_8q__L3_CH2_Singlet_8q_rotosolve_s2_20k__seed11111__ep11022__snap0	/home/ubuntu/NeurIPS2026/PSQASBench/results/crlqas/L3_CH2_Singlet_8q/Formal_EXP/L3_CH2_Singlet_8q_rotosolve_s2_20k/seed11111	crlqas	L3_CH2_Singlet_8q	L3_CH2_Singlet_8q_rotosolve_s2_20k	seed11111	11022	0	5	0.0006	CNOT(1->5)	5
crlqas__L3_CH2_Singlet_8q__L3_CH2_Singlet_8q_rotosolve_s2_20k__seed11111__ep16998__snap0	/home/ubuntu/NeurIPS2026/PSQASBench/results/crlqas/L3_CH2_Singlet_8q/Formal_EXP/L3_CH2_Singlet_8q_rotosolve_s2_20k/seed11111	crlqas	L3_CH2_Singlet_8q	L3_CH2_Singlet_8q_rotosolve_s2_20k	seed11111	16998	0	5	0.0006	CNOT(1->5)	5
crlqas__L3_CH2_Singlet_8q__L3_CH2_Singlet_8q_rotosolve_s2_20k__seed11111__ep18029__snap0	/home/ubuntu/NeurIPS2026/PSQASBench/results/crlqas/L3_CH2_Singlet_8q/Formal_EXP/L3_CH2_Singlet_8q_rotosolve_s2_20k/seed11111	crlqas	L3_CH2_Singlet_8q	L3_CH2_Singlet_8q_rotosolve_s2_20k	seed11111	18029	0	6	0.0006	CNOT(1->5)	6
crlqas__L3_CH2_Singlet_8q__L3_CH2_Singlet_8q_rotosolve_s2_20k__seed11111__ep12828__snap0	/home/ubuntu/NeurIPS2026/PSQASBench/results/crlqas/L3_CH2_Singlet_8q/Formal_EXP/L3_CH2_Singlet_8q_rotosolve_s2_20k/seed11111	crlqas	L3_CH2_Singlet_8q	L3_CH2_Singlet_8q_rotosolve_s2_20k	seed11111	12828	0	4	0.0006	CNOT(1->5)	4
crlqas__L3_CH2_Singlet_8q__L3_CH2_Singlet_8q_rotosolve_s2_20k__seed11111__ep18776__snap0	/home/ubuntu/NeurIPS2026/PSQASBench/results/crlqas/L3_CH2_Singlet_8q/Formal_EXP/L3_CH2_Singlet_8q_rotosolve_s2_20k/seed11111	crlqas	L3_CH2_Singlet_8q	L3_CH2_Singlet_8q_rotosolve_s2_20k	seed11111	18776	0	5	0.0006	CNOT(1->5)	5
crlqas__L3_CH2_Singlet_8q__L3_CH2_Singlet_8q_rotosolve_s2_20k__seed11111__ep13899__snap0	/home/ubuntu/NeurIPS2026/PSQASBench/results/crlqas/L3_CH2_Singlet_8q/Formal_EXP/L3_CH2_Singlet_8q_rotosolve_s2_20k/seed11111	crlqas	L3_CH2_Singlet_8q	L3_CH2_Singlet_8q_rotosolve_s2_20k	seed11111	13899	0	7	0.0006	CNOT(1->5)	7
crlqas__L3_CH2_Singlet_8q__L3_CH2_Singlet_8q_rotosolve_s2_20k__seed11111__ep15828__snap0	/home/ubuntu/NeurIPS2026/PSQASBench/results/crlqas/L3_CH2_Singlet_8q/Formal_EXP/L3_CH2_Singlet_8q_rotosolve_s2_20k/seed11111	crlqas	L3_CH2_Singlet_8q	L3_CH2_Singlet_8q_rotosolve_s2_20k	seed11111	15828	0	5	0.0006	CNOT(1->5)	5
crlqas__L3_CH2_Singlet_8q__L3_CH2_Singlet_8q_rotosolve_s2_20k__seed11111__ep9195__snap0	/home/ubuntu/NeurIPS2026/PSQASBench/results/crlqas/L3_CH2_Singlet_8q/Formal_EXP/L3_CH2_Singlet_8q_rotosolve_s2_20k/seed11111	crlqas	L3_CH2_Singlet_8q	L3_CH2_Singlet_8q_rotosolve_s2_20k	seed11111	9195	0	13	0.0006	RZ(q=0)	13
crlqas__L3_CH2_Singlet_8q__L3_CH2_Singlet_8q_rotosolve_s2_20k__seed11111__ep19633__snap0	/home/ubuntu/NeurIPS2026/PSQASBench/results/crlqas/L3_CH2_Singlet_8q/Formal_EXP/L3_CH2_Singlet_8q_rotosolve_s2_20k/seed11111	crlqas	L3_CH2_Singlet_8q	L3_CH2_Singlet_8q_rotosolve_s2_20k	seed11111	19633	0	6	0.0006	CNOT(1->5)	6
crlqas__L3_CH2_Singlet_8q__L3_CH2_Singlet_8q_rotosolve_s2_20k__seed11111__ep13699__snap0	/home/ubuntu/NeurIPS2026/PSQASBench/results/crlqas/L3_CH2_Singlet_8q/Formal_EXP/L3_CH2_Singlet_8q_rotosolve_s2_20k/seed11111	crlqas	L3_CH2_Singlet_8q	L3_CH2_Singlet_8q_rotosolve_s2_20k	seed11111	13699	0	6	0.0006	CNOT(1->5)	6
crlqas__L3_CH2_Singlet_8q__L3_CH2_Singlet_8q_rotosolve_s2_20k__seed11111__ep11302__snap0	/home/ubuntu/NeurIPS2026/PSQASBench/results/crlqas/L3_CH2_Singlet_8q/Formal_EXP/L3_CH2_Singlet_8q_rotosolve_s2_20k/seed11111	crlqas	L3_CH2_Singlet_8q	L3_CH2_Singlet_8q_rotosolve_s2_20k	seed11111	11302	0	7	0.0006	CNOT(1->5)	7
crlqas__L3_CH2_Singlet_8q__L3_CH2_Singlet_8q_rotosolve_s2_20k__seed11111__ep16549__snap0	/home/ubuntu/NeurIPS2026/PSQASBench/results/crlqas/L3_CH2_Singlet_8q/Formal_EXP/L3_CH2_Singlet_8q_rotosolve_s2_20k/seed11111	crlqas	L3_CH2_Singlet_8q	L3_CH2_Singlet_8q_rotosolve_s2_20k	seed11111	16549	0	8	0.0006	CNOT(1->5)	8
crlqas__L3_CH2_Singlet_8q__L3_CH2_Singlet_8q_rotosolve_s2_20k__seed11111__ep12759__snap0	/home/ubuntu/NeurIPS2026/PSQASBench/results/crlqas/L3_CH2_Singlet_8q/Formal_EXP/L3_CH2_Singlet_8q_rotosolve_s2_20k/seed11111	crlqas	L3_CH2_Singlet_8q	L3_CH2_Singlet_8q_rotosolve_s2_20k	seed11111	12759	0	4	0.0006	CNOT(1->5)	4
crlqas__L3_CH2_Singlet_8q__L3_CH2_Singlet_8q_rotosolve_s2_20k__seed11111__ep10182__snap0	/home/ubuntu/NeurIPS2026/PSQASBench/results/crlqas/L3_CH2_Singlet_8q/Formal_EXP/L3_CH2_Singlet_8q_rotosolve_s2_20k/seed11111	crlqas	L3_CH2_Singlet_8q	L3_CH2_Singlet_8q_rotosolve_s2_20k	seed11111	10182	0	7	0.0006	CNOT(1->5)	7
crlqas__L3_CH2_Singlet_8q__L3_CH2_Singlet_8q_rotosolve_s2_20k__seed11111__ep13909__snap0	/home/ubuntu/NeurIPS2026/PSQASBench/results/crlqas/L3_CH2_Singlet_8q/Formal_EXP/L3_CH2_Singlet_8q_rotosolve_s2_20k/seed11111	crlqas	L3_CH2_Singlet_8q	L3_CH2_Singlet_8q_rotosolve_s2_20k	seed11111	13909	0	5	0.0006	CNOT(1->5)	5
crlqas__L3_CH2_Singlet_8q__L3_CH2_Singlet_8q_rotosolve_s2_20k__seed11111__ep10882__snap0	/home/ubuntu/NeurIPS2026/PSQASBench/results/crlqas/L3_CH2_Singlet_8q/Formal_EXP/L3_CH2_Singlet_8q_rotosolve_s2_20k/seed11111	crlqas	L3_CH2_Singlet_8q	L3_CH2_Singlet_8q_rotosolve_s2_20k	seed11111	10882	0	9	0.0006	CNOT(0->4)	9
crlqas__L3_CH2_Singlet_8q__L3_CH2_Singlet_8q_rotosolve_s2_20k__seed11111__ep19802__snap0	/home/ubuntu/NeurIPS2026/PSQASBench/results/crlqas/L3_CH2_Singlet_8q/Formal_EXP/L3_CH2_Singlet_8q_rotosolve_s2_20k/seed11111	crlqas	L3_CH2_Singlet_8q	L3_CH2_Singlet_8q_rotosolve_s2_20k	seed11111	19802	0	6	0.0006	CNOT(1->5)	6
crlqas__L3_CH2_Singlet_8q__L3_CH2_Singlet_8q_rotosolve_s2_20k__seed11111__ep11589__snap0	/home/ubuntu/NeurIPS2026/PSQASBench/results/crlqas/L3_CH2_Singlet_8q/Formal_EXP/L3_CH2_Singlet_8q_rotosolve_s2_20k/seed11111	crlqas	L3_CH2_Singlet_8q	L3_CH2_Singlet_8q_rotosolve_s2_20k	seed11111	11589	0	6	0.0006	CNOT(1->5)	6
crlqas__L3_CH2_Singlet_8q__L3_CH2_Singlet_8q_rotosolve_s2_20k__seed11111__ep18265__snap0	/home/ubuntu/NeurIPS2026/PSQASBench/results/crlqas/L3_CH2_Singlet_8q/Formal_EXP/L3_CH2_Singlet_8q_rotosolve_s2_20k/seed11111	crlqas	L3_CH2_Singlet_8q	L3_CH2_Singlet_8q_rotosolve_s2_20k	seed11111	18265	0	6	0.0006	CNOT(1->5)	6
crlqas__L3_CH2_Singlet_8q__L3_CH2_Singlet_8q_rotosolve_s2_20k__seed11111__ep9823__snap0	/home/ubuntu/NeurIPS2026/PSQASBench/results/crlqas/L3_CH2_Singlet_8q/Formal_EXP/L3_CH2_Singlet_8q_rotosolve_s2_20k/seed11111	crlqas	L3_CH2_Singlet_8q	L3_CH2_Singlet_8q_rotosolve_s2_20k	seed11111	9823	0	4	0.0006	CNOT(1->5)	4
crlqas__L3_CH2_Singlet_8q__L3_CH2_Singlet_8q_rotosolve_s2_20k__seed11111__ep18124__snap0	/home/ubuntu/NeurIPS2026/PSQASBench/results/crlqas/L3_CH2_Singlet_8q/Formal_EXP/L3_CH2_Singlet_8q_rotosolve_s2_20k/seed11111	crlqas	L3_CH2_Singlet_8q	L3_CH2_Singlet_8q_rotosolve_s2_20k	seed11111	18124	0	5	0.0006	CNOT(1->5)	5
crlqas__L3_CH2_Singlet_8q__L3_CH2_Singlet_8q_rotosolve_s2_20k__seed11111__ep15363__snap0	/home/ubuntu/NeurIPS2026/PSQASBench/results/crlqas/L3_CH2_Singlet_8q/Formal_EXP/L3_CH2_Singlet_8q_rotosolve_s2_20k/seed11111	crlqas	L3_CH2_Singlet_8q	L3_CH2_Singlet_8q_rotosolve_s2_20k	seed11111	15363	0	10	0.0006	CNOT(1->5)	10
crlqas__L3_CH2_Singlet_8q__L3_CH2_Singlet_8q_rotosolve_s2_20k__seed11111__ep17524__snap0	/home/ubuntu/NeurIPS2026/PSQASBench/results/crlqas/L3_CH2_Singlet_8q/Formal_EXP/L3_CH2_Singlet_8q_rotosolve_s2_20k/seed11111	crlqas	L3_CH2_Singlet_8q	L3_CH2_Singlet_8q_rotosolve_s2_20k	seed11111	17524	0	6	0.0006	CNOT(1->5)	6
crlqas__L3_CH2_Singlet_8q__L3_CH2_Singlet_8q_rotosolve_s2_20k__seed11111__ep12216__snap0	/home/ubuntu/NeurIPS2026/PSQASBench/results/crlqas/L3_CH2_Singlet_8q/Formal_EXP/L3_CH2_Singlet_8q_rotosolve_s2_20k/seed11111	crlqas	L3_CH2_Singlet_8q	L3_CH2_Singlet_8q_rotosolve_s2_20k	seed11111	12216	0	6	0.0006	CNOT(1->5)	6
crlqas__L3_CH2_Singlet_8q__L3_CH2_Singlet_8q_rotosolve_s2_20k__seed11111__ep17357__snap0	/home/ubuntu/NeurIPS2026/PSQASBench/results/crlqas/L3_CH2_Singlet_8q/Formal_EXP/L3_CH2_Singlet_8q_rotosolve_s2_20k/seed11111	crlqas	L3_CH2_Singlet_8q	L3_CH2_Singlet_8q_rotosolve_s2_20k	seed11111	17357	0	9	0.0006	CNOT(4->1)	9
crlqas__L3_CH2_Singlet_8q__L3_CH2_Singlet_8q_rotosolve_s2_20k__seed11111__ep7374__snap0	/home/ubuntu/NeurIPS2026/PSQASBench/results/crlqas/L3_CH2_Singlet_8q/Formal_EXP/L3_CH2_Singlet_8q_rotosolve_s2_20k/seed11111	crlqas	L3_CH2_Singlet_8q	L3_CH2_Singlet_8q_rotosolve_s2_20k	seed11111	7374	0	9	0.0006	CNOT(7->0)	9
crlqas__L3_CH2_Singlet_8q__L3_CH2_Singlet_8q_rotosolve_s2_20k__seed11111__ep7751__snap0	/home/ubuntu/NeurIPS2026/PSQASBench/results/crlqas/L3_CH2_Singlet_8q/Formal_EXP/L3_CH2_Singlet_8q_rotosolve_s2_20k/seed11111	crlqas	L3_CH2_Singlet_8q	L3_CH2_Singlet_8q_rotosolve_s2_20k	seed11111	7751	0	6	0.0006	CNOT(1->5)	6
