episode_key	run_dir	episode	snapshot_index	event_step	event_error_mha	baseline_error_mha	retained_error_mha	delta_error_mha	allowed_error_mha	original_gate_count	fixed_gate_count	effective_max_prune_steps	retained_gate_count	removed_gate_count	redundancy_ratio_pct	resolved_optimizer	last_action	retained_gates	retained_gates_with_angles	retained_signature
crlqas__L3_CH2_Singlet_8q__L3_CH2_Singlet_8q_rotosolve_s2_20k__seed11111__ep14467__snap0	/home/ubuntu/NeurIPS2026/PSQASBench/results/crlqas/L3_CH2_Singlet_8q/Formal_EXP/L3_CH2_Singlet_8q_rotosolve_s2_20k/seed11111	14467	0	10	0.000623	0.000000	0.000000	0.000000	0.050000	10	2	8	4	6	60.00	rotosolve	CNOT(1->5)	RY(q=5) | RY(q=1) | RX(q=7) | CNOT(1->5)	RY(q=5,θ=-3.142) | RY(q=1,θ=+0.180) | RX(q=7,θ=+3.142) | CNOT(1->5)	"[""RY(q=5)"", ""RY(q=1)"", ""RX(q=7)"", ""CNOT(1->5)""]"
crlqas__L3_CH2_Singlet_8q__L3_CH2_Singlet_8q_rotosolve_s2_20k__seed11111__ep8081__snap0	/home/ubuntu/NeurIPS2026/PSQASBench/results/crlqas/L3_CH2_Singlet_8q/Formal_EXP/L3_CH2_Singlet_8q_rotosolve_s2_20k/seed11111	8081	0	7	0.000623	0.000000	0.000000	0.000000	0.050000	7	2	5	4	3	42.86	rotosolve	CNOT(1->5)	RY(q=1) | RY(q=5) | RX(q=7) | CNOT(1->5)	RY(q=1,θ=+0.180) | RY(q=5,θ=-3.142) | RX(q=7,θ=+3.142) | CNOT(1->5)	"[""RY(q=1)"", ""RY(q=5)"", ""RX(q=7)"", ""CNOT(1->5)""]"
crlqas__L3_CH2_Singlet_8q__L3_CH2_Singlet_8q_rotosolve_s2_20k__seed11111__ep8752__snap0	/home/ubuntu/NeurIPS2026/PSQASBench/results/crlqas/L3_CH2_Singlet_8q/Formal_EXP/L3_CH2_Singlet_8q_rotosolve_s2_20k/seed11111	8752	0	7	0.000623	0.000000	0.000000	0.000000	0.050000	7	0	7	4	3	42.86	rotosolve	RY(q=7)	RY(q=1) | RY(q=5) | CNOT(5->1) | RY(q=7)	RY(q=1,θ=+3.142) | RY(q=5,θ=+2.961) | CNOT(5->1) | RY(q=7,θ=+3.142)	"[""RY(q=1)"", ""RY(q=5)"", ""CNOT(5->1)"", ""RY(q=7)""]"
crlqas__L3_CH2_Singlet_8q__L3_CH2_Singlet_8q_rotosolve_s2_20k__seed11111__ep11022__snap0	/home/ubuntu/NeurIPS2026/PSQASBench/results/crlqas/L3_CH2_Singlet_8q/Formal_EXP/L3_CH2_Singlet_8q_rotosolve_s2_20k/seed11111	11022	0	5	0.000623	0.000000	0.000000	0.000000	0.050000	5	1	4	4	1	20.00	rotosolve	CNOT(1->5)	RY(q=7) | RY(q=1) | RY(q=5) | CNOT(1->5)	RY(q=7,θ=+3.142) | RY(q=1,θ=+0.180) | RY(q=5,θ=-3.142) | CNOT(1->5)	"[""RY(q=7)"", ""RY(q=1)"", ""RY(q=5)"", ""CNOT(1->5)""]"
crlqas__L3_CH2_Singlet_8q__L3_CH2_Singlet_8q_rotosolve_s2_20k__seed11111__ep16998__snap0	/home/ubuntu/NeurIPS2026/PSQASBench/results/crlqas/L3_CH2_Singlet_8q/Formal_EXP/L3_CH2_Singlet_8q_rotosolve_s2_20k/seed11111	16998	0	5	0.000623	0.000000	0.000000	0.000000	0.050000	5	2	3	4	1	20.00	rotosolve	CNOT(1->5)	RY(q=5) | RY(q=1) | RX(q=7) | CNOT(1->5)	RY(q=5,θ=-3.142) | RY(q=1,θ=+0.180) | RX(q=7,θ=+3.142) | CNOT(1->5)	"[""RY(q=5)"", ""RY(q=1)"", ""RX(q=7)"", ""CNOT(1->5)""]"
crlqas__L3_CH2_Singlet_8q__L3_CH2_Singlet_8q_rotosolve_s2_20k__seed11111__ep18029__snap0	/home/ubuntu/NeurIPS2026/PSQASBench/results/crlqas/L3_CH2_Singlet_8q/Formal_EXP/L3_CH2_Singlet_8q_rotosolve_s2_20k/seed11111	18029	0	6	0.000623	0.000000	0.000000	0.000000	0.050000	6	2	4	4	2	33.33	rotosolve	CNOT(1->5)	RY(q=1) | RY(q=5) | RX(q=7) | CNOT(1->5)	RY(q=1,θ=+0.180) | RY(q=5,θ=-3.142) | RX(q=7,θ=+3.142) | CNOT(1->5)	"[""RY(q=1)"", ""RY(q=5)"", ""RX(q=7)"", ""CNOT(1->5)""]"
crlqas__L3_CH2_Singlet_8q__L3_CH2_Singlet_8q_rotosolve_s2_20k__seed11111__ep12828__snap0	/home/ubuntu/NeurIPS2026/PSQASBench/results/crlqas/L3_CH2_Singlet_8q/Formal_EXP/L3_CH2_Singlet_8q_rotosolve_s2_20k/seed11111	12828	0	4	0.000623	0.000000	0.000000	0.000000	0.050000	4	1	3	4	0	0.00	rotosolve	CNOT(1->5)	RX(q=5) | RY(q=7) | RY(q=1) | CNOT(1->5)	RX(q=5,θ=-3.142) | RY(q=7,θ=+3.142) | RY(q=1,θ=+0.180) | CNOT(1->5)	"[""RX(q=5)"", ""RY(q=7)"", ""RY(q=1)"", ""CNOT(1->5)""]"
crlqas__L3_CH2_Singlet_8q__L3_CH2_Singlet_8q_rotosolve_s2_20k__seed11111__ep18776__snap0	/home/ubuntu/NeurIPS2026/PSQASBench/results/crlqas/L3_CH2_Singlet_8q/Formal_EXP/L3_CH2_Singlet_8q_rotosolve_s2_20k/seed11111	18776	0	5	0.000623	0.000000	0.000000	0.000000	0.050000	5	2	3	4	1	20.00	rotosolve	CNOT(1->5)	RY(q=1) | RY(q=5) | RX(q=7) | CNOT(1->5)	RY(q=1,θ=+0.180) | RY(q=5,θ=-3.142) | RX(q=7,θ=+3.142) | CNOT(1->5)	"[""RY(q=1)"", ""RY(q=5)"", ""RX(q=7)"", ""CNOT(1->5)""]"
crlqas__L3_CH2_Singlet_8q__L3_CH2_Singlet_8q_rotosolve_s2_20k__seed11111__ep13899__snap0	/home/ubuntu/NeurIPS2026/PSQASBench/results/crlqas/L3_CH2_Singlet_8q/Formal_EXP/L3_CH2_Singlet_8q_rotosolve_s2_20k/seed11111	13899	0	7	0.000623	0.000000	0.000000	0.000000	0.050000	7	2	5	4	3	42.86	rotosolve	CNOT(1->5)	RY(q=1) | RY(q=5) | RX(q=7) | CNOT(1->5)	RY(q=1,θ=+0.180) | RY(q=5,θ=-3.142) | RX(q=7,θ=+3.142) | CNOT(1->5)	"[""RY(q=1)"", ""RY(q=5)"", ""RX(q=7)"", ""CNOT(1->5)""]"
crlqas__L3_CH2_Singlet_8q__L3_CH2_Singlet_8q_rotosolve_s2_20k__seed11111__ep15828__snap0	/home/ubuntu/NeurIPS2026/PSQASBench/results/crlqas/L3_CH2_Singlet_8q/Formal_EXP/L3_CH2_Singlet_8q_rotosolve_s2_20k/seed11111	15828	0	5	0.000623	0.000000	0.000000	0.000000	0.050000	5	1	4	4	1	20.00	rotosolve	CNOT(1->5)	RY(q=5) | RY(q=1) | CNOT(5->7) | CNOT(1->5)	RY(q=5,θ=-3.142) | RY(q=1,θ=+0.180) | CNOT(5->7) | CNOT(1->5)	"[""RY(q=5)"", ""RY(q=1)"", ""CNOT(5->7)"", ""CNOT(1->5)""]"
