episode_key	run_dir	episode	first_hit_step	first_hit_error_mha	baseline_error_mha	retained_error_mha	delta_error_mha	allowed_error_mha	original_gate_count	fixed_gate_count	effective_max_prune_steps	retained_gate_count	removed_gate_count	redundancy_ratio_pct	resolved_optimizer	last_action	retained_gates	retained_signature
crlqas__L3_CH2_Singlet_8q__L3_CH2_Singlet_8q_rotosolve_s2_check__seed11111__ep1973	/home/ubuntu/NeurIPS2026/PSQASBench/results/crlqas/L3_CH2_Singlet_8q/LevelCheck_EXP/L3_CH2_Singlet_8q_rotosolve_s2_check/seed11111	1973	9	0.000623	0.000000	0.000000	0.000000	0.050000	9	1	8	4	5	55.56	rotosolve	CNOT(0->4)	RY(q=0) | RY(q=6) | CNOT(6->4) | CNOT(0->4)	"[""RY(q=0)"", ""RY(q=6)"", ""CNOT(6->4)"", ""CNOT(0->4)""]"
crlqas__L3_CH2_Singlet_8q__L3_CH2_Singlet_8q_rotosolve_s2_check__seed11111__ep1774	/home/ubuntu/NeurIPS2026/PSQASBench/results/crlqas/L3_CH2_Singlet_8q/LevelCheck_EXP/L3_CH2_Singlet_8q_rotosolve_s2_check/seed11111	1774	23	0.000623	0.000000	0.000000	0.000000	0.050000	23	2	21	10	13	56.52	rotosolve	CNOT(5->0)	RY(q=0) | RX(q=6) | RX(q=4) | CNOT(6->7) | CNOT(0->4) | RX(q=7) | RX(q=7) | RX(q=7) | RX(q=7) | RX(q=7)	"[""RY(q=0)"", ""RX(q=6)"", ""RX(q=4)"", ""CNOT(6->7)"", ""CNOT(0->4)"", ""RX(q=7)"", ""RX(q=7)"", ""RX(q=7)"", ""RX(q=7)"", ""RX(q=7)""]"
crlqas__L3_CH2_Singlet_8q__L3_CH2_Singlet_8q_rotosolve_s2_check__seed11111__ep1359	/home/ubuntu/NeurIPS2026/PSQASBench/results/crlqas/L3_CH2_Singlet_8q/LevelCheck_EXP/L3_CH2_Singlet_8q_rotosolve_s2_check/seed11111	1359	64	0.000623	0.000000	0.000000	0.000000	0.050000	64	1	63	8	56	87.50	rotosolve	CNOT(0->4)	RX(q=6) | CNOT(6->5) | CNOT(5->1) | RX(q=5) | CNOT(6->1) | CNOT(6->4) | RY(q=0) | CNOT(0->4)	"[""RX(q=6)"", ""CNOT(6->5)"", ""CNOT(5->1)"", ""RX(q=5)"", ""CNOT(6->1)"", ""CNOT(6->4)"", ""RY(q=0)"", ""CNOT(0->4)""]"
crlqas__L3_CH2_Singlet_8q__L3_CH2_Singlet_8q_rotosolve_s2_check__seed11111__ep1606	/home/ubuntu/NeurIPS2026/PSQASBench/results/crlqas/L3_CH2_Singlet_8q/LevelCheck_EXP/L3_CH2_Singlet_8q_rotosolve_s2_check/seed11111	1606	50	0.000623	0.000000	0.000000	0.000000	0.050000	50	2	48	9	41	82.00	rotosolve	CNOT(6->0)	RY(q=5) | CNOT(5->4) | CNOT(4->5) | RX(q=7) | CNOT(4->1) | RX(q=6) | CNOT(1->0) | CNOT(4->1) | CNOT(6->0)	"[""RY(q=5)"", ""CNOT(5->4)"", ""CNOT(4->5)"", ""RX(q=7)"", ""CNOT(4->1)"", ""RX(q=6)"", ""CNOT(1->0)"", ""CNOT(4->1)"", ""CNOT(6->0)""]"
crlqas__L3_CH2_Singlet_8q__L3_CH2_Singlet_8q_rotosolve_s2_check__seed11111__ep1920	/home/ubuntu/NeurIPS2026/PSQASBench/results/crlqas/L3_CH2_Singlet_8q/LevelCheck_EXP/L3_CH2_Singlet_8q_rotosolve_s2_check/seed11111	1920	57	0.000623	0.000000	0.000000	0.000000	0.050000	57	3	54	5	52	91.23	rotosolve	RY(q=6)	CNOT(6->4) | RX(q=0) | RY(q=4) | CNOT(4->0) | RY(q=6)	"[""CNOT(6->4)"", ""RX(q=0)"", ""RY(q=4)"", ""CNOT(4->0)"", ""RY(q=6)""]"
crlqas__L3_CH2_Singlet_8q__L3_CH2_Singlet_8q_rotosolve_s2_check__seed11111__ep1406	/home/ubuntu/NeurIPS2026/PSQASBench/results/crlqas/L3_CH2_Singlet_8q/LevelCheck_EXP/L3_CH2_Singlet_8q_rotosolve_s2_check/seed11111	1406	68	0.000623	0.000000	0.000000	0.000000	0.050000	68	3	65	4	64	94.12	rotosolve	CNOT(6->1)	RY(q=1) | RY(q=5) | CNOT(1->7) | CNOT(5->1)	"[""RY(q=1)"", ""RY(q=5)"", ""CNOT(1->7)"", ""CNOT(5->1)""]"
crlqas__L3_CH2_Singlet_8q__L3_CH2_Singlet_8q_rotosolve_s2_check__seed11111__ep1913	/home/ubuntu/NeurIPS2026/PSQASBench/results/crlqas/L3_CH2_Singlet_8q/LevelCheck_EXP/L3_CH2_Singlet_8q_rotosolve_s2_check/seed11111	1913	49	0.000623	0.000000	0.000000	0.000000	0.050000	49	3	46	10	39	79.59	rotosolve	CNOT(0->7)	RY(q=3) | RY(q=4) | CNOT(3->6) | CNOT(4->7) | RX(q=3) | RX(q=4) | CNOT(7->2) | CNOT(7->0) | CNOT(7->2) | CNOT(0->7)	"[""RY(q=3)"", ""RY(q=4)"", ""CNOT(3->6)"", ""CNOT(4->7)"", ""RX(q=3)"", ""RX(q=4)"", ""CNOT(7->2)"", ""CNOT(7->0)"", ""CNOT(7->2)"", ""CNOT(0->7)""]"
crlqas__L3_CH2_Singlet_8q__L3_CH2_Singlet_8q_rotosolve_s2_check__seed11111__ep1789	/home/ubuntu/NeurIPS2026/PSQASBench/results/crlqas/L3_CH2_Singlet_8q/LevelCheck_EXP/L3_CH2_Singlet_8q_rotosolve_s2_check/seed11111	1789	25	0.000623	0.000000	0.000000	0.000000	0.050000	25	0	25	4	21	84.00	rotosolve	RY(q=5)	RX(q=7) | RY(q=5) | CNOT(5->1) | RY(q=5)	"[""RX(q=7)"", ""RY(q=5)"", ""CNOT(5->1)"", ""RY(q=5)""]"
crlqas__L3_CH2_Singlet_8q__L3_CH2_Singlet_8q_rotosolve_s2_check__seed11111__ep1646	/home/ubuntu/NeurIPS2026/PSQASBench/results/crlqas/L3_CH2_Singlet_8q/LevelCheck_EXP/L3_CH2_Singlet_8q_rotosolve_s2_check/seed11111	1646	58	0.000623	0.000000	0.000000	0.000000	0.050000	58	2	56	17	41	70.69	rotosolve	CNOT(1->5)	RY(q=7) | RX(q=6) | CNOT(6->2) | CNOT(2->3) | CNOT(3->6) | CNOT(7->0) | RY(q=2) | CNOT(3->4) | RY(q=0) | CNOT(3->5) | CNOT(4->1) | CNOT(7->3) | RY(q=1) | CNOT(5->4) | CNOT(7->3) | RY(q=3) | CNOT(1->5)	"[""RY(q=7)"", ""RX(q=6)"", ""CNOT(6->2)"", ""CNOT(2->3)"", ""CNOT(3->6)"", ""CNOT(7->0)"", ""RY(q=2)"", ""CNOT(3->4)"", ""RY(q=0)"", ""CNOT(3->5)"", ""CNOT(4->1)"", ""CNOT(7->3)"", ""RY(q=1)"", ""CNOT(5->4)"", ""CNOT(7->3)"", ""RY(q=3)"", ""CNOT(1->5)""]"
crlqas__L3_CH2_Singlet_8q__L3_CH2_Singlet_8q_rotosolve_s2_check__seed11111__ep1341	/home/ubuntu/NeurIPS2026/PSQASBench/results/crlqas/L3_CH2_Singlet_8q/LevelCheck_EXP/L3_CH2_Singlet_8q_rotosolve_s2_check/seed11111	1341	37	0.000623	0.000000	0.000000	0.000000	0.050000	37	2	35	6	31	83.78	rotosolve	CNOT(4->0)	RY(q=1) | CNOT(1->6) | RY(q=1) | RY(q=4) | CNOT(6->0) | CNOT(4->0)	"[""RY(q=1)"", ""CNOT(1->6)"", ""RY(q=1)"", ""RY(q=4)"", ""CNOT(6->0)"", ""CNOT(4->0)""]"
