rank	count	retained_gates	retained_gates_with_angles_variants
1	314	RY(q=1) | RY(q=5) | RX(q=7) | CNOT(1->5)	count=314: RY(q=1,θ=+0.180) | RY(q=5,θ=-3.142) | RX(q=7,θ=+3.142) | CNOT(1->5)
2	111	RY(q=1) | RY(q=7) | RY(q=5) | CNOT(1->5)	count=111: RY(q=1,θ=+0.180) | RY(q=7,θ=+3.142) | RY(q=5,θ=-3.142) | CNOT(1->5)
3	97	RY(q=1) | RY(q=5) | RY(q=7) | CNOT(1->5)	count=97: RY(q=1,θ=+0.180) | RY(q=5,θ=-3.142) | RY(q=7,θ=+3.142) | CNOT(1->5)
4	66	RY(q=1) | RY(q=5) | CNOT(5->7) | CNOT(1->5)	count=66: RY(q=1,θ=+0.180) | RY(q=5,θ=-3.142) | CNOT(5->7) | CNOT(1->5)
5	52	RY(q=7) | RY(q=1) | RY(q=5) | CNOT(1->5)	count=49: RY(q=7,θ=+3.142) | RY(q=1,θ=+0.180) | RY(q=5,θ=-3.142) | CNOT(1->5) || count=3: RY(q=7,θ=-3.142) | RY(q=1,θ=+0.180) | RY(q=5,θ=-3.142) | CNOT(1->5)
6	52	RY(q=1) | RX(q=7) | RY(q=5) | CNOT(1->5)	count=52: RY(q=1,θ=+0.180) | RX(q=7,θ=+3.142) | RY(q=5,θ=-3.142) | CNOT(1->5)
7	44	RY(q=5) | RY(q=1) | RX(q=7) | CNOT(1->5)	count=44: RY(q=5,θ=-3.142) | RY(q=1,θ=+0.180) | RX(q=7,θ=+3.142) | CNOT(1->5)
8	32	RY(q=5) | RY(q=1) | RY(q=7) | CNOT(1->5)	count=32: RY(q=5,θ=-3.142) | RY(q=1,θ=+0.180) | RY(q=7,θ=+3.142) | CNOT(1->5)
9	31	RY(q=4) | RX(q=6) | RY(q=0) | CNOT(0->4)	count=31: RY(q=4,θ=-3.142) | RX(q=6,θ=+3.142) | RY(q=0,θ=+0.180) | CNOT(0->4)
10	24	RY(q=5) | RY(q=1) | CNOT(5->7) | CNOT(1->5)	count=24: RY(q=5,θ=-3.142) | RY(q=1,θ=+0.180) | CNOT(5->7) | CNOT(1->5)
11	21	RX(q=7) | RY(q=1) | RY(q=5) | CNOT(1->5)	count=12: RX(q=7,θ=-3.142) | RY(q=1,θ=+0.180) | RY(q=5,θ=-3.142) | CNOT(1->5) || count=9: RX(q=7,θ=+3.142) | RY(q=1,θ=+0.180) | RY(q=5,θ=-3.142) | CNOT(1->5)
12	13	RX(q=6) | RY(q=0) | RY(q=4) | CNOT(0->4)	count=13: RX(q=6,θ=+3.142) | RY(q=0,θ=+0.180) | RY(q=4,θ=-3.142) | CNOT(0->4)
13	12	RY(q=1) | RX(q=5) | RX(q=7) | CNOT(1->5)	count=12: RY(q=1,θ=+0.180) | RX(q=5,θ=-3.142) | RX(q=7,θ=+3.142) | CNOT(1->5)
14	12	RX(q=6) | RY(q=4) | RY(q=0) | CNOT(0->4)	count=12: RX(q=6,θ=+3.142) | RY(q=4,θ=-3.142) | RY(q=0,θ=+0.180) | CNOT(0->4)
15	9	RX(q=5) | RY(q=1) | RX(q=7) | CNOT(1->5)	count=9: RX(q=5,θ=-3.142) | RY(q=1,θ=+0.180) | RX(q=7,θ=+3.142) | CNOT(1->5)
16	8	RX(q=4) | RX(q=6) | RY(q=0) | CNOT(0->4)	count=8: RX(q=4,θ=-3.142) | RX(q=6,θ=+3.142) | RY(q=0,θ=+0.180) | CNOT(0->4)
17	6	RY(q=0) | RX(q=6) | RY(q=4) | CNOT(0->4)	count=6: RY(q=0,θ=+0.180) | RX(q=6,θ=+3.142) | RY(q=4,θ=-3.142) | CNOT(0->4)
18	6	RX(q=6) | RX(q=4) | RY(q=0) | CNOT(0->4)	count=6: RX(q=6,θ=+3.142) | RX(q=4,θ=-3.142) | RY(q=0,θ=+0.180) | CNOT(0->4)
19	6	RY(q=4) | RY(q=0) | RY(q=6) | CNOT(0->4)	count=6: RY(q=4,θ=-3.142) | RY(q=0,θ=+0.180) | RY(q=6,θ=+3.142) | CNOT(0->4)
20	5	RY(q=0) | RY(q=4) | RX(q=6) | CNOT(0->4)	count=5: RY(q=0,θ=+0.180) | RY(q=4,θ=-3.142) | RX(q=6,θ=+3.142) | CNOT(0->4)
21	5	RY(q=6) | RX(q=4) | RY(q=0) | CNOT(0->4)	count=5: RY(q=6,θ=+3.142) | RX(q=4,θ=-3.142) | RY(q=0,θ=+0.180) | CNOT(0->4)
22	4	RY(q=1) | RY(q=5) | CNOT(1->5) | RX(q=7)	count=4: RY(q=1,θ=+0.180) | RY(q=5,θ=-3.142) | CNOT(1->5) | RX(q=7,θ=+3.142)
23	4	RX(q=4) | RY(q=0) | RX(q=6) | CNOT(0->4)	count=4: RX(q=4,θ=-3.142) | RY(q=0,θ=+0.180) | RX(q=6,θ=+3.142) | CNOT(0->4)
24	4	RY(q=6) | RY(q=0) | RY(q=4) | CNOT(0->4)	count=4: RY(q=6,θ=+3.142) | RY(q=0,θ=+0.180) | RY(q=4,θ=-3.142) | CNOT(0->4)
25	4	RY(q=5) | RX(q=7) | RY(q=1) | CNOT(1->5)	count=4: RY(q=5,θ=-3.142) | RX(q=7,θ=+3.142) | RY(q=1,θ=+0.180) | CNOT(1->5)
26	4	RY(q=7) | RY(q=5) | RY(q=1) | CNOT(1->5)	count=4: RY(q=7,θ=+3.142) | RY(q=5,θ=-3.142) | RY(q=1,θ=+0.180) | CNOT(1->5)
27	3	RY(q=5) | RY(q=1) | CNOT(5->1) | RY(q=7)	count=3: RY(q=5,θ=+2.961) | RY(q=1,θ=+3.142) | CNOT(5->1) | RY(q=7,θ=+3.142)
28	3	RY(q=5) | RY(q=7) | RY(q=1) | CNOT(1->5)	count=3: RY(q=5,θ=-3.142) | RY(q=7,θ=+3.142) | RY(q=1,θ=+0.180) | CNOT(1->5)
29	3	RY(q=6) | RY(q=0) | RX(q=4) | CNOT(0->4)	count=3: RY(q=6,θ=+3.142) | RY(q=0,θ=+0.180) | RX(q=4,θ=-3.142) | CNOT(0->4)
30	3	RY(q=1) | CNOT(1->5) | RY(q=5) | RY(q=7)	count=3: RY(q=1,θ=-0.180) | CNOT(1->5) | RY(q=5,θ=-3.142) | RY(q=7,θ=+3.142)
31	3	RY(q=5) | RY(q=1) | CNOT(1->5) | RX(q=7)	count=3: RY(q=5,θ=-3.142) | RY(q=1,θ=+0.180) | CNOT(1->5) | RX(q=7,θ=+3.142)
32	3	RX(q=5) | RY(q=7) | RY(q=1) | CNOT(1->5)	count=3: RX(q=5,θ=-3.142) | RY(q=7,θ=+3.142) | RY(q=1,θ=+0.180) | CNOT(1->5)
33	2	RY(q=1) | RY(q=5) | CNOT(5->1) | RX(q=7)	count=2: RY(q=1,θ=+3.142) | RY(q=5,θ=+2.961) | CNOT(5->1) | RX(q=7,θ=+3.142)
34	2	RY(q=1) | RY(q=5) | RX(q=7) | CNOT(5->1)	count=2: RY(q=1,θ=+3.142) | RY(q=5,θ=+2.961) | RX(q=7,θ=+3.142) | CNOT(5->1)
35	2	RY(q=4) | RY(q=0) | RX(q=6) | CNOT(0->4)	count=2: RY(q=4,θ=-3.142) | RY(q=0,θ=+0.180) | RX(q=6,θ=+3.142) | CNOT(0->4)
36	1	RY(q=1) | CNOT(1->5) | RX(q=7) | RY(q=1)	count=1: RY(q=1,θ=-2.961) | CNOT(1->5) | RX(q=7,θ=+3.142) | RY(q=1,θ=+3.142)
37	1	RY(q=5) | CNOT(5->1) | RX(q=5) | RY(q=7)	count=1: RY(q=5,θ=+0.180) | CNOT(5->1) | RX(q=5,θ=-3.142) | RY(q=7,θ=+3.142)
