display_value	count	seed_count	min_first_hit_error_mha	max_first_hit_error_mha
0.00062	11226	1	0.0006226465	0.0006226465
0.0044	3	1	0.0044373437	0.0044373437
0.0083	2	1	0.0082520410	0.0082520410
0.012	1	1	0.0120667383	0.0120667383
0.05	1	1	0.0502137109	0.0502137109
0.062	2	1	0.0616578027	0.0616578027
0.12	3	1	0.1150635645	0.1188782617
0.13	1	1	0.1265076562	0.1265076562
0.16	1	1	0.1646546289	0.1646546289
0.18	1	1	0.1799134180	0.1799134180
0.23	2	1	0.2256897852	0.2333191797
0.25	6	1	0.2523926660	0.2523926660
0.32	1	1	0.3248719141	0.3248719141
0.56	1	1	0.5613831445	0.5613831445
0.63	1	1	0.6300476953	0.6300476953
0.65	1	1	0.6453064844	0.6453064844
0.67	1	1	0.6720093652	0.6720093652
1.1	2	1	1.1106995508	1.1259583398
1.2	2	1	1.1755494043	1.1946228906
1.3	3	1	1.2899903223	1.3014344141
1.5	1	1	1.5455750391	1.5455750391
1.6	1	1	1.5722779199	1.5722779199
