rank	action	count
1	CNOT(3->2)	5
2	CNOT(5->3)	3
3	CNOT(4->2)	3
4	CNOT(6->2)	3
5	CNOT(5->4)	3
6	CNOT(3->4)	3
7	CNOT(2->4)	2
8	CNOT(1->5)	2
9	CNOT(7->3)	2
10	CNOT(6->3)	2
11	CNOT(1->6)	2
12	CNOT(6->7)	2
13	CNOT(6->5)	2
14	CNOT(3->7)	2
15	CNOT(5->2)	2
16	CNOT(7->1)	2
17	RX(q=6)	2
18	CNOT(4->6)	2
19	CNOT(6->4)	2
20	CNOT(2->1)	1
21	CNOT(3->6)	1
22	CNOT(5->7)	1
23	RZ(q=4)	1
24	RY(q=6)	1
25	CNOT(2->5)	1
26	CNOT(4->3)	1
27	CNOT(2->7)	1
28	CNOT(3->0)	1
29	CNOT(1->0)	1
30	CNOT(1->2)	1
31	RZ(q=3)	1
32	CNOT(5->1)	1
33	RX(q=0)	1
34	CNOT(3->1)	1
35	RX(q=2)	1
36	CNOT(4->1)	1
37	CNOT(0->5)	1
38	CNOT(6->0)	1
39	CNOT(4->7)	1
40	CNOT(2->6)	1
41	RY(q=1)	1
42	CNOT(5->6)	1
