episode_key	run_dir	method	molecule	config	seed	episode	snapshot_index	event_step	event_error_mha	last_action	prefix_len
crlqas__L4_H2O_StrongCorr_8q__L4_H2O_StrongCorr_8q_rotosolve_s2_20k__seed11111__ep9150__snap0	/home/ubuntu/NeurIPS2026/PSQASBench/results/crlqas/L4_H2O_StrongCorr_8q/Formal_EXP/L4_H2O_StrongCorr_8q_rotosolve_s2_20k/seed11111	crlqas	L4_H2O_StrongCorr_8q	L4_H2O_StrongCorr_8q_rotosolve_s2_20k	seed11111	9150	0	53	6.4641	CNOT(6->2)	53
crlqas__L4_H2O_StrongCorr_8q__L4_H2O_StrongCorr_8q_rotosolve_s2_20k__seed11111__ep17081__snap0	/home/ubuntu/NeurIPS2026/PSQASBench/results/crlqas/L4_H2O_StrongCorr_8q/Formal_EXP/L4_H2O_StrongCorr_8q_rotosolve_s2_20k/seed11111	crlqas	L4_H2O_StrongCorr_8q	L4_H2O_StrongCorr_8q_rotosolve_s2_20k	seed11111	17081	0	28	6.4641	CNOT(5->3)	28
crlqas__L4_H2O_StrongCorr_8q__L4_H2O_StrongCorr_8q_rotosolve_s2_20k__seed11111__ep5464__snap1	/home/ubuntu/NeurIPS2026/PSQASBench/results/crlqas/L4_H2O_StrongCorr_8q/Formal_EXP/L4_H2O_StrongCorr_8q_rotosolve_s2_20k/seed11111	crlqas	L4_H2O_StrongCorr_8q	L4_H2O_StrongCorr_8q_rotosolve_s2_20k	seed11111	5464	1	17	6.4641	CNOT(5->1)	17
crlqas__L4_H2O_StrongCorr_8q__L4_H2O_StrongCorr_8q_rotosolve_s2_20k__seed11111__ep8182__snap0	/home/ubuntu/NeurIPS2026/PSQASBench/results/crlqas/L4_H2O_StrongCorr_8q/Formal_EXP/L4_H2O_StrongCorr_8q_rotosolve_s2_20k/seed11111	crlqas	L4_H2O_StrongCorr_8q	L4_H2O_StrongCorr_8q_rotosolve_s2_20k	seed11111	8182	0	35	6.4641	RX(q=2)	35
crlqas__L4_H2O_StrongCorr_8q__L4_H2O_StrongCorr_8q_rotosolve_s2_20k__seed11111__ep19663__snap1	/home/ubuntu/NeurIPS2026/PSQASBench/results/crlqas/L4_H2O_StrongCorr_8q/Formal_EXP/L4_H2O_StrongCorr_8q_rotosolve_s2_20k/seed11111	crlqas	L4_H2O_StrongCorr_8q	L4_H2O_StrongCorr_8q_rotosolve_s2_20k	seed11111	19663	1	41	6.4641	CNOT(6->2)	41
crlqas__L4_H2O_StrongCorr_8q__L4_H2O_StrongCorr_8q_rotosolve_s2_20k__seed11111__ep19167__snap0	/home/ubuntu/NeurIPS2026/PSQASBench/results/crlqas/L4_H2O_StrongCorr_8q/Formal_EXP/L4_H2O_StrongCorr_8q_rotosolve_s2_20k/seed11111	crlqas	L4_H2O_StrongCorr_8q	L4_H2O_StrongCorr_8q_rotosolve_s2_20k	seed11111	19167	0	45	6.4641	CNOT(6->4)	45
crlqas__L4_H2O_StrongCorr_8q__L4_H2O_StrongCorr_8q_rotosolve_s2_20k__seed11111__ep4167__snap0	/home/ubuntu/NeurIPS2026/PSQASBench/results/crlqas/L4_H2O_StrongCorr_8q/Formal_EXP/L4_H2O_StrongCorr_8q_rotosolve_s2_20k/seed11111	crlqas	L4_H2O_StrongCorr_8q	L4_H2O_StrongCorr_8q_rotosolve_s2_20k	seed11111	4167	0	50	6.4641	CNOT(5->2)	50
crlqas__L4_H2O_StrongCorr_8q__L4_H2O_StrongCorr_8q_rotosolve_s2_20k__seed11111__ep2458__snap0	/home/ubuntu/NeurIPS2026/PSQASBench/results/crlqas/L4_H2O_StrongCorr_8q/Formal_EXP/L4_H2O_StrongCorr_8q_rotosolve_s2_20k/seed11111	crlqas	L4_H2O_StrongCorr_8q	L4_H2O_StrongCorr_8q_rotosolve_s2_20k	seed11111	2458	0	48	6.4641	CNOT(2->7)	48
crlqas__L4_H2O_StrongCorr_8q__L4_H2O_StrongCorr_8q_rotosolve_s2_20k__seed11111__ep8182__snap1	/home/ubuntu/NeurIPS2026/PSQASBench/results/crlqas/L4_H2O_StrongCorr_8q/Formal_EXP/L4_H2O_StrongCorr_8q_rotosolve_s2_20k/seed11111	crlqas	L4_H2O_StrongCorr_8q	L4_H2O_StrongCorr_8q_rotosolve_s2_20k	seed11111	8182	1	38	6.4641	CNOT(6->7)	38
crlqas__L4_H2O_StrongCorr_8q__L4_H2O_StrongCorr_8q_rotosolve_s2_20k__seed11111__ep3261__snap0	/home/ubuntu/NeurIPS2026/PSQASBench/results/crlqas/L4_H2O_StrongCorr_8q/Formal_EXP/L4_H2O_StrongCorr_8q_rotosolve_s2_20k/seed11111	crlqas	L4_H2O_StrongCorr_8q	L4_H2O_StrongCorr_8q_rotosolve_s2_20k	seed11111	3261	0	64	6.4641	CNOT(3->7)	64
