episode_key	run_dir	episode	snapshot_index	event_step	event_error_mha	baseline_error_mha	retained_error_mha	delta_error_mha	allowed_error_mha	original_gate_count	fixed_gate_count	effective_max_prune_steps	retained_gate_count	removed_gate_count	redundancy_ratio_pct	resolved_optimizer	last_action	retained_gates	retained_gates_with_angles	retained_signature
crlqas__L4_H2O_StrongCorr_8q__L4_H2O_StrongCorr_8q_rotosolve_s2_20k__seed11111__ep9150__snap0	/home/ubuntu/NeurIPS2026/PSQASBench/results/crlqas/L4_H2O_StrongCorr_8q/Formal_EXP/L4_H2O_StrongCorr_8q_rotosolve_s2_20k/seed11111	9150	0	53	6.464143	6.460776	6.460776	0.000000	6.960776	53	1	52	31	22	41.51	rotosolve	CNOT(6->2)	RY(q=5) | RY(q=2) | CNOT(2->4) | CNOT(5->0) | CNOT(0->6) | CNOT(5->6) | CNOT(0->5) | CNOT(0->4) | CNOT(4->7) | RZ(q=5) | CNOT(7->3) | CNOT(6->7) | CNOT(6->7) | CNOT(6->7) | CNOT(2->5) | CNOT(2->5) | CNOT(4->7) | CNOT(2->5) | CNOT(7->2) | CNOT(1->0) | CNOT(0->6) | CNOT(7->4) | CNOT(6->7) | RY(q=0) | RY(q=0) | CNOT(7->4) | CNOT(7->4) | CNOT(0->6) | CNOT(0->6) | CNOT(7->4) | CNOT(6->2)	RY(q=5,θ=-3.142) | RY(q=2,θ=+2.643) | CNOT(2->4) | CNOT(5->0) | CNOT(0->6) | CNOT(5->6) | CNOT(0->5) | CNOT(0->4) | CNOT(4->7) | RZ(q=5,θ=-3.142) | CNOT(7->3) | CNOT(6->7) | CNOT(6->7) | CNOT(6->7) | CNOT(2->5) | CNOT(2->5) | CNOT(4->7) | CNOT(2->5) | CNOT(7->2) | CNOT(1->0) | CNOT(0->6) | CNOT(7->4) | CNOT(6->7) | RY(q=0,θ=+3.142) | RY(q=0,θ=+0.000) | CNOT(7->4) | CNOT(7->4) | CNOT(0->6) | CNOT(0->6) | CNOT(7->4) | CNOT(6->2)	"[""RY(q=5)"", ""RY(q=2)"", ""CNOT(2->4)"", ""CNOT(5->0)"", ""CNOT(0->6)"", ""CNOT(5->6)"", ""CNOT(0->5)"", ""CNOT(0->4)"", ""CNOT(4->7)"", ""RZ(q=5)"", ""CNOT(7->3)"", ""CNOT(6->7)"", ""CNOT(6->7)"", ""CNOT(6->7)"", ""CNOT(2->5)"", ""CNOT(2->5)"", ""CNOT(4->7)"", ""CNOT(2->5)"", ""CNOT(7->2)"", ""CNOT(1->0)"", ""CNOT(0->6)"", ""CNOT(7->4)"", ""CNOT(6->7)"", ""RY(q=0)"", ""RY(q=0)"", ""CNOT(7->4)"", ""CNOT(7->4)"", ""CNOT(0->6)"", ""CNOT(0->6)"", ""CNOT(7->4)"", ""CNOT(6->2)""]"
crlqas__L4_H2O_StrongCorr_8q__L4_H2O_StrongCorr_8q_rotosolve_s2_20k__seed11111__ep17081__snap0	/home/ubuntu/NeurIPS2026/PSQASBench/results/crlqas/L4_H2O_StrongCorr_8q/Formal_EXP/L4_H2O_StrongCorr_8q_rotosolve_s2_20k/seed11111	17081	0	28	6.464143	6.460776	6.460776	0.000000	6.960776	28	2	26	16	12	42.86	rotosolve	CNOT(5->3)	RY(q=2) | CNOT(2->5) | RX(q=6) | CNOT(2->4) | CNOT(6->3) | RX(q=2) | CNOT(3->1) | CNOT(3->1) | CNOT(3->7) | CNOT(3->7) | CNOT(3->7) | CNOT(3->7) | CNOT(3->7) | CNOT(3->7) | CNOT(3->7) | CNOT(5->3)	RY(q=2,θ=+2.643) | CNOT(2->5) | RX(q=6,θ=-3.142) | CNOT(2->4) | CNOT(6->3) | RX(q=2,θ=-3.142) | CNOT(3->1) | CNOT(3->1) | CNOT(3->7) | CNOT(3->7) | CNOT(3->7) | CNOT(3->7) | CNOT(3->7) | CNOT(3->7) | CNOT(3->7) | CNOT(5->3)	"[""RY(q=2)"", ""CNOT(2->5)"", ""RX(q=6)"", ""CNOT(2->4)"", ""CNOT(6->3)"", ""RX(q=2)"", ""CNOT(3->1)"", ""CNOT(3->1)"", ""CNOT(3->7)"", ""CNOT(3->7)"", ""CNOT(3->7)"", ""CNOT(3->7)"", ""CNOT(3->7)"", ""CNOT(3->7)"", ""CNOT(3->7)"", ""CNOT(5->3)""]"
crlqas__L4_H2O_StrongCorr_8q__L4_H2O_StrongCorr_8q_rotosolve_s2_20k__seed11111__ep5464__snap1	/home/ubuntu/NeurIPS2026/PSQASBench/results/crlqas/L4_H2O_StrongCorr_8q/Formal_EXP/L4_H2O_StrongCorr_8q_rotosolve_s2_20k/seed11111	5464	1	17	6.464143	6.460776	6.460776	0.000000	6.960776	17	0	17	13	4	23.53	rotosolve	CNOT(5->1)	RY(q=5) | RX(q=7) | CNOT(5->2) | CNOT(7->4) | CNOT(4->6) | CNOT(7->2) | CNOT(4->1) | CNOT(1->4) | RY(q=1) | CNOT(2->3) | CNOT(5->4) | CNOT(5->1) | CNOT(5->1)	RY(q=5,θ=+2.643) | RX(q=7,θ=-3.142) | CNOT(5->2) | CNOT(7->4) | CNOT(4->6) | CNOT(7->2) | CNOT(4->1) | CNOT(1->4) | RY(q=1,θ=+3.142) | CNOT(2->3) | CNOT(5->4) | CNOT(5->1) | CNOT(5->1)	"[""RY(q=5)"", ""RX(q=7)"", ""CNOT(5->2)"", ""CNOT(7->4)"", ""CNOT(4->6)"", ""CNOT(7->2)"", ""CNOT(4->1)"", ""CNOT(1->4)"", ""RY(q=1)"", ""CNOT(2->3)"", ""CNOT(5->4)"", ""CNOT(5->1)"", ""CNOT(5->1)""]"
crlqas__L4_H2O_StrongCorr_8q__L4_H2O_StrongCorr_8q_rotosolve_s2_20k__seed11111__ep8182__snap0	/home/ubuntu/NeurIPS2026/PSQASBench/results/crlqas/L4_H2O_StrongCorr_8q/Formal_EXP/L4_H2O_StrongCorr_8q_rotosolve_s2_20k/seed11111	8182	0	35	6.464143	6.460776	6.460776	0.000000	6.960776	35	0	35	17	18	51.43	rotosolve	RX(q=2)	RX(q=0) | CNOT(0->4) | CNOT(0->2) | CNOT(4->3) | CNOT(4->3) | CNOT(4->3) | CNOT(4->3) | CNOT(4->3) | CNOT(2->3) | RZ(q=4) | CNOT(0->7) | CNOT(7->5) | RX(q=2) | RY(q=6) | CNOT(2->3) | CNOT(2->7) | CNOT(4->0)	RX(q=0,θ=+2.643) | CNOT(0->4) | CNOT(0->2) | CNOT(4->3) | CNOT(4->3) | CNOT(4->3) | CNOT(4->3) | CNOT(4->3) | CNOT(2->3) | RZ(q=4,θ=-1.571) | CNOT(0->7) | CNOT(7->5) | RX(q=2,θ=-3.142) | RY(q=6,θ=-3.142) | CNOT(2->3) | CNOT(2->7) | CNOT(4->0)	"[""RX(q=0)"", ""CNOT(0->4)"", ""CNOT(0->2)"", ""CNOT(4->3)"", ""CNOT(4->3)"", ""CNOT(4->3)"", ""CNOT(4->3)"", ""CNOT(4->3)"", ""CNOT(2->3)"", ""RZ(q=4)"", ""CNOT(0->7)"", ""CNOT(7->5)"", ""RX(q=2)"", ""RY(q=6)"", ""CNOT(2->3)"", ""CNOT(2->7)"", ""CNOT(4->0)""]"
crlqas__L4_H2O_StrongCorr_8q__L4_H2O_StrongCorr_8q_rotosolve_s2_20k__seed11111__ep19663__snap1	/home/ubuntu/NeurIPS2026/PSQASBench/results/crlqas/L4_H2O_StrongCorr_8q/Formal_EXP/L4_H2O_StrongCorr_8q_rotosolve_s2_20k/seed11111	19663	1	41	6.464143	6.460776	6.460776	0.000000	6.960776	41	1	40	25	16	39.02	rotosolve	CNOT(6->2)	RX(q=4) | RY(q=5) | CNOT(5->1) | CNOT(5->3) | RY(q=7) | CNOT(7->5) | CNOT(4->3) | CNOT(7->0) | CNOT(4->1) | CNOT(7->0) | CNOT(4->5) | CNOT(1->2) | CNOT(1->2) | CNOT(1->2) | CNOT(1->2) | CNOT(1->2) | RX(q=6) | CNOT(3->1) | CNOT(6->5) | RZ(q=4) | CNOT(6->5) | CNOT(6->2) | CNOT(6->2) | CNOT(6->2) | CNOT(6->2)	RX(q=4,θ=+2.643) | RY(q=5,θ=-3.142) | CNOT(5->1) | CNOT(5->3) | RY(q=7,θ=-3.142) | CNOT(7->5) | CNOT(4->3) | CNOT(7->0) | CNOT(4->1) | CNOT(7->0) | CNOT(4->5) | CNOT(1->2) | CNOT(1->2) | CNOT(1->2) | CNOT(1->2) | CNOT(1->2) | RX(q=6,θ=-3.142) | CNOT(3->1) | CNOT(6->5) | RZ(q=4,θ=-1.571) | CNOT(6->5) | CNOT(6->2) | CNOT(6->2) | CNOT(6->2) | CNOT(6->2)	"[""RX(q=4)"", ""RY(q=5)"", ""CNOT(5->1)"", ""CNOT(5->3)"", ""RY(q=7)"", ""CNOT(7->5)"", ""CNOT(4->3)"", ""CNOT(7->0)"", ""CNOT(4->1)"", ""CNOT(7->0)"", ""CNOT(4->5)"", ""CNOT(1->2)"", ""CNOT(1->2)"", ""CNOT(1->2)"", ""CNOT(1->2)"", ""CNOT(1->2)"", ""RX(q=6)"", ""CNOT(3->1)"", ""CNOT(6->5)"", ""RZ(q=4)"", ""CNOT(6->5)"", ""CNOT(6->2)"", ""CNOT(6->2)"", ""CNOT(6->2)"", ""CNOT(6->2)""]"
crlqas__L4_H2O_StrongCorr_8q__L4_H2O_StrongCorr_8q_rotosolve_s2_20k__seed11111__ep19167__snap0	/home/ubuntu/NeurIPS2026/PSQASBench/results/crlqas/L4_H2O_StrongCorr_8q/Formal_EXP/L4_H2O_StrongCorr_8q_rotosolve_s2_20k/seed11111	19167	0	45	6.464143	6.460776	6.460776	0.000000	6.960776	45	0	45	26	19	42.22	rotosolve	CNOT(6->4)	RY(q=0) | RX(q=1) | RY(q=7) | CNOT(7->1) | CNOT(7->6) | CNOT(6->1) | CNOT(6->3) | CNOT(3->5) | RX(q=5) | CNOT(7->4) | CNOT(3->5) | CNOT(5->2) | CNOT(3->6) | CNOT(3->6) | RY(q=3) | CNOT(0->6) | RY(q=6) | CNOT(2->6) | CNOT(0->6) | CNOT(4->5) | CNOT(2->6) | CNOT(5->7) | CNOT(5->2) | CNOT(2->6) | CNOT(6->0) | CNOT(6->4)	RY(q=0,θ=-3.142) | RX(q=1,θ=-0.000) | RY(q=7,θ=-0.499) | CNOT(7->1) | CNOT(7->6) | CNOT(6->1) | CNOT(6->3) | CNOT(3->5) | RX(q=5,θ=-3.142) | CNOT(7->4) | CNOT(3->5) | CNOT(5->2) | CNOT(3->6) | CNOT(3->6) | RY(q=3,θ=-0.000) | CNOT(0->6) | RY(q=6,θ=-3.142) | CNOT(2->6) | CNOT(0->6) | CNOT(4->5) | CNOT(2->6) | CNOT(5->7) | CNOT(5->2) | CNOT(2->6) | CNOT(6->0) | CNOT(6->4)	"[""RY(q=0)"", ""RX(q=1)"", ""RY(q=7)"", ""CNOT(7->1)"", ""CNOT(7->6)"", ""CNOT(6->1)"", ""CNOT(6->3)"", ""CNOT(3->5)"", ""RX(q=5)"", ""CNOT(7->4)"", ""CNOT(3->5)"", ""CNOT(5->2)"", ""CNOT(3->6)"", ""CNOT(3->6)"", ""RY(q=3)"", ""CNOT(0->6)"", ""RY(q=6)"", ""CNOT(2->6)"", ""CNOT(0->6)"", ""CNOT(4->5)"", ""CNOT(2->6)"", ""CNOT(5->7)"", ""CNOT(5->2)"", ""CNOT(2->6)"", ""CNOT(6->0)"", ""CNOT(6->4)""]"
crlqas__L4_H2O_StrongCorr_8q__L4_H2O_StrongCorr_8q_rotosolve_s2_20k__seed11111__ep4167__snap0	/home/ubuntu/NeurIPS2026/PSQASBench/results/crlqas/L4_H2O_StrongCorr_8q/Formal_EXP/L4_H2O_StrongCorr_8q_rotosolve_s2_20k/seed11111	4167	0	50	6.464143	6.460776	6.460776	0.000000	6.960776	50	1	49	27	23	46.00	rotosolve	CNOT(5->2)	RY(q=0) | RY(q=4) | CNOT(0->5) | CNOT(5->0) | RX(q=6) | CNOT(4->7) | RX(q=1) | CNOT(1->2) | CNOT(4->3) | CNOT(4->3) | CNOT(4->3) | CNOT(3->4) | RZ(q=1) | RZ(q=7) | CNOT(3->4) | CNOT(3->1) | RZ(q=2) | RZ(q=2) | CNOT(1->3) | RZ(q=2) | CNOT(3->4) | CNOT(5->3) | CNOT(1->4) | CNOT(5->4) | CNOT(5->4) | CNOT(5->4) | CNOT(5->2)	RY(q=0,θ=+2.643) | RY(q=4,θ=-3.142) | CNOT(0->5) | CNOT(5->0) | RX(q=6,θ=-3.142) | CNOT(4->7) | RX(q=1,θ=-3.142) | CNOT(1->2) | CNOT(4->3) | CNOT(4->3) | CNOT(4->3) | CNOT(3->4) | RZ(q=1,θ=-3.142) | RZ(q=7,θ=-3.142) | CNOT(3->4) | CNOT(3->1) | RZ(q=2,θ=-3.142) | RZ(q=2,θ=-3.142) | CNOT(1->3) | RZ(q=2,θ=-3.142) | CNOT(3->4) | CNOT(5->3) | CNOT(1->4) | CNOT(5->4) | CNOT(5->4) | CNOT(5->4) | CNOT(5->2)	"[""RY(q=0)"", ""RY(q=4)"", ""CNOT(0->5)"", ""CNOT(5->0)"", ""RX(q=6)"", ""CNOT(4->7)"", ""RX(q=1)"", ""CNOT(1->2)"", ""CNOT(4->3)"", ""CNOT(4->3)"", ""CNOT(4->3)"", ""CNOT(3->4)"", ""RZ(q=1)"", ""RZ(q=7)"", ""CNOT(3->4)"", ""CNOT(3->1)"", ""RZ(q=2)"", ""RZ(q=2)"", ""CNOT(1->3)"", ""RZ(q=2)"", ""CNOT(3->4)"", ""CNOT(5->3)"", ""CNOT(1->4)"", ""CNOT(5->4)"", ""CNOT(5->4)"", ""CNOT(5->4)"", ""CNOT(5->2)""]"
crlqas__L4_H2O_StrongCorr_8q__L4_H2O_StrongCorr_8q_rotosolve_s2_20k__seed11111__ep2458__snap0	/home/ubuntu/NeurIPS2026/PSQASBench/results/crlqas/L4_H2O_StrongCorr_8q/Formal_EXP/L4_H2O_StrongCorr_8q_rotosolve_s2_20k/seed11111	2458	0	48	6.464143	6.460776	6.460776	0.000000	6.960776	48	2	46	26	22	45.83	rotosolve	CNOT(2->7)	RY(q=5) | CNOT(5->3) | CNOT(5->6) | RY(q=6) | CNOT(5->0) | CNOT(5->0) | CNOT(5->0) | RY(q=7) | CNOT(6->1) | CNOT(0->2) | CNOT(3->7) | CNOT(7->1) | CNOT(5->1) | CNOT(7->1) | RX(q=6) | CNOT(5->0) | CNOT(7->1) | CNOT(7->6) | CNOT(7->1) | CNOT(3->4) | CNOT(1->5) | CNOT(2->1) | CNOT(0->3) | RX(q=4) | CNOT(4->1) | CNOT(2->7)	RY(q=5,θ=-0.499) | CNOT(5->3) | CNOT(5->6) | RY(q=6,θ=+3.142) | CNOT(5->0) | CNOT(5->0) | CNOT(5->0) | RY(q=7,θ=+3.142) | CNOT(6->1) | CNOT(0->2) | CNOT(3->7) | CNOT(7->1) | CNOT(5->1) | CNOT(7->1) | RX(q=6,θ=-3.142) | CNOT(5->0) | CNOT(7->1) | CNOT(7->6) | CNOT(7->1) | CNOT(3->4) | CNOT(1->5) | CNOT(2->1) | CNOT(0->3) | RX(q=4,θ=-3.142) | CNOT(4->1) | CNOT(2->7)	"[""RY(q=5)"", ""CNOT(5->3)"", ""CNOT(5->6)"", ""RY(q=6)"", ""CNOT(5->0)"", ""CNOT(5->0)"", ""CNOT(5->0)"", ""RY(q=7)"", ""CNOT(6->1)"", ""CNOT(0->2)"", ""CNOT(3->7)"", ""CNOT(7->1)"", ""CNOT(5->1)"", ""CNOT(7->1)"", ""RX(q=6)"", ""CNOT(5->0)"", ""CNOT(7->1)"", ""CNOT(7->6)"", ""CNOT(7->1)"", ""CNOT(3->4)"", ""CNOT(1->5)"", ""CNOT(2->1)"", ""CNOT(0->3)"", ""RX(q=4)"", ""CNOT(4->1)"", ""CNOT(2->7)""]"
crlqas__L4_H2O_StrongCorr_8q__L4_H2O_StrongCorr_8q_rotosolve_s2_20k__seed11111__ep8182__snap1	/home/ubuntu/NeurIPS2026/PSQASBench/results/crlqas/L4_H2O_StrongCorr_8q/Formal_EXP/L4_H2O_StrongCorr_8q_rotosolve_s2_20k/seed11111	8182	1	38	6.464143	6.460776	6.460776	0.000000	6.960776	38	0	38	19	19	50.00	rotosolve	CNOT(6->7)	RX(q=0) | CNOT(0->4) | CNOT(0->2) | CNOT(4->3) | CNOT(4->3) | CNOT(4->3) | CNOT(4->3) | CNOT(4->3) | CNOT(2->3) | RZ(q=4) | CNOT(0->7) | CNOT(7->5) | RX(q=2) | RY(q=6) | CNOT(2->3) | CNOT(2->7) | CNOT(4->0) | CNOT(6->7) | CNOT(6->7)	RX(q=0,θ=+2.643) | CNOT(0->4) | CNOT(0->2) | CNOT(4->3) | CNOT(4->3) | CNOT(4->3) | CNOT(4->3) | CNOT(4->3) | CNOT(2->3) | RZ(q=4,θ=-1.571) | CNOT(0->7) | CNOT(7->5) | RX(q=2,θ=-3.142) | RY(q=6,θ=-3.142) | CNOT(2->3) | CNOT(2->7) | CNOT(4->0) | CNOT(6->7) | CNOT(6->7)	"[""RX(q=0)"", ""CNOT(0->4)"", ""CNOT(0->2)"", ""CNOT(4->3)"", ""CNOT(4->3)"", ""CNOT(4->3)"", ""CNOT(4->3)"", ""CNOT(4->3)"", ""CNOT(2->3)"", ""RZ(q=4)"", ""CNOT(0->7)"", ""CNOT(7->5)"", ""RX(q=2)"", ""RY(q=6)"", ""CNOT(2->3)"", ""CNOT(2->7)"", ""CNOT(4->0)"", ""CNOT(6->7)"", ""CNOT(6->7)""]"
crlqas__L4_H2O_StrongCorr_8q__L4_H2O_StrongCorr_8q_rotosolve_s2_20k__seed11111__ep3261__snap0	/home/ubuntu/NeurIPS2026/PSQASBench/results/crlqas/L4_H2O_StrongCorr_8q/Formal_EXP/L4_H2O_StrongCorr_8q_rotosolve_s2_20k/seed11111	3261	0	64	6.464143	6.460776	6.460776	-0.000000	6.960776	64	2	62	43	21	32.81	rotosolve	CNOT(3->7)	RY(q=4) | RY(q=5) | CNOT(5->3) | CNOT(4->1) | CNOT(5->3) | CNOT(1->4) | RY(q=6) | CNOT(1->6) | CNOT(1->6) | CNOT(1->6) | CNOT(1->6) | CNOT(1->6) | CNOT(7->3) | CNOT(2->7) | RY(q=1) | CNOT(4->7) | CNOT(3->0) | CNOT(3->0) | CNOT(1->7) | CNOT(6->3) | RZ(q=1) | CNOT(6->3) | CNOT(6->2) | CNOT(7->3) | RZ(q=1) | RY(q=1) | CNOT(5->7) | CNOT(0->4) | CNOT(6->5) | CNOT(2->3) | CNOT(5->6) | CNOT(3->4) | CNOT(0->7) | CNOT(3->7) | CNOT(3->5) | CNOT(3->5) | RY(q=3) | CNOT(6->3) | RX(q=7) | RY(q=2) | CNOT(0->3) | RY(q=1) | CNOT(3->7)	RY(q=4,θ=-0.000) | RY(q=5,θ=-3.142) | CNOT(5->3) | CNOT(4->1) | CNOT(5->3) | CNOT(1->4) | RY(q=6,θ=+0.499) | CNOT(1->6) | CNOT(1->6) | CNOT(1->6) | CNOT(1->6) | CNOT(1->6) | CNOT(7->3) | CNOT(2->7) | RY(q=1,θ=+3.142) | CNOT(4->7) | CNOT(3->0) | CNOT(3->0) | CNOT(1->7) | CNOT(6->3) | RZ(q=1,θ=-3.142) | CNOT(6->3) | CNOT(6->2) | CNOT(7->3) | RZ(q=1,θ=-3.142) | RY(q=1,θ=+3.142) | CNOT(5->7) | CNOT(0->4) | CNOT(6->5) | CNOT(2->3) | CNOT(5->6) | CNOT(3->4) | CNOT(0->7) | CNOT(3->7) | CNOT(3->5) | CNOT(3->5) | RY(q=3,θ=-0.000) | CNOT(6->3) | RX(q=7,θ=-0.000) | RY(q=2,θ=-0.000) | CNOT(0->3) | RY(q=1,θ=+0.000) | CNOT(3->7)	"[""RY(q=4)"", ""RY(q=5)"", ""CNOT(5->3)"", ""CNOT(4->1)"", ""CNOT(5->3)"", ""CNOT(1->4)"", ""RY(q=6)"", ""CNOT(1->6)"", ""CNOT(1->6)"", ""CNOT(1->6)"", ""CNOT(1->6)"", ""CNOT(1->6)"", ""CNOT(7->3)"", ""CNOT(2->7)"", ""RY(q=1)"", ""CNOT(4->7)"", ""CNOT(3->0)"", ""CNOT(3->0)"", ""CNOT(1->7)"", ""CNOT(6->3)"", ""RZ(q=1)"", ""CNOT(6->3)"", ""CNOT(6->2)"", ""CNOT(7->3)"", ""RZ(q=1)"", ""RY(q=1)"", ""CNOT(5->7)"", ""CNOT(0->4)"", ""CNOT(6->5)"", ""CNOT(2->3)"", ""CNOT(5->6)"", ""CNOT(3->4)"", ""CNOT(0->7)"", ""CNOT(3->7)"", ""CNOT(3->5)"", ""CNOT(3->5)"", ""RY(q=3)"", ""CNOT(6->3)"", ""RX(q=7)"", ""RY(q=2)"", ""CNOT(0->3)"", ""RY(q=1)"", ""CNOT(3->7)""]"
