episode_key	run_dir	method	molecule	config	seed	episode	snapshot_index	event_step	event_error_mha	last_action	prefix_len
tfqas__L1_BeH2_STO3G_6q__L1_BeH2_STO3G_6q_depth10__seed11111__ep27__snap0	/home/ubuntu/NeurIPS2026/PSQASBench/results/tfqas/L1_BeH2_STO3G_6q/Formal_EXP/L1_BeH2_STO3G_6q_depth10/seed11111	tfqas	L1_BeH2_STO3G_6q	L1_BeH2_STO3G_6q_depth10	seed11111	27	0	1	0.5542	RX(q=2)	10
tfqas__L1_BeH2_STO3G_6q__L1_BeH2_STO3G_6q_depth10__seed11111__ep12__snap0	/home/ubuntu/NeurIPS2026/PSQASBench/results/tfqas/L1_BeH2_STO3G_6q/Formal_EXP/L1_BeH2_STO3G_6q_depth10/seed11111	tfqas	L1_BeH2_STO3G_6q	L1_BeH2_STO3G_6q_depth10	seed11111	12	0	1	0.5542	CNOT(0->2)	10
tfqas__L1_BeH2_STO3G_6q__L1_BeH2_STO3G_6q_depth10__seed11111__ep46__snap0	/home/ubuntu/NeurIPS2026/PSQASBench/results/tfqas/L1_BeH2_STO3G_6q/Formal_EXP/L1_BeH2_STO3G_6q_depth10/seed11111	tfqas	L1_BeH2_STO3G_6q	L1_BeH2_STO3G_6q_depth10	seed11111	46	0	1	0.5542	RY(q=4)	10
tfqas__L1_BeH2_STO3G_6q__L1_BeH2_STO3G_6q_depth10__seed11111__ep39__snap0	/home/ubuntu/NeurIPS2026/PSQASBench/results/tfqas/L1_BeH2_STO3G_6q/Formal_EXP/L1_BeH2_STO3G_6q_depth10/seed11111	tfqas	L1_BeH2_STO3G_6q	L1_BeH2_STO3G_6q_depth10	seed11111	39	0	1	0.5542	CNOT(0->1)	10
tfqas__L1_BeH2_STO3G_6q__L1_BeH2_STO3G_6q_depth10__seed11111__ep98__snap0	/home/ubuntu/NeurIPS2026/PSQASBench/results/tfqas/L1_BeH2_STO3G_6q/Formal_EXP/L1_BeH2_STO3G_6q_depth10/seed11111	tfqas	L1_BeH2_STO3G_6q	L1_BeH2_STO3G_6q_depth10	seed11111	98	0	1	0.5542	RX(q=1)	10
tfqas__L1_BeH2_STO3G_6q__L1_BeH2_STO3G_6q_depth10__seed11111__ep83__snap0	/home/ubuntu/NeurIPS2026/PSQASBench/results/tfqas/L1_BeH2_STO3G_6q/Formal_EXP/L1_BeH2_STO3G_6q_depth10/seed11111	tfqas	L1_BeH2_STO3G_6q	L1_BeH2_STO3G_6q_depth10	seed11111	83	0	1	0.5542	CNOT(2->5)	10
tfqas__L1_BeH2_STO3G_6q__L1_BeH2_STO3G_6q_depth10__seed11111__ep51__snap0	/home/ubuntu/NeurIPS2026/PSQASBench/results/tfqas/L1_BeH2_STO3G_6q/Formal_EXP/L1_BeH2_STO3G_6q_depth10/seed11111	tfqas	L1_BeH2_STO3G_6q	L1_BeH2_STO3G_6q_depth10	seed11111	51	0	1	0.5542	RY(q=2)	10
tfqas__L1_BeH2_STO3G_6q__L1_BeH2_STO3G_6q_depth10__seed11111__ep2__snap0	/home/ubuntu/NeurIPS2026/PSQASBench/results/tfqas/L1_BeH2_STO3G_6q/Formal_EXP/L1_BeH2_STO3G_6q_depth10/seed11111	tfqas	L1_BeH2_STO3G_6q	L1_BeH2_STO3G_6q_depth10	seed11111	2	0	1	0.5542	RX(q=0)	10
tfqas__L1_BeH2_STO3G_6q__L1_BeH2_STO3G_6q_depth10__seed11111__ep72__snap0	/home/ubuntu/NeurIPS2026/PSQASBench/results/tfqas/L1_BeH2_STO3G_6q/Formal_EXP/L1_BeH2_STO3G_6q_depth10/seed11111	tfqas	L1_BeH2_STO3G_6q	L1_BeH2_STO3G_6q_depth10	seed11111	72	0	1	0.5542	RY(q=1)	10
tfqas__L1_BeH2_STO3G_6q__L1_BeH2_STO3G_6q_depth10__seed11111__ep62__snap0	/home/ubuntu/NeurIPS2026/PSQASBench/results/tfqas/L1_BeH2_STO3G_6q/Formal_EXP/L1_BeH2_STO3G_6q_depth10/seed11111	tfqas	L1_BeH2_STO3G_6q	L1_BeH2_STO3G_6q_depth10	seed11111	62	0	1	0.5542	RY(q=2)	10
