episode_key	run_dir	episode	snapshot_index	event_step	event_error_mha	baseline_error_mha	retained_error_mha	delta_error_mha	allowed_error_mha	original_gate_count	fixed_gate_count	effective_max_prune_steps	retained_gate_count	removed_gate_count	redundancy_ratio_pct	resolved_optimizer	last_action	retained_gates	retained_gates_with_angles	retained_signature
tfqas__L1_BeH2_STO3G_6q__L1_BeH2_STO3G_6q_depth10__seed11111__ep27__snap0	/home/ubuntu/NeurIPS2026/PSQASBench/results/tfqas/L1_BeH2_STO3G_6q/Formal_EXP/L1_BeH2_STO3G_6q_depth10/seed11111	27	0	1	0.554200	0.554446	0.554444	-0.000002	0.854446	10	1	9	2	8	80.00	cobyla	RX(q=2)	RX(q=4) | CNOT(4->5)	RX(q=4,θ=+3.142) | CNOT(4->5)	"[""RX(q=4)"", ""CNOT(4->5)""]"
tfqas__L1_BeH2_STO3G_6q__L1_BeH2_STO3G_6q_depth10__seed11111__ep12__snap0	/home/ubuntu/NeurIPS2026/PSQASBench/results/tfqas/L1_BeH2_STO3G_6q/Formal_EXP/L1_BeH2_STO3G_6q_depth10/seed11111	12	0	1	0.554200	0.554445	0.554444	-0.000000	0.854445	10	3	7	3	7	70.00	cobyla	CNOT(0->2)	RX(q=1) | RX(q=4) | CNOT(4->5)	RX(q=1,θ=-6.283) | RX(q=4,θ=-3.142) | CNOT(4->5)	"[""RX(q=1)"", ""RX(q=4)"", ""CNOT(4->5)""]"
tfqas__L1_BeH2_STO3G_6q__L1_BeH2_STO3G_6q_depth10__seed11111__ep46__snap0	/home/ubuntu/NeurIPS2026/PSQASBench/results/tfqas/L1_BeH2_STO3G_6q/Formal_EXP/L1_BeH2_STO3G_6q_depth10/seed11111	46	0	1	0.554200	0.554444	0.554443	-0.000000	0.854444	10	1	9	2	8	80.00	cobyla	RY(q=4)	RX(q=5) | RY(q=4)	RX(q=5,θ=-3.142) | RY(q=4,θ=+3.142)	"[""RX(q=5)"", ""RY(q=4)""]"
tfqas__L1_BeH2_STO3G_6q__L1_BeH2_STO3G_6q_depth10__seed11111__ep39__snap0	/home/ubuntu/NeurIPS2026/PSQASBench/results/tfqas/L1_BeH2_STO3G_6q/Formal_EXP/L1_BeH2_STO3G_6q_depth10/seed11111	39	0	1	0.554200	0.554444	0.554444	-0.000000	0.854444	10	0	10	2	8	80.00	cobyla	CNOT(0->1)	RY(q=5) | RY(q=4)	RY(q=5,θ=+3.142) | RY(q=4,θ=+3.142)	"[""RY(q=5)"", ""RY(q=4)""]"
tfqas__L1_BeH2_STO3G_6q__L1_BeH2_STO3G_6q_depth10__seed11111__ep98__snap0	/home/ubuntu/NeurIPS2026/PSQASBench/results/tfqas/L1_BeH2_STO3G_6q/Formal_EXP/L1_BeH2_STO3G_6q_depth10/seed11111	98	0	1	0.554200	0.554447	0.554444	-0.000004	0.854447	10	2	8	2	8	80.00	cobyla	RX(q=1)	RX(q=4) | CNOT(4->5)	RX(q=4,θ=-3.142) | CNOT(4->5)	"[""RX(q=4)"", ""CNOT(4->5)""]"
tfqas__L1_BeH2_STO3G_6q__L1_BeH2_STO3G_6q_depth10__seed11111__ep83__snap0	/home/ubuntu/NeurIPS2026/PSQASBench/results/tfqas/L1_BeH2_STO3G_6q/Formal_EXP/L1_BeH2_STO3G_6q_depth10/seed11111	83	0	1	0.554200	0.554443	0.554443	-0.000000	0.854443	10	0	10	2	8	80.00	cobyla	CNOT(2->5)	RX(q=5) | RY(q=4)	RX(q=5,θ=+3.142) | RY(q=4,θ=+3.142)	"[""RX(q=5)"", ""RY(q=4)""]"
tfqas__L1_BeH2_STO3G_6q__L1_BeH2_STO3G_6q_depth10__seed11111__ep51__snap0	/home/ubuntu/NeurIPS2026/PSQASBench/results/tfqas/L1_BeH2_STO3G_6q/Formal_EXP/L1_BeH2_STO3G_6q_depth10/seed11111	51	0	1	0.554200	0.554445	0.554443	-0.000001	0.854445	10	0	10	2	8	80.00	cobyla	RY(q=2)	RX(q=4) | RY(q=5)	RX(q=4,θ=+3.142) | RY(q=5,θ=+3.142)	"[""RX(q=4)"", ""RY(q=5)""]"
tfqas__L1_BeH2_STO3G_6q__L1_BeH2_STO3G_6q_depth10__seed11111__ep2__snap0	/home/ubuntu/NeurIPS2026/PSQASBench/results/tfqas/L1_BeH2_STO3G_6q/Formal_EXP/L1_BeH2_STO3G_6q_depth10/seed11111	2	0	1	0.554200	0.554444	0.554443	-0.000000	0.854444	10	0	10	2	8	80.00	cobyla	RX(q=0)	RX(q=4) | RY(q=5)	RX(q=4,θ=-3.142) | RY(q=5,θ=+3.142)	"[""RX(q=4)"", ""RY(q=5)""]"
tfqas__L1_BeH2_STO3G_6q__L1_BeH2_STO3G_6q_depth10__seed11111__ep72__snap0	/home/ubuntu/NeurIPS2026/PSQASBench/results/tfqas/L1_BeH2_STO3G_6q/Formal_EXP/L1_BeH2_STO3G_6q_depth10/seed11111	72	0	1	0.554200	0.554444	0.554443	-0.000001	0.854444	10	0	10	2	8	80.00	cobyla	RY(q=1)	RX(q=4) | RY(q=5)	RX(q=4,θ=+3.142) | RY(q=5,θ=-3.142)	"[""RX(q=4)"", ""RY(q=5)""]"
tfqas__L1_BeH2_STO3G_6q__L1_BeH2_STO3G_6q_depth10__seed11111__ep62__snap0	/home/ubuntu/NeurIPS2026/PSQASBench/results/tfqas/L1_BeH2_STO3G_6q/Formal_EXP/L1_BeH2_STO3G_6q_depth10/seed11111	62	0	1	0.554200	0.554443	0.554443	0.000000	0.854443	10	1	9	2	8	80.00	cobyla	RY(q=2)	RX(q=4) | RX(q=5)	RX(q=4,θ=-3.142) | RX(q=5,θ=+3.142)	"[""RX(q=4)"", ""RX(q=5)""]"
