rank	action	count
1	RY(q=5)	2484
2	RX(q=5)	1751
3	CNOT(4->5)	1698
4	RX(q=4)	1528
5	RY(q=4)	774
6	CNOT(5->4)	701
7	RX(q=0)	15
8	CNOT(4->1)	9
9	RY(q=1)	7
10	CNOT(2->0)	7
11	CNOT(5->2)	6
12	RY(q=3)	6
13	RY(q=0)	5
14	CNOT(4->0)	5
15	RX(q=3)	5
16	RX(q=1)	5
17	CNOT(4->2)	4
18	CNOT(2->1)	4
19	CNOT(0->3)	3
20	CNOT(1->0)	3
21	CNOT(1->5)	3
22	CNOT(3->2)	3
23	RZ(q=4)	2
24	CNOT(1->4)	2
25	CNOT(4->3)	2
26	CNOT(3->5)	2
27	RX(q=2)	2
28	CNOT(5->3)	2
29	CNOT(0->1)	2
30	CNOT(0->2)	2
31	CNOT(2->3)	2
32	CNOT(5->1)	2
33	RZ(q=2)	1
34	CNOT(3->0)	1
35	CNOT(0->4)	1
36	RZ(q=5)	1
37	RZ(q=1)	1
38	CNOT(0->5)	1
39	CNOT(3->4)	1
40	CNOT(3->1)	1
41	CNOT(2->4)	1
