bucket	count	seed_count	mean_hit_step	mean_episode
0.27	3	1	9.666666666666666	1716.6666666666667
0.55	9055	1	3.1565985643291	5386.879514080619
0.56	71	1	6.690140845070423	2591.4225352112676
0.57	13	1	7.846153846153846	3350.923076923077
0.58	8	1	8.125	2346.375
0.59	5	1	8.0	2534.6
0.60	3	1	7.333333333333333	2658.6666666666665
0.61	2	1	5.0	4890.0
0.62	1	1	7.0	2036.0
0.63	1	1	10.0	381.0
0.68	2	1	8.0	1449.0
0.69	1	1	6.0	4432.0
0.70	2	1	9.0	846.5
0.77	1	1	4.0	9473.0
0.80	1	1	9.0	2617.0
0.93	1	1	4.0	6570.0
0.94	1	1	8.0	5098.0
1.03	1	1	8.0	1515.0
1.16	1	1	8.0	2714.0
1.31	1	1	7.0	2230.0
1.45	1	1	5.0	7041.0
