display_value	count	seed_count	min_first_hit_error_mha	max_first_hit_error_mha
0.27	3	1	0.2682263699	0.2703624414
0.55	9055	1	0.5544438453	0.5549993330
0.56	71	1	0.5550316018	0.5646940486
0.57	13	1	0.5650716652	0.5737116257
0.58	8	1	0.5762118087	0.5844930078
0.59	5	1	0.5856084918	0.5947209695
0.6	3	1	0.5966039323	0.6015581386
0.61	2	1	0.6088613761	0.6099752640
0.62	1	1	0.6167541668	0.6167541668
0.63	1	1	0.6326438984	0.6326438984
0.68	2	1	0.6774449320	0.6781488588
0.69	1	1	0.6931005389	0.6931005389
0.7	2	1	0.6974653313	0.7046480456
0.77	1	1	0.7676200885	0.7676200885
0.8	1	1	0.8041812833	0.8041812833
0.93	1	1	0.9340817631	0.9340817631
0.94	1	1	0.9409741043	0.9409741043
1	1	1	1.0271388726	1.0271388726
1.2	1	1	1.1611749662	1.1611749662
1.3	1	1	1.3132044255	1.3132044255
1.4	1	1	1.4493049028	1.4493049028
