rank	action	count
1	CNOT(0->4)	13
2	CNOT(1->5)	7
3	CNOT(4->0)	5
4	RX(q=4)	3
5	CNOT(1->7)	3
6	RY(q=4)	3
7	CNOT(1->2)	3
8	CNOT(5->7)	3
9	CNOT(4->6)	2
10	CNOT(6->4)	2
11	CNOT(1->0)	2
12	CNOT(1->3)	2
13	CNOT(7->3)	2
14	CNOT(6->1)	2
15	CNOT(0->5)	2
16	CNOT(6->0)	2
17	RX(q=5)	2
18	CNOT(1->6)	1
19	CNOT(3->6)	1
20	CNOT(7->4)	1
21	CNOT(5->1)	1
22	CNOT(0->3)	1
23	CNOT(7->0)	1
24	CNOT(2->1)	1
25	RX(q=6)	1
26	RX(q=2)	1
27	RZ(q=2)	1
28	CNOT(6->2)	1
29	RZ(q=4)	1
30	CNOT(7->5)	1
31	CNOT(3->7)	1
32	CNOT(5->0)	1
33	RY(q=5)	1
34	CNOT(3->0)	1
35	CNOT(0->7)	1
36	RY(q=6)	1
