rank	count	retained_gates
1	1	RY(q=6) | CNOT(6->4)
2	1	RX(q=6) | CNOT(6->7)
3	1	RX(q=6) | CNOT(6->5) | CNOT(5->1) | RX(q=5) | CNOT(6->1) | CNOT(6->4) | RY(q=0) | CNOT(0->4)
4	1	RX(q=7) | CNOT(7->3) | CNOT(7->3) | RY(q=5) | CNOT(6->0)
5	1	CNOT(4->0) | CNOT(6->2) | RY(q=6)
6	1	RX(q=0) | CNOT(0->4) | CNOT(4->3) | CNOT(3->2) | CNOT(4->5) | CNOT(5->0) | CNOT(3->6) | CNOT(3->1) | CNOT(2->0) | RY(q=1) | CNOT(2->5) | CNOT(4->1) | CNOT(3->0) | CNOT(4->1) | CNOT(4->1) | CNOT(3->7) | CNOT(4->1) | CNOT(3->7) | CNOT(3->5) | CNOT(6->1) | CNOT(2->7) | CNOT(5->7) | CNOT(6->0) | CNOT(1->7) | CNOT(2->7) | CNOT(3->6) | CNOT(3->2) | CNOT(3->0) | CNOT(3->0) | CNOT(5->1) | CNOT(3->5) | CNOT(3->0)
7	1	RY(q=3) | RY(q=4) | CNOT(3->6) | CNOT(4->7) | RX(q=3) | RX(q=4) | CNOT(7->2) | CNOT(7->0) | CNOT(7->2) | CNOT(0->7)
8	1	RY(q=4) | CNOT(4->2) | CNOT(2->7)
9	1	RY(q=4) | RY(q=1)
10	1	RY(q=4) | CNOT(4->0)
