episode_key	run_dir	method	molecule	config	seed	episode	first_hit_step	first_hit_error_mha	last_action	prefix_len
crlqas__L3_CH2_Singlet_8q__L3_CH2_Singlet_8q_rotosolve_s2_check__seed11111__ep1973	/home/ubuntu/NeurIPS2026/PSQASBench/results/crlqas/L3_CH2_Singlet_8q/LevelCheck_EXP/L3_CH2_Singlet_8q_rotosolve_s2_check/seed11111	crlqas	L3_CH2_Singlet_8q	L3_CH2_Singlet_8q_rotosolve_s2_check	seed11111	1973	9	0.0006	CNOT(0->4)	9
crlqas__L3_CH2_Singlet_8q__L3_CH2_Singlet_8q_rotosolve_s2_check__seed11111__ep1774	/home/ubuntu/NeurIPS2026/PSQASBench/results/crlqas/L3_CH2_Singlet_8q/LevelCheck_EXP/L3_CH2_Singlet_8q_rotosolve_s2_check/seed11111	crlqas	L3_CH2_Singlet_8q	L3_CH2_Singlet_8q_rotosolve_s2_check	seed11111	1774	23	0.0006	CNOT(5->0)	23
crlqas__L3_CH2_Singlet_8q__L3_CH2_Singlet_8q_rotosolve_s2_check__seed11111__ep1359	/home/ubuntu/NeurIPS2026/PSQASBench/results/crlqas/L3_CH2_Singlet_8q/LevelCheck_EXP/L3_CH2_Singlet_8q_rotosolve_s2_check/seed11111	crlqas	L3_CH2_Singlet_8q	L3_CH2_Singlet_8q_rotosolve_s2_check	seed11111	1359	64	0.0006	CNOT(0->4)	64
crlqas__L3_CH2_Singlet_8q__L3_CH2_Singlet_8q_rotosolve_s2_check__seed11111__ep1606	/home/ubuntu/NeurIPS2026/PSQASBench/results/crlqas/L3_CH2_Singlet_8q/LevelCheck_EXP/L3_CH2_Singlet_8q_rotosolve_s2_check/seed11111	crlqas	L3_CH2_Singlet_8q	L3_CH2_Singlet_8q_rotosolve_s2_check	seed11111	1606	50	0.0006	CNOT(6->0)	50
crlqas__L3_CH2_Singlet_8q__L3_CH2_Singlet_8q_rotosolve_s2_check__seed11111__ep1920	/home/ubuntu/NeurIPS2026/PSQASBench/results/crlqas/L3_CH2_Singlet_8q/LevelCheck_EXP/L3_CH2_Singlet_8q_rotosolve_s2_check/seed11111	crlqas	L3_CH2_Singlet_8q	L3_CH2_Singlet_8q_rotosolve_s2_check	seed11111	1920	57	0.0006	RY(q=6)	57
crlqas__L3_CH2_Singlet_8q__L3_CH2_Singlet_8q_rotosolve_s2_check__seed11111__ep1406	/home/ubuntu/NeurIPS2026/PSQASBench/results/crlqas/L3_CH2_Singlet_8q/LevelCheck_EXP/L3_CH2_Singlet_8q_rotosolve_s2_check/seed11111	crlqas	L3_CH2_Singlet_8q	L3_CH2_Singlet_8q_rotosolve_s2_check	seed11111	1406	68	0.0006	CNOT(6->1)	68
crlqas__L3_CH2_Singlet_8q__L3_CH2_Singlet_8q_rotosolve_s2_check__seed11111__ep1913	/home/ubuntu/NeurIPS2026/PSQASBench/results/crlqas/L3_CH2_Singlet_8q/LevelCheck_EXP/L3_CH2_Singlet_8q_rotosolve_s2_check/seed11111	crlqas	L3_CH2_Singlet_8q	L3_CH2_Singlet_8q_rotosolve_s2_check	seed11111	1913	49	0.0006	CNOT(0->7)	49
crlqas__L3_CH2_Singlet_8q__L3_CH2_Singlet_8q_rotosolve_s2_check__seed11111__ep1789	/home/ubuntu/NeurIPS2026/PSQASBench/results/crlqas/L3_CH2_Singlet_8q/LevelCheck_EXP/L3_CH2_Singlet_8q_rotosolve_s2_check/seed11111	crlqas	L3_CH2_Singlet_8q	L3_CH2_Singlet_8q_rotosolve_s2_check	seed11111	1789	25	0.0006	RY(q=5)	25
crlqas__L3_CH2_Singlet_8q__L3_CH2_Singlet_8q_rotosolve_s2_check__seed11111__ep1646	/home/ubuntu/NeurIPS2026/PSQASBench/results/crlqas/L3_CH2_Singlet_8q/LevelCheck_EXP/L3_CH2_Singlet_8q_rotosolve_s2_check/seed11111	crlqas	L3_CH2_Singlet_8q	L3_CH2_Singlet_8q_rotosolve_s2_check	seed11111	1646	58	0.0006	CNOT(1->5)	58
crlqas__L3_CH2_Singlet_8q__L3_CH2_Singlet_8q_rotosolve_s2_check__seed11111__ep1341	/home/ubuntu/NeurIPS2026/PSQASBench/results/crlqas/L3_CH2_Singlet_8q/LevelCheck_EXP/L3_CH2_Singlet_8q_rotosolve_s2_check/seed11111	crlqas	L3_CH2_Singlet_8q	L3_CH2_Singlet_8q_rotosolve_s2_check	seed11111	1341	37	0.0006	CNOT(4->0)	37
