episode_key	run_dir	episode	first_hit_step	first_hit_error_mha	baseline_error_mha	retained_error_mha	delta_error_mha	allowed_error_mha	original_gate_count	fixed_gate_count	effective_max_prune_steps	retained_gate_count	removed_gate_count	redundancy_ratio_pct	resolved_optimizer	last_action	retained_gates	retained_signature
crlqas__L3_CH2_Singlet_8q__L3_CH2_Singlet_8q_rotosolve_s2_check__seed11111__ep1973	/home/ubuntu/NeurIPS2026/PSQASBench/results/crlqas/L3_CH2_Singlet_8q/LevelCheck_EXP/L3_CH2_Singlet_8q_rotosolve_s2_check/seed11111	1973	9	0.000623	5.662392	5.662392	0.000000	5.672392	9	1	8	2	7	77.78	rotosolve	CNOT(0->4)	RY(q=6) | CNOT(6->4)	"[""RY(q=6)"", ""CNOT(6->4)""]"
crlqas__L3_CH2_Singlet_8q__L3_CH2_Singlet_8q_rotosolve_s2_check__seed11111__ep1774	/home/ubuntu/NeurIPS2026/PSQASBench/results/crlqas/L3_CH2_Singlet_8q/LevelCheck_EXP/L3_CH2_Singlet_8q_rotosolve_s2_check/seed11111	1774	23	0.000623	240.503060	240.503060	0.000000	240.513060	23	2	21	2	21	91.30	rotosolve	CNOT(5->0)	RX(q=6) | CNOT(6->7)	"[""RX(q=6)"", ""CNOT(6->7)""]"
crlqas__L3_CH2_Singlet_8q__L3_CH2_Singlet_8q_rotosolve_s2_check__seed11111__ep1359	/home/ubuntu/NeurIPS2026/PSQASBench/results/crlqas/L3_CH2_Singlet_8q/LevelCheck_EXP/L3_CH2_Singlet_8q_rotosolve_s2_check/seed11111	1359	64	0.000623	0.000000	0.000000	0.000000	0.050000	64	1	63	8	56	87.50	rotosolve	CNOT(0->4)	RX(q=6) | CNOT(6->5) | CNOT(5->1) | RX(q=5) | CNOT(6->1) | CNOT(6->4) | RY(q=0) | CNOT(0->4)	"[""RX(q=6)"", ""CNOT(6->5)"", ""CNOT(5->1)"", ""RX(q=5)"", ""CNOT(6->1)"", ""CNOT(6->4)"", ""RY(q=0)"", ""CNOT(0->4)""]"
crlqas__L3_CH2_Singlet_8q__L3_CH2_Singlet_8q_rotosolve_s2_check__seed11111__ep1606	/home/ubuntu/NeurIPS2026/PSQASBench/results/crlqas/L3_CH2_Singlet_8q/LevelCheck_EXP/L3_CH2_Singlet_8q_rotosolve_s2_check/seed11111	1606	50	0.000623	5.662392	5.662392	0.000000	5.672392	50	2	48	5	45	90.00	rotosolve	CNOT(6->0)	RX(q=7) | CNOT(7->3) | CNOT(7->3) | RY(q=5) | CNOT(6->0)	"[""RX(q=7)"", ""CNOT(7->3)"", ""CNOT(7->3)"", ""RY(q=5)"", ""CNOT(6->0)""]"
crlqas__L3_CH2_Singlet_8q__L3_CH2_Singlet_8q_rotosolve_s2_check__seed11111__ep1920	/home/ubuntu/NeurIPS2026/PSQASBench/results/crlqas/L3_CH2_Singlet_8q/LevelCheck_EXP/L3_CH2_Singlet_8q_rotosolve_s2_check/seed11111	1920	57	0.000623	450.380646	450.380646	0.000000	450.390646	57	3	54	3	54	94.74	rotosolve	RY(q=6)	CNOT(4->0) | CNOT(6->2) | RY(q=6)	"[""CNOT(4->0)"", ""CNOT(6->2)"", ""RY(q=6)""]"
crlqas__L3_CH2_Singlet_8q__L3_CH2_Singlet_8q_rotosolve_s2_check__seed11111__ep1406	/home/ubuntu/NeurIPS2026/PSQASBench/results/crlqas/L3_CH2_Singlet_8q/LevelCheck_EXP/L3_CH2_Singlet_8q_rotosolve_s2_check/seed11111	1406	68	0.000623	571.618406	571.618406	0.000000	571.628406	68	3	65	32	36	52.94	rotosolve	CNOT(6->1)	RX(q=0) | CNOT(0->4) | CNOT(4->3) | CNOT(3->2) | CNOT(4->5) | CNOT(5->0) | CNOT(3->6) | CNOT(3->1) | CNOT(2->0) | RY(q=1) | CNOT(2->5) | CNOT(4->1) | CNOT(3->0) | CNOT(4->1) | CNOT(4->1) | CNOT(3->7) | CNOT(4->1) | CNOT(3->7) | CNOT(3->5) | CNOT(6->1) | CNOT(2->7) | CNOT(5->7) | CNOT(6->0) | CNOT(1->7) | CNOT(2->7) | CNOT(3->6) | CNOT(3->2) | CNOT(3->0) | CNOT(3->0) | CNOT(5->1) | CNOT(3->5) | CNOT(3->0)	"[""RX(q=0)"", ""CNOT(0->4)"", ""CNOT(4->3)"", ""CNOT(3->2)"", ""CNOT(4->5)"", ""CNOT(5->0)"", ""CNOT(3->6)"", ""CNOT(3->1)"", ""CNOT(2->0)"", ""RY(q=1)"", ""CNOT(2->5)"", ""CNOT(4->1)"", ""CNOT(3->0)"", ""CNOT(4->1)"", ""CNOT(4->1)"", ""CNOT(3->7)"", ""CNOT(4->1)"", ""CNOT(3->7)"", ""CNOT(3->5)"", ""CNOT(6->1)"", ""CNOT(2->7)"", ""CNOT(5->7)"", ""CNOT(6->0)"", ""CNOT(1->7)"", ""CNOT(2->7)"", ""CNOT(3->6)"", ""CNOT(3->2)"", ""CNOT(3->0)"", ""CNOT(3->0)"", ""CNOT(5->1)"", ""CNOT(3->5)"", ""CNOT(3->0)""]"
crlqas__L3_CH2_Singlet_8q__L3_CH2_Singlet_8q_rotosolve_s2_check__seed11111__ep1913	/home/ubuntu/NeurIPS2026/PSQASBench/results/crlqas/L3_CH2_Singlet_8q/LevelCheck_EXP/L3_CH2_Singlet_8q_rotosolve_s2_check/seed11111	1913	49	0.000623	0.000000	0.000000	0.000000	0.050000	49	3	46	10	39	79.59	rotosolve	CNOT(0->7)	RY(q=3) | RY(q=4) | CNOT(3->6) | CNOT(4->7) | RX(q=3) | RX(q=4) | CNOT(7->2) | CNOT(7->0) | CNOT(7->2) | CNOT(0->7)	"[""RY(q=3)"", ""RY(q=4)"", ""CNOT(3->6)"", ""CNOT(4->7)"", ""RX(q=3)"", ""RX(q=4)"", ""CNOT(7->2)"", ""CNOT(7->0)"", ""CNOT(7->2)"", ""CNOT(0->7)""]"
crlqas__L3_CH2_Singlet_8q__L3_CH2_Singlet_8q_rotosolve_s2_check__seed11111__ep1789	/home/ubuntu/NeurIPS2026/PSQASBench/results/crlqas/L3_CH2_Singlet_8q/LevelCheck_EXP/L3_CH2_Singlet_8q_rotosolve_s2_check/seed11111	1789	25	0.000623	696.943502	696.943502	0.000000	696.953502	25	0	25	3	22	88.00	rotosolve	RY(q=5)	RY(q=4) | CNOT(4->2) | CNOT(2->7)	"[""RY(q=4)"", ""CNOT(4->2)"", ""CNOT(2->7)""]"
crlqas__L3_CH2_Singlet_8q__L3_CH2_Singlet_8q_rotosolve_s2_check__seed11111__ep1646	/home/ubuntu/NeurIPS2026/PSQASBench/results/crlqas/L3_CH2_Singlet_8q/LevelCheck_EXP/L3_CH2_Singlet_8q_rotosolve_s2_check/seed11111	1646	58	0.000623	378.597706	378.597706	0.000000	378.607706	58	2	56	2	56	96.55	rotosolve	CNOT(1->5)	RY(q=4) | RY(q=1)	"[""RY(q=4)"", ""RY(q=1)""]"
crlqas__L3_CH2_Singlet_8q__L3_CH2_Singlet_8q_rotosolve_s2_check__seed11111__ep1341	/home/ubuntu/NeurIPS2026/PSQASBench/results/crlqas/L3_CH2_Singlet_8q/LevelCheck_EXP/L3_CH2_Singlet_8q_rotosolve_s2_check/seed11111	1341	37	0.000623	565.408647	565.408647	0.000000	565.418647	37	2	35	2	35	94.59	rotosolve	CNOT(4->0)	RY(q=4) | CNOT(4->0)	"[""RY(q=4)"", ""CNOT(4->0)""]"
