category	rank	token	total_count	avg_count_per_episode	episode_presence_frac	share_within_category
gate_token	1	RX(q=4)	3754	0.562987	0.529544	0.093188
gate_token	2	RX(q=5)	3443	0.516347	0.495351	0.085468
gate_token	3	RY(q=4)	3118	0.467606	0.449460	0.077400
gate_token	4	RY(q=5)	3043	0.456359	0.437013	0.075539
gate_token	5	CNOT(4->5)	1591	0.238602	0.215657	0.039495
gate_token	6	CNOT(5->4)	1245	0.186713	0.174565	0.030906
gate_token	7	RX(q=2)	1040	0.155969	0.131974	0.025817
gate_token	8	RX(q=0)	826	0.123875	0.110078	0.020504
gate_token	9	RX(q=3)	812	0.121776	0.106029	0.020157
gate_token	10	RY(q=2)	759	0.113827	0.104529	0.018841
gate_token	11	RY(q=0)	725	0.108728	0.095531	0.017997
gate_token	12	RX(q=1)	724	0.108578	0.103029	0.017972
gate_token	13	CNOT(2->5)	681	0.102130	0.084283	0.016905
gate_token	14	RY(q=3)	667	0.100030	0.095681	0.016557
gate_token	15	RZ(q=3)	617	0.092531	0.076485	0.015316
gate_token	16	RY(q=1)	613	0.091932	0.088332	0.015217
gate_token	17	CNOT(3->1)	602	0.090282	0.077984	0.014944
gate_token	18	CNOT(5->3)	591	0.088632	0.077834	0.014671
gate_token	19	CNOT(5->1)	576	0.086383	0.075735	0.014298
gate_token	20	CNOT(4->2)	564	0.084583	0.077834	0.014001
gate_token	21	CNOT(2->4)	557	0.083533	0.078734	0.013827
gate_token	22	CNOT(4->1)	555	0.083233	0.074385	0.013777
gate_token	23	CNOT(2->3)	555	0.083233	0.074385	0.013777
gate_token	24	CNOT(0->4)	554	0.083083	0.077235	0.013752
gate_token	25	CNOT(3->5)	549	0.082334	0.077235	0.013628
gate_token	26	CNOT(4->3)	549	0.082334	0.075585	0.013628
gate_token	27	CNOT(5->0)	536	0.080384	0.076185	0.013306
gate_token	28	RZ(q=5)	534	0.080084	0.073935	0.013256
gate_token	29	CNOT(2->0)	534	0.080084	0.076935	0.013256
gate_token	30	CNOT(1->5)	532	0.079784	0.074985	0.013206
gate_token	31	CNOT(1->0)	524	0.078584	0.071986	0.013008
gate_token	32	CNOT(1->3)	517	0.077534	0.073335	0.012834
gate_token	33	RZ(q=4)	515	0.077235	0.072436	0.012784
gate_token	34	CNOT(5->2)	514	0.077085	0.072735	0.012759
gate_token	35	CNOT(3->2)	508	0.076185	0.071686	0.012610
gate_token	36	CNOT(1->2)	503	0.075435	0.070036	0.012486
gate_token	37	RZ(q=0)	502	0.075285	0.070936	0.012462
gate_token	38	CNOT(0->1)	499	0.074835	0.070786	0.012387
gate_token	39	CNOT(2->1)	497	0.074535	0.070786	0.012337
gate_token	40	CNOT(0->3)	493	0.073935	0.072136	0.012238
gate_token	41	RZ(q=1)	492	0.073785	0.070186	0.012213
gate_token	42	CNOT(3->4)	487	0.073035	0.069736	0.012089
gate_token	43	CNOT(1->4)	483	0.072436	0.069586	0.011990
gate_token	44	CNOT(0->5)	480	0.071986	0.068386	0.011915
gate_token	45	CNOT(3->0)	477	0.071536	0.068986	0.011841
gate_token	46	CNOT(4->0)	475	0.071236	0.067786	0.011791
gate_token	47	CNOT(0->2)	446	0.066887	0.064787	0.011071
gate_token	48	RZ(q=2)	426	0.063887	0.061938	0.010575
rot_token	1	RX(q=4)	3754	0.562987	0.529544	0.166033
rot_token	2	RX(q=5)	3443	0.516347	0.495351	0.152278
rot_token	3	RY(q=4)	3118	0.467606	0.449460	0.137904
rot_token	4	RY(q=5)	3043	0.456359	0.437013	0.134586
rot_token	5	RX(q=2)	1040	0.155969	0.131974	0.045997
rot_token	6	RX(q=0)	826	0.123875	0.110078	0.036533
rot_token	7	RX(q=3)	812	0.121776	0.106029	0.035913
rot_token	8	RY(q=2)	759	0.113827	0.104529	0.033569
rot_token	9	RY(q=0)	725	0.108728	0.095531	0.032065
rot_token	10	RX(q=1)	724	0.108578	0.103029	0.032021
rot_token	11	RY(q=3)	667	0.100030	0.095681	0.029500
rot_token	12	RZ(q=3)	617	0.092531	0.076485	0.027289
rot_token	13	RY(q=1)	613	0.091932	0.088332	0.027112
rot_token	14	RZ(q=5)	534	0.080084	0.073935	0.023618
rot_token	15	RZ(q=4)	515	0.077235	0.072436	0.022778
rot_token	16	RZ(q=0)	502	0.075285	0.070936	0.022203
rot_token	17	RZ(q=1)	492	0.073785	0.070186	0.021760
rot_token	18	RZ(q=2)	426	0.063887	0.061938	0.018841
edge_token	1	CNOT(4->5)	1591	0.238602	0.215657	0.090019
