run_dir	method	molecule	config	seed	episode	n_actions	n_rot	n_cnot	gate_token_counts	rot_qubit_counts	cnot_edge_counts	cnot_src_counts	cnot_targ_counts	qubit_touch_counts	qubits_touched
/home/ubuntu/NeurIPS2026/PSQASBench/results/crlqas/L2_LiH_Equil_6q/Formal_EXP/L2_LiH_Equil_6q_cobyla_20k_curriculum/seed11111	crlqas	L2_LiH_Equil_6q	L2_LiH_Equil_6q_cobyla_20k_curriculum	seed11111	13334	4	3	1	"{""CNOT(1->0)"": 1, ""RX(q=2)"": 1, ""RX(q=5)"": 1, ""RY(q=4)"": 1}"	"{""q2"": 1, ""q4"": 1, ""q5"": 1}"	"{""CNOT(1->0)"": 1}"	"{""q1"": 1}"	"{""q0"": 1}"	"{""q0"": 1, ""q1"": 1, ""q2"": 1, ""q4"": 1, ""q5"": 1}"	"[""q0"", ""q1"", ""q2"", ""q4"", ""q5""]"
/home/ubuntu/NeurIPS2026/PSQASBench/results/crlqas/L2_LiH_Equil_6q/Formal_EXP/L2_LiH_Equil_6q_cobyla_20k_curriculum/seed11111	crlqas	L2_LiH_Equil_6q	L2_LiH_Equil_6q_cobyla_20k_curriculum	seed11111	13335	6	2	4	"{""CNOT(1->4)"": 1, ""CNOT(1->5)"": 1, ""CNOT(4->1)"": 1, ""CNOT(4->2)"": 1, ""RX(q=4)"": 1, ""RX(q=5)"": 1}"	"{""q4"": 1, ""q5"": 1}"	"{""CNOT(1->4)"": 1, ""CNOT(1->5)"": 1, ""CNOT(4->1)"": 1, ""CNOT(4->2)"": 1}"	"{""q1"": 2, ""q4"": 2}"	"{""q1"": 1, ""q2"": 1, ""q4"": 1, ""q5"": 1}"	"{""q1"": 3, ""q2"": 1, ""q4"": 4, ""q5"": 2}"	"[""q1"", ""q2"", ""q4"", ""q5""]"
/home/ubuntu/NeurIPS2026/PSQASBench/results/crlqas/L2_LiH_Equil_6q/Formal_EXP/L2_LiH_Equil_6q_cobyla_20k_curriculum/seed11111	crlqas	L2_LiH_Equil_6q	L2_LiH_Equil_6q_cobyla_20k_curriculum	seed11111	13336	6	5	1	"{""CNOT(3->1)"": 1, ""RX(q=0)"": 1, ""RX(q=4)"": 1, ""RX(q=5)"": 1, ""RY(q=0)"": 1, ""RY(q=5)"": 1}"	"{""q0"": 2, ""q4"": 1, ""q5"": 2}"	"{""CNOT(3->1)"": 1}"	"{""q3"": 1}"	"{""q1"": 1}"	"{""q0"": 2, ""q1"": 1, ""q3"": 1, ""q4"": 1, ""q5"": 2}"	"[""q0"", ""q1"", ""q3"", ""q4"", ""q5""]"
/home/ubuntu/NeurIPS2026/PSQASBench/results/crlqas/L2_LiH_Equil_6q/Formal_EXP/L2_LiH_Equil_6q_cobyla_20k_curriculum/seed11111	crlqas	L2_LiH_Equil_6q	L2_LiH_Equil_6q_cobyla_20k_curriculum	seed11111	13337	9	5	4	"{""CNOT(3->2)"": 2, ""CNOT(4->5)"": 1, ""CNOT(5->0)"": 1, ""RX(q=2)"": 1, ""RX(q=4)"": 1, ""RY(q=0)"": 1, ""RY(q=5)"": 1, ""RZ(q=5)"": 1}"	"{""q0"": 1, ""q2"": 1, ""q4"": 1, ""q5"": 2}"	"{""CNOT(3->2)"": 2, ""CNOT(4->5)"": 1, ""CNOT(5->0)"": 1}"	"{""q3"": 2, ""q4"": 1, ""q5"": 1}"	"{""q0"": 1, ""q2"": 2, ""q5"": 1}"	"{""q0"": 2, ""q2"": 3, ""q3"": 2, ""q4"": 2, ""q5"": 4}"	"[""q0"", ""q2"", ""q3"", ""q4"", ""q5""]"
/home/ubuntu/NeurIPS2026/PSQASBench/results/crlqas/L2_LiH_Equil_6q/Formal_EXP/L2_LiH_Equil_6q_cobyla_20k_curriculum/seed11111	crlqas	L2_LiH_Equil_6q	L2_LiH_Equil_6q_cobyla_20k_curriculum	seed11111	13338	5	3	2	"{""CNOT(1->4)"": 1, ""CNOT(5->2)"": 1, ""RX(q=0)"": 1, ""RY(q=4)"": 1, ""RY(q=5)"": 1}"	"{""q0"": 1, ""q4"": 1, ""q5"": 1}"	"{""CNOT(1->4)"": 1, ""CNOT(5->2)"": 1}"	"{""q1"": 1, ""q5"": 1}"	"{""q2"": 1, ""q4"": 1}"	"{""q0"": 1, ""q1"": 1, ""q2"": 1, ""q4"": 2, ""q5"": 2}"	"[""q0"", ""q1"", ""q2"", ""q4"", ""q5""]"
/home/ubuntu/NeurIPS2026/PSQASBench/results/crlqas/L2_LiH_Equil_6q/Formal_EXP/L2_LiH_Equil_6q_cobyla_20k_curriculum/seed11111	crlqas	L2_LiH_Equil_6q	L2_LiH_Equil_6q_cobyla_20k_curriculum	seed11111	13339	6	3	3	"{""CNOT(3->1)"": 1, ""CNOT(4->5)"": 1, ""CNOT(5->3)"": 1, ""RX(q=4)"": 1, ""RY(q=5)"": 1, ""RZ(q=5)"": 1}"	"{""q4"": 1, ""q5"": 2}"	"{""CNOT(3->1)"": 1, ""CNOT(4->5)"": 1, ""CNOT(5->3)"": 1}"	"{""q3"": 1, ""q4"": 1, ""q5"": 1}"	"{""q1"": 1, ""q3"": 1, ""q5"": 1}"	"{""q1"": 1, ""q3"": 2, ""q4"": 2, ""q5"": 4}"	"[""q1"", ""q3"", ""q4"", ""q5""]"
/home/ubuntu/NeurIPS2026/PSQASBench/results/crlqas/L2_LiH_Equil_6q/Formal_EXP/L2_LiH_Equil_6q_cobyla_20k_curriculum/seed11111	crlqas	L2_LiH_Equil_6q	L2_LiH_Equil_6q_cobyla_20k_curriculum	seed11111	13340	8	3	5	"{""CNOT(0->1)"": 1, ""CNOT(1->3)"": 1, ""CNOT(2->1)"": 1, ""CNOT(5->0)"": 1, ""CNOT(5->2)"": 1, ""RY(q=3)"": 1, ""RY(q=4)"": 1, ""RY(q=5)"": 1}"	"{""q3"": 1, ""q4"": 1, ""q5"": 1}"	"{""CNOT(0->1)"": 1, ""CNOT(1->3)"": 1, ""CNOT(2->1)"": 1, ""CNOT(5->0)"": 1, ""CNOT(5->2)"": 1}"	"{""q0"": 1, ""q1"": 1, ""q2"": 1, ""q5"": 2}"	"{""q0"": 1, ""q1"": 2, ""q2"": 1, ""q3"": 1}"	"{""q0"": 2, ""q1"": 3, ""q2"": 2, ""q3"": 2, ""q4"": 1, ""q5"": 3}"	"[""q0"", ""q1"", ""q2"", ""q3"", ""q4"", ""q5""]"
/home/ubuntu/NeurIPS2026/PSQASBench/results/crlqas/L2_LiH_Equil_6q/Formal_EXP/L2_LiH_Equil_6q_cobyla_20k_curriculum/seed11111	crlqas	L2_LiH_Equil_6q	L2_LiH_Equil_6q_cobyla_20k_curriculum	seed11111	13341	8	6	2	"{""CNOT(0->5)"": 1, ""CNOT(4->0)"": 1, ""RX(q=0)"": 1, ""RX(q=2)"": 1, ""RX(q=4)"": 2, ""RX(q=5)"": 1, ""RY(q=5)"": 1}"	"{""q0"": 1, ""q2"": 1, ""q4"": 2, ""q5"": 2}"	"{""CNOT(0->5)"": 1, ""CNOT(4->0)"": 1}"	"{""q0"": 1, ""q4"": 1}"	"{""q0"": 1, ""q5"": 1}"	"{""q0"": 3, ""q2"": 1, ""q4"": 3, ""q5"": 3}"	"[""q0"", ""q2"", ""q4"", ""q5""]"
/home/ubuntu/NeurIPS2026/PSQASBench/results/crlqas/L2_LiH_Equil_6q/Formal_EXP/L2_LiH_Equil_6q_cobyla_20k_curriculum/seed11111	crlqas	L2_LiH_Equil_6q	L2_LiH_Equil_6q_cobyla_20k_curriculum	seed11111	13342	4	2	2	"{""CNOT(4->5)"": 1, ""CNOT(5->2)"": 1, ""RX(q=4)"": 1, ""RX(q=5)"": 1}"	"{""q4"": 1, ""q5"": 1}"	"{""CNOT(4->5)"": 1, ""CNOT(5->2)"": 1}"	"{""q4"": 1, ""q5"": 1}"	"{""q2"": 1, ""q5"": 1}"	"{""q2"": 1, ""q4"": 2, ""q5"": 3}"	"[""q2"", ""q4"", ""q5""]"
/home/ubuntu/NeurIPS2026/PSQASBench/results/crlqas/L2_LiH_Equil_6q/Formal_EXP/L2_LiH_Equil_6q_cobyla_20k_curriculum/seed11111	crlqas	L2_LiH_Equil_6q	L2_LiH_Equil_6q_cobyla_20k_curriculum	seed11111	13343	7	5	2	"{""CNOT(3->5)"": 1, ""CNOT(4->5)"": 1, ""RX(q=1)"": 1, ""RX(q=4)"": 1, ""RX(q=5)"": 2, ""RY(q=1)"": 1}"	"{""q1"": 2, ""q4"": 1, ""q5"": 2}"	"{""CNOT(3->5)"": 1, ""CNOT(4->5)"": 1}"	"{""q3"": 1, ""q4"": 1}"	"{""q5"": 2}"	"{""q1"": 2, ""q3"": 1, ""q4"": 2, ""q5"": 4}"	"[""q1"", ""q3"", ""q4"", ""q5""]"
