scope	bucket	episodes	hits	avg_hit_step	avg_prefix_len	avg_final_error_mha	top_last_action	top_last_action_count
ALL	0.13	1	1	27	27	0.13243285577146935	RY(q=3)	1
ALL	0.27	41	41	14.024390243902438	14.024390243902438	0.26949156920187917	CNOT(5->4)	6
ALL	0.28	9	9	23.555555555555557	23.555555555555557	0.2781406387742812	RY(q=1)	1
ALL	0.29	6	6	24.333333333333332	24.333333333333332	0.29062236694462246	CNOT(5->2)	1
ALL	0.30	3	3	25	25	0.2985097693291768	RZ(q=5)	1
ALL	0.31	3	3	25.333333333333332	25.333333333333332	0.30974218180250074	RY(q=4)	1
ALL	0.32	3	3	12	12	0.31932466424737055	CNOT(2->3)	1
ALL	0.33	5	5	20	20	0.3301942468706187	CNOT(4->5)	1
ALL	0.34	4	4	25	25	0.3377398408339616	CNOT(1->5)	1
ALL	0.35	1	1	21	21	0.3451647898842225	CNOT(3->2)	1
ALL	0.37	4	4	24	24	0.37001204319730974	CNOT(5->0)	1
ALL	0.38	4	4	27.5	27.5	0.37975051999250553	CNOT(4->3)	1
ALL	0.39	1	1	33	33	0.38513773339943214	RX(q=5)	1
ALL	0.40	3	3	21.333333333333332	21.333333333333332	0.3989404243066967	CNOT(4->1)	1
ALL	0.41	1	1	30	30	0.41019587646395905	CNOT(0->1)	1
ALL	0.42	4	4	29.5	29.5	0.42028603072541415	CNOT(5->4)	1
ALL	0.43	2	2	21.5	21.5	0.4326072228995059	RX(q=5)	1
ALL	0.44	2	2	25.5	25.5	0.44071345458895905	RY(q=1)	1
ALL	0.45	4	4	17.5	17.5	0.4522299499654103	CNOT(4->0)	1
ALL	0.46	1	1	28	28	0.4645553124991153	CNOT(5->4)	1
ALL	0.48	3	3	14	14	0.4772709700511986	CNOT(2->3)	1
ALL	0.49	2	2	25	25	0.49096229775802414	CNOT(4->0)	1
ALL	0.50	4	4	27.25	27.25	0.4977557302727753	CNOT(4->5)	1
ALL	0.51	2	2	17	17	0.5054031384039703	CNOT(5->4)	1
ALL	0.52	1	1	26	26	0.5167223083102357	CNOT(4->5)	1
