scope	bucket	motif_type	motif	count	bucket_episodes	other_count	other_episodes	support_in_bucket	support_elsewhere	lift
ALL	0.13	last3_motif	RX(q=0) -> CNOT(3->4) -> RY(q=3)	1	1	1	199999	1.0	5.0000250001250005e-06	199999.0
ALL	0.27	last3_motif	CNOT(5->3) -> CNOT(1->5) -> CNOT(5->4)	1	41	0	199959	0.024390243902439025	0.0	inf
ALL	0.27	last3_motif	CNOT(5->4) -> CNOT(1->0) -> RY(q=5)	1	41	1	199959	0.024390243902439025	5.001025210168084e-06	4877.048780487806
ALL	0.27	last3_motif	CNOT(0->1) -> RY(q=4) -> RY(q=5)	1	41	19	199959	0.024390243902439025	9.50194789931936e-05	256.6867779204108
ALL	0.27	last3_motif	CNOT(2->3) -> CNOT(0->2) -> CNOT(4->2)	1	41	1	199959	0.024390243902439025	5.001025210168084e-06	4877.048780487806
ALL	0.27	last3_motif	CNOT(5->0) -> CNOT(1->3) -> CNOT(4->1)	1	41	0	199959	0.024390243902439025	0.0	inf
ALL	0.27	last3_motif	RX(q=4) -> CNOT(1->4) -> CNOT(5->1)	1	41	2	199959	0.024390243902439025	1.0002050420336168e-05	2438.524390243903
ALL	0.27	last3_motif	CNOT(2->3) -> CNOT(5->4) -> CNOT(5->2)	1	41	1	199959	0.024390243902439025	5.001025210168084e-06	4877.048780487806
ALL	0.27	last3_motif	CNOT(0->5) -> CNOT(2->0) -> CNOT(1->0)	1	41	0	199959	0.024390243902439025	0.0	inf
ALL	0.27	last3_motif	RY(q=3) -> RX(q=4) -> CNOT(1->0)	1	41	1	199959	0.024390243902439025	5.001025210168084e-06	4877.048780487806
ALL	0.27	last3_motif	RY(q=4) -> CNOT(4->5) -> CNOT(5->2)	1	41	1	199959	0.024390243902439025	5.001025210168084e-06	4877.048780487806
ALL	0.27	last3_motif	CNOT(1->3) -> CNOT(0->5) -> RY(q=3)	1	41	1	199959	0.024390243902439025	5.001025210168084e-06	4877.048780487806
ALL	0.27	last3_motif	RY(q=5) -> RY(q=1) -> CNOT(5->4)	1	41	29	199959	0.024390243902439025	0.00014502973109487444	168.17409587888983
ALL	0.27	last3_motif	RX(q=4) -> RX(q=5) -> CNOT(1->4)	1	41	6	199959	0.024390243902439025	3.0006151261008507e-05	812.8414634146342
ALL	0.27	last3_motif	CNOT(5->4) -> CNOT(5->4) -> RX(q=5)	1	41	0	199959	0.024390243902439025	0.0	inf
ALL	0.27	last3_motif	CNOT(5->4) -> RX(q=5) -> RX(q=3)	1	41	1	199959	0.024390243902439025	5.001025210168084e-06	4877.048780487806
ALL	0.27	last3_motif	CNOT(2->3) -> CNOT(2->4) -> CNOT(4->5)	1	41	1	199959	0.024390243902439025	5.001025210168084e-06	4877.048780487806
ALL	0.27	last3_motif	RY(q=0) -> CNOT(1->5) -> CNOT(5->4)	1	41	0	199959	0.024390243902439025	0.0	inf
ALL	0.27	last3_motif	RY(q=0) -> RZ(q=4) -> CNOT(4->5)	1	41	0	199959	0.024390243902439025	0.0	inf
ALL	0.27	last3_motif	RZ(q=3) -> CNOT(1->0) -> CNOT(4->5)	1	41	2	199959	0.024390243902439025	1.0002050420336168e-05	2438.524390243903
ALL	0.27	last3_motif	CNOT(2->0) -> CNOT(3->5) -> CNOT(4->5)	1	41	0	199959	0.024390243902439025	0.0	inf
ALL	0.27	last3_motif	RX(q=3) -> RX(q=5) -> CNOT(5->4)	1	41	45	199959	0.024390243902439025	0.0002250461344575638	108.37886178861788
ALL	0.27	last3_motif	CNOT(4->5) -> CNOT(3->5) -> RX(q=3)	1	41	0	199959	0.024390243902439025	0.0	inf
ALL	0.27	last3_motif	RY(q=4) -> CNOT(4->5) -> CNOT(2->4)	1	41	1	199959	0.024390243902439025	5.001025210168084e-06	4877.048780487806
ALL	0.27	last3_motif	CNOT(0->1) -> RX(q=4) -> CNOT(0->5)	1	41	0	199959	0.024390243902439025	0.0	inf
ALL	0.27	last3_motif	CNOT(1->0) -> RX(q=4) -> RX(q=5)	1	41	46	199959	0.024390243902439025	0.00023004715966773188	106.02279957582185
ALL	0.27	last3_motif	CNOT(0->5) -> CNOT(4->5) -> RX(q=4)	1	41	1	199959	0.024390243902439025	5.001025210168084e-06	4877.048780487806
ALL	0.27	last3_motif	CNOT(0->4) -> CNOT(4->1) -> RY(q=0)	1	41	2	199959	0.024390243902439025	1.0002050420336168e-05	2438.524390243903
ALL	0.27	last3_motif	CNOT(3->5) -> CNOT(4->5) -> RX(q=0)	1	41	0	199959	0.024390243902439025	0.0	inf
ALL	0.27	last3_motif	RX(q=5) -> RY(q=4) -> CNOT(3->5)	1	41	1	199959	0.024390243902439025	5.001025210168084e-06	4877.048780487806
ALL	0.27	last3_motif	RX(q=0) -> CNOT(5->3) -> RX(q=5)	1	41	1	199959	0.024390243902439025	5.001025210168084e-06	4877.048780487806
ALL	0.27	last3_motif	CNOT(2->1) -> RX(q=5) -> CNOT(4->2)	1	41	0	199959	0.024390243902439025	0.0	inf
ALL	0.27	last3_motif	RX(q=4) -> CNOT(3->4) -> RZ(q=5)	1	41	1	199959	0.024390243902439025	5.001025210168084e-06	4877.048780487806
ALL	0.27	last3_motif	CNOT(0->2) -> CNOT(4->3) -> CNOT(3->0)	1	41	0	199959	0.024390243902439025	0.0	inf
ALL	0.27	last3_motif	CNOT(2->0) -> RX(q=2) -> RX(q=5)	1	41	0	199959	0.024390243902439025	0.0	inf
ALL	0.27	last3_motif	CNOT(2->4) -> CNOT(3->2) -> CNOT(5->4)	2	41	0	199959	0.04878048780487805	0.0	inf
ALL	0.27	last3_motif	CNOT(3->4) -> CNOT(2->3) -> RZ(q=0)	1	41	0	199959	0.024390243902439025	0.0	inf
ALL	0.27	last3_motif	RX(q=4) -> CNOT(4->5) -> CNOT(1->5)	1	41	0	199959	0.024390243902439025	0.0	inf
