scope	bucket	motif_type	motif	count	bucket_episodes	other_count	other_episodes	support_in_bucket	support_elsewhere	lift
ALL	0.13	last_action	RY(q=3)	1	1	566	199999	1.0	0.00283001415007075	353.3551236749117
ALL	0.27	last_action	CNOT(5->4)	6	41	15155	199959	0.14634146341463414	0.07579053706009732	1.9308672176131196
ALL	0.27	last_action	RY(q=5)	2	41	45717	199959	0.04878048780487805	0.22863186953325432	0.21335821600226634
ALL	0.27	last_action	CNOT(4->2)	4	41	531	199959	0.0975609756097561	0.0026555443865992527	36.73859721648064
ALL	0.27	last_action	CNOT(4->1)	1	41	476	199959	0.024390243902439025	0.0023804880000400084	10.245900799344128
ALL	0.27	last_action	CNOT(5->1)	1	41	424	199959	0.024390243902439025	0.0021204346891112676	11.502473538886333
ALL	0.27	last_action	CNOT(5->2)	2	41	523	199959	0.04878048780487805	0.002615536184917908	18.650282143356808
ALL	0.27	last_action	CNOT(1->0)	2	41	321	199959	0.04878048780487805	0.001605329092463955	30.386596763163894
ALL	0.27	last_action	RY(q=3)	1	41	566	199959	0.024390243902439025	0.002830580268955136	8.616693958459019
ALL	0.27	last_action	CNOT(1->4)	1	41	388	199959	0.024390243902439025	0.0019403977815452167	12.569713351772693
ALL	0.27	last_action	RX(q=5)	4	41	19410	199959	0.0975609756097561	0.09706989932936252	1.005058996494138
ALL	0.27	last_action	RX(q=3)	2	41	540	199959	0.04878048780487805	0.0027005536134907656	18.063143631436315
ALL	0.27	last_action	CNOT(4->5)	4	41	22915	199959	0.0975609756097561	0.11459849269100165	0.8513286110386742
ALL	0.27	last_action	CNOT(2->4)	1	41	363	199959	0.024390243902439025	0.0018153721512910146	13.435396089498086
ALL	0.27	last_action	CNOT(0->5)	1	41	384	199959	0.024390243902439025	0.0019203936807045444	12.700647865853659
ALL	0.27	last_action	RX(q=4)	1	41	37392	199959	0.024390243902439025	0.18699833465860502	0.13043027333354207
ALL	0.27	last_action	RY(q=0)	1	41	551	199959	0.024390243902439025	0.0027555648908026147	8.851268204152095
ALL	0.27	last_action	RX(q=0)	1	41	567	199959	0.024390243902439025	0.002835581294165304	8.601496967350625
ALL	0.27	last_action	CNOT(3->5)	1	41	383	199959	0.024390243902439025	0.0019153926554943764	12.733808826338917
ALL	0.27	last_action	RZ(q=5)	1	41	341	199959	0.024390243902439025	0.0017053495966673168	14.30219583720764
ALL	0.27	last_action	CNOT(3->0)	1	41	344	199959	0.024390243902439025	0.001720352672297821	14.177467385138968
ALL	0.27	last_action	RZ(q=0)	1	41	358	199959	0.024390243902439025	0.0017903670252401743	13.623041286278784
ALL	0.27	last_action	CNOT(1->5)	1	41	321	199959	0.024390243902439025	0.001605329092463955	15.193298381581947
ALL	0.27	last_action	CNOT(5->0)	1	41	502	199959	0.024390243902439025	0.0025105146555043784	9.71523661451754
ALL	0.28	last_action	RY(q=1)	1	9	628	199991	0.1111111111111111	0.003140141306358786	35.3841118188252
ALL	0.28	last_action	CNOT(3->2)	1	9	330	199991	0.1111111111111111	0.0016500742533414004	67.33703703703704
ALL	0.28	last_action	CNOT(2->3)	1	9	347	199991	0.1111111111111111	0.001735078078513533	64.03810438680756
ALL	0.28	last_action	CNOT(4->5)	1	9	22918	199991	0.1111111111111111	0.11459515678205519	0.9695969204215997
ALL	0.28	last_action	CNOT(4->0)	1	9	515	199991	0.1111111111111111	0.0025751158802146097	43.1480043149946
ALL	0.28	last_action	RZ(q=1)	1	9	338	199991	0.1111111111111111	0.001690076053422404	65.74326101249177
ALL	0.28	last_action	CNOT(5->3)	1	9	455	199991	0.1111111111111111	0.0022751023796070825	48.83785103785103
ALL	0.28	last_action	CNOT(3->5)	1	9	383	199991	0.1111111111111111	0.0019150861788780496	58.01885697708151
ALL	0.28	last_action	RX(q=0)	1	9	567	199991	0.1111111111111111	0.0028351275807411334	39.19086811679404
ALL	0.29	last_action	CNOT(5->2)	1	6	524	199994	0.16666666666666666	0.0026200786023580706	63.61132315521628
ALL	0.29	last_action	CNOT(5->4)	1	6	15160	199994	0.16666666666666666	0.07580227406822204	2.198702726473175
ALL	0.29	last_action	CNOT(3->1)	1	6	307	199994	0.16666666666666666	0.0015350460513815414	108.57437567861021
ALL	0.29	last_action	CNOT(3->5)	1	6	383	199994	0.16666666666666666	0.0019150574517235518	87.02959094865099
ALL	0.29	last_action	RX(q=2)	1	6	551	199994	0.16666666666666666	0.0027550826524795746	60.49425287356321
ALL	0.29	last_action	CNOT(4->5)	1	6	22918	199994	0.16666666666666666	0.1145934378031341	1.45441719754487
ALL	0.30	last_action	RZ(q=5)	1	3	341	199997	0.3333333333333333	0.0017050255753836307	195.50048875855327
ALL	0.30	last_action	CNOT(5->3)	1	3	455	199997	0.3333333333333333	0.0022750341255118826	146.5179487179487
ALL	0.30	last_action	CNOT(5->0)	1	3	502	199997	0.3333333333333333	0.0025100376505647584	132.80013280212484
ALL	0.31	last_action	RY(q=4)	1	3	41848	199997	0.3333333333333333	0.20924313864707972	1.5930430765309371
ALL	0.31	last_action	CNOT(5->1)	1	3	424	199997	0.3333333333333333	0.0021200318004770072	157.23034591194968
ALL	0.31	last_action	CNOT(3->4)	1	3	353	199997	0.3333333333333333	0.001765026475397131	188.85457979225683
ALL	0.32	last_action	CNOT(2->3)	1	3	347	199997	0.3333333333333333	0.001735026025390381	192.12007684918345
ALL	0.32	last_action	CNOT(5->4)	1	3	15160	199997	0.3333333333333333	0.07580113701705525	4.397471416007036
ALL	0.32	last_action	CNOT(4->5)	1	3	22918	199997	0.3333333333333333	0.11459171887578314	2.9088780289146814
ALL	0.33	last_action	CNOT(4->5)	1	5	22918	199995	0.2	0.11459286482162054	1.7453093638188324
ALL	0.33	last_action	RX(q=4)	1	5	37392	199995	0.2	0.1869646741168529	1.0697207958921695
ALL	0.33	last_action	RX(q=5)	1	5	19413	199995	0.2	0.09706742668566715	2.0604234276000617
ALL	0.33	last_action	CNOT(5->2)	1	5	524	199995	0.2	0.002620065501637541	76.33396946564886
ALL	0.33	last_action	CNOT(0->1)	1	5	317	199995	0.2	0.0015850396259906498	126.17981072555206
ALL	0.34	last_action	CNOT(1->5)	1	4	321	199996	0.25	0.001605032100642013	155.7601246105919
ALL	0.34	last_action	CNOT(3->5)	1	4	383	199996	0.25	0.0019150383007660154	130.54569190600523
ALL	0.34	last_action	CNOT(3->1)	1	4	307	199996	0.25	0.0015350307006140123	162.86319218241042
ALL	0.34	last_action	CNOT(2->4)	1	4	363	199996	0.25	0.0018150363007260145	137.7382920110193
ALL	0.35	last_action	CNOT(3->2)	1	1	330	199999	1.0	0.0016500082500412502	606.0575757575758
ALL	0.37	last_action	CNOT(5->0)	1	4	502	199996	0.25	0.00251005020100402	99.5996015936255
ALL	0.37	last_action	CNOT(3->0)	1	4	344	199996	0.25	0.0017200344006880139	145.34593023255812
ALL	0.37	last_action	RZ(q=2)	1	4	350	199996	0.25	0.001750035000700014	142.8542857142857
ALL	0.37	last_action	RX(q=5)	1	4	19413	199996	0.25	0.09706694133882678	2.575542162468449
ALL	0.38	last_action	CNOT(4->3)	1	4	476	199996	0.25	0.002380047600952019	105.03991596638654
ALL	0.38	last_action	CNOT(5->1)	1	4	424	199996	0.25	0.002120042400848017	117.92216981132076
ALL	0.38	last_action	RX(q=1)	1	4	504	199996	0.25	0.00252005040100802	99.20436507936509
ALL	0.38	last_action	CNOT(0->1)	1	4	317	199996	0.25	0.0015850317006340126	157.7255520504732
ALL	0.39	last_action	RX(q=5)	1	1	19413	199999	1.0	0.09706548532742663	10.302323185494256
ALL	0.40	last_action	CNOT(4->1)	1	3	476	199997	0.3333333333333333	0.002380035700535508	140.05392156862743
ALL	0.40	last_action	RY(q=0)	1	3	551	199997	0.3333333333333333	0.002755041325619884	120.9903206291591
ALL	0.40	last_action	CNOT(4->0)	1	3	515	199997	0.3333333333333333	0.002575038625579384	129.44789644012943
ALL	0.41	last_action	CNOT(0->1)	1	1	317	199999	1.0	0.0015850079250396252	630.9116719242902
ALL	0.42	last_action	CNOT(5->4)	1	4	15160	199996	0.25	0.0758015160303206	3.2980870712401056
ALL	0.42	last_action	CNOT(5->3)	1	4	455	199996	0.25	0.002275045500910018	109.88791208791208
ALL	0.42	last_action	CNOT(5->0)	1	4	502	199996	0.25	0.00251005020100402	99.5996015936255
ALL	0.42	last_action	RY(q=2)	1	4	591	199996	0.25	0.0029550591011820236	84.60067681895093
ALL	0.43	last_action	RX(q=5)	1	2	19413	199998	0.5	0.0970659706597066	5.151135836810385
ALL	0.43	last_action	RY(q=4)	1	2	41848	199998	0.5	0.2092420924209242	2.3895765627987
ALL	0.44	last_action	RY(q=1)	1	2	628	199998	0.5	0.003140031400314003	159.23407643312103
ALL	0.44	last_action	CNOT(4->2)	1	2	534	199998	0.5	0.0026700267002670026	187.26404494382024
ALL	0.45	last_action	CNOT(4->0)	1	4	515	199996	0.25	0.0025750515010300205	97.08543689320389
ALL	0.45	last_action	RY(q=2)	1	4	591	199996	0.25	0.0029550591011820236	84.60067681895093
ALL	0.45	last_action	CNOT(0->2)	1	4	367	199996	0.25	0.0018350367007340146	136.23705722070846
ALL	0.45	last_action	CNOT(4->3)	1	4	476	199996	0.25	0.002380047600952019	105.03991596638654
ALL	0.46	last_action	CNOT(5->4)	1	1	15160	199999	1.0	0.07580037900189501	13.19254617414248
ALL	0.48	last_action	CNOT(2->3)	1	3	347	199997	0.3333333333333333	0.001735026025390381	192.12007684918345
ALL	0.48	last_action	CNOT(4->3)	1	3	476	199997	0.3333333333333333	0.002380035700535508	140.05392156862743
ALL	0.48	last_action	CNOT(3->4)	1	3	353	199997	0.3333333333333333	0.001765026475397131	188.85457979225683
ALL	0.49	last_action	CNOT(4->0)	1	2	515	199998	0.5	0.0025750257502575027	194.17281553398058
ALL	0.49	last_action	CNOT(1->4)	1	2	388	199998	0.5	0.001940019400194002	257.72938144329896
ALL	0.50	last_action	CNOT(4->5)	1	4	22918	199996	0.25	0.11459229184583691	2.1816476132297757
ALL	0.50	last_action	CNOT(5->4)	1	4	15160	199996	0.25	0.0758015160303206	3.2980870712401056
ALL	0.50	last_action	RZ(q=1)	1	4	338	199996	0.25	0.0016900338006760136	147.92603550295857
ALL	0.50	last_action	CNOT(1->2)	1	4	339	199996	0.25	0.0016950339006780136	147.4896755162242
ALL	0.51	last_action	CNOT(5->4)	1	2	15160	199998	0.5	0.07580075800758007	6.596240105540898
ALL	0.51	last_action	CNOT(4->0)	1	2	515	199998	0.5	0.0025750257502575027	194.17281553398058
ALL	0.52	last_action	CNOT(4->5)	1	1	22918	199999	1.0	0.11459057295286476	8.726721354393927
ALL	0.53	last_action	CNOT(2->5)	1	2	323	199998	0.5	0.0016150161501615017	309.59442724458205
ALL	0.53	last_action	RY(q=4)	1	2	41848	199998	0.5	0.2092420924209242	2.3895765627987
ALL	0.54	last_action	CNOT(5->1)	1	5	424	199995	0.2	0.002120053001325033	94.3372641509434
ALL	0.54	last_action	RY(q=2)	1	5	591	199995	0.2	0.0029550738768469214	67.68020304568527
ALL	0.54	last_action	RX(q=5)	1	5	19413	199995	0.2	0.09706742668566715	2.0604234276000617
ALL	0.54	last_action	CNOT(4->5)	1	5	22918	199995	0.2	0.11459286482162054	1.7453093638188324
ALL	0.54	last_action	RZ(q=0)	1	5	358	199995	0.2	0.001790044751118778	111.72905027932961
ALL	0.55	last_action	RX(q=4)	36582	184760	811	15240	0.19799740203507252	0.05321522309711286	3.7206910074161597
ALL	0.55	last_action	RX(q=5)	18630	184760	784	15240	0.10083351374756441	0.051443569553805774	1.9600800376439818
ALL	0.55	last_action	CNOT(5->4)	14611	184760	550	15240	0.07908096990690626	0.03608923884514436	2.191261784329548
ALL	0.55	last_action	RY(q=4)	41056	184760	793	15240	0.22221260012989824	0.05203412073490814	4.270517056720869
ALL	0.55	last_action	CNOT(4->5)	22327	184760	592	15240	0.12084325611604244	0.03884514435695538	3.1108973365008223
ALL	0.55	last_action	RY(q=5)	44849	184760	870	15240	0.24274193548387096	0.05708661417322835	4.252169076751946
ALL	0.55	last_action	RY(q=1)	343	184760	286	15240	0.0018564624377570903	0.018766404199475065	0.09892478164831488
ALL	0.55	last_action	CNOT(4->1)	215	184760	262	15240	0.001163671790430829	0.017191601049868766	0.06768838964185434
ALL	0.55	last_action	CNOT(4->2)	255	184760	280	15240	0.0013801688677202858	0.01837270341207349	0.07512061980020412
ALL	0.55	last_action	RZ(q=4)	147	184760	233	15240	0.000795626759038753	0.015288713910761155	0.052040136513951056
ALL	0.55	last_action	RX(q=0)	283	184760	285	15240	0.0015317168218229053	0.018700787401574805	0.08190654163010903
ALL	0.55	last_action	CNOT(0->3)	83	184760	209	15240	0.0004492314353756224	0.013713910761154855	0.03275735442643295
ALL	0.55	last_action	RY(q=0)	247	184760	305	15240	0.0013368694522623945	0.020013123359580054	0.06679964082779964
