scope	bucket	motif_type	motif	count	bucket_episodes	other_count	other_episodes	support_in_bucket	support_elsewhere	lift
ALL	0.13	action	CNOT(5->1)	1	1	8573	199999	1.0	0.042865214326071634	23.32893969438936
ALL	0.13	action	CNOT(0->3)	1	1	8791	199999	1.0	0.04395521977609888	22.7504265726311
ALL	0.13	action	RX(q=4)	1	1	103431	199999	1.0	0.5171575857879289	1.9336465856464697
ALL	0.13	action	RZ(q=2)	1	1	9130	199999	1.0	0.045650228251141255	21.905695509309968
ALL	0.13	action	CNOT(5->3)	1	1	8608	199999	1.0	0.043040215201076	23.23408457249071
ALL	0.13	action	RX(q=2)	1	1	9583	199999	1.0	0.04791523957619788	20.87018678910571
ALL	0.13	action	CNOT(5->4)	1	1	26209	199999	1.0	0.13104565522827613	7.630928307070091
ALL	0.13	action	CNOT(2->5)	1	1	9077	199999	1.0	0.04538522692613463	22.03360141015754
ALL	0.13	action	CNOT(4->1)	1	1	9054	199999	1.0	0.04527022635113175	22.089573669096534
ALL	0.13	action	RY(q=5)	1	1	101803	199999	1.0	0.5090175450877255	1.9645688241014507
ALL	0.13	action	CNOT(3->4)	1	1	9279	199999	1.0	0.046395231976159884	21.55393900204763
ALL	0.13	action	RX(q=0)	1	1	9947	199999	1.0	0.049735248676243383	20.106464260581077
ALL	0.13	action	CNOT(1->0)	1	1	8809	199999	1.0	0.044045220226101134	22.703939153138833
ALL	0.13	action	RZ(q=1)	1	1	8441	199999	1.0	0.04220521102605513	23.69375666390238
ALL	0.13	action	CNOT(3->5)	1	1	9043	199999	1.0	0.045215226076130384	22.11644365807807
ALL	0.13	action	RZ(q=3)	1	1	9529	199999	1.0	0.04764523822619113	20.98845629132123
ALL	0.13	action	CNOT(3->1)	1	1	8486	199999	1.0	0.042430212151060756	23.56811218477492
ALL	0.13	action	CNOT(0->2)	1	1	9205	199999	1.0	0.04602523012615063	21.727213470939706
ALL	0.13	action	RZ(q=4)	1	1	9386	199999	1.0	0.046930234651173255	21.30822501598125
ALL	0.13	action	RY(q=3)	1	1	9837	199999	1.0	0.04918524592622963	20.33130019314832
ALL	0.13	action	CNOT(1->5)	1	1	9139	199999	1.0	0.04569522847614238	21.884122989386146
ALL	0.13	action	RY(q=2)	1	1	9557	199999	1.0	0.04778523892619463	20.926964528617766
ALL	0.13	action	CNOT(1->3)	1	1	8861	199999	1.0	0.04430522152610763	22.570703080916378
ALL	0.13	cnot_edge	CNOT(3->5)	1	1	9043	199999	1.0	0.045215226076130384	22.11644365807807
ALL	0.13	cnot_edge	CNOT(2->5)	1	1	9077	199999	1.0	0.04538522692613463	22.03360141015754
ALL	0.13	cnot_edge	CNOT(3->1)	1	1	8486	199999	1.0	0.042430212151060756	23.56811218477492
ALL	0.13	cnot_edge	CNOT(5->4)	1	1	26209	199999	1.0	0.13104565522827613	7.630928307070091
ALL	0.13	cnot_edge	CNOT(1->5)	1	1	9139	199999	1.0	0.04569522847614238	21.884122989386146
ALL	0.13	cnot_edge	CNOT(4->1)	1	1	9054	199999	1.0	0.04527022635113175	22.089573669096534
